                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8543,                 14.865,                0.84961,                 0.1489,                0.18077,                0.14543,                0.11195,                 1.1037,                 10.932,                0.90152,             0.00041529,             0.00041529,             0.00041529
                      2,                0.86572,                 11.691,                0.89088,                0.16471,                0.25325,                0.16037,                0.11049,                 1.1743,                 9.5907,                0.97706,             0.00081823,             0.00081823,             0.00081823
                      3,                0.87492,                 9.9541,                0.93011,                0.17305,                0.31601,                0.17864,                0.12717,                 1.1489,                 8.2821,                0.96157,              0.0012074,              0.0012074,              0.0012074
                      4,                0.85034,                 8.8579,                0.89062,                0.21844,                0.38746,                0.21232,                0.16048,                  1.135,                 8.2334,                0.96673,              0.0011881,              0.0011881,              0.0011881
                      5,                 0.8826,                 7.7857,                 0.9105,                 0.2923,                0.35959,                 0.2252,                0.17498,                 1.1107,                 7.7432,                0.97687,              0.0011881,              0.0011881,              0.0011881
                      6,                0.81828,                 6.5196,                0.87042,                0.18494,                0.35134,                0.19857,                0.14817,                 1.1002,                 6.8939,                0.95718,              0.0011675,              0.0011675,              0.0011675
                      7,                0.78742,                 5.8064,                  0.883,                0.32194,                0.27977,                0.23637,                0.17652,                 1.1064,                 6.5704,                  0.963,              0.0011469,              0.0011469,              0.0011469
                      8,                0.79898,                 5.2977,                0.88412,                0.30089,                0.34625,                0.27235,                0.20788,                  1.089,                 5.6121,                0.95606,              0.0011263,              0.0011263,              0.0011263
                      9,                 0.7956,                 4.9756,                0.88327,                0.29865,                0.31715,                0.26052,                0.20821,                  1.098,                  5.366,                0.94863,              0.0011056,              0.0011056,              0.0011056
                     10,                0.76057,                 4.8158,                0.84774,                0.31172,                0.37659,                0.26851,                0.21038,                 1.0809,                 4.9954,                0.94934,               0.001085,               0.001085,               0.001085
                     11,                0.75295,                 3.8375,                0.86108,                 0.2785,                0.34991,                 0.2387,                0.18409,                 1.1402,                 4.8776,                0.94946,              0.0010644,              0.0010644,              0.0010644
                     12,                0.74883,                 3.4833,                0.87619,                0.29293,                0.32625,                0.27987,                0.22305,                 1.0807,                 4.0227,                0.95143,              0.0010438,              0.0010438,              0.0010438
                     13,                0.72348,                 3.5226,                0.84239,                0.32885,                0.38938,                0.30342,                0.23469,                 1.0789,                 4.2102,                0.95065,              0.0010231,              0.0010231,              0.0010231
                     14,                0.69278,                 3.1493,                0.83311,                0.29402,                0.39984,                0.29309,                0.23379,                 1.0522,                 3.8388,                0.95103,              0.0010025,              0.0010025,              0.0010025
                     15,                0.67924,                  2.848,                0.83038,                0.37908,                0.35198,                0.30694,                0.24714,                 1.0678,                 3.6925,                0.94963,             0.00098187,             0.00098187,             0.00098187
                     16,                 0.7106,                 2.4979,                0.86774,                0.34435,                0.38464,                0.29823,                0.23925,                 1.0286,                 3.5712,                0.94291,             0.00096125,             0.00096125,             0.00096125
                     17,                0.70019,                 2.6632,                 0.8381,                0.31173,                0.35274,                0.25443,                0.19802,                 1.1028,                 3.6579,                0.96069,             0.00094062,             0.00094062,             0.00094062
                     18,                0.68996,                 2.1012,                0.85321,                0.34641,                0.34596,                 0.2778,                0.22287,                 1.0607,                 3.8826,                0.94964,                0.00092,                0.00092,                0.00092
                     19,                0.66134,                 2.0537,                0.83972,                0.36721,                0.38704,                0.30746,                0.24788,                 1.0414,                 3.0988,                0.94265,             0.00089938,             0.00089938,             0.00089938
                     20,                0.66907,                 1.9092,                0.84838,                0.33565,                0.35364,                0.28921,                0.23984,                 1.0255,                 2.9239,                0.93649,             0.00087875,             0.00087875,             0.00087875
                     21,                0.62458,                 1.7653,                0.82678,                0.32595,                 0.3838,                0.29837,                0.23967,                 1.0395,                  2.932,                0.94131,             0.00085813,             0.00085813,             0.00085813
                     22,                0.62021,                 1.7014,                0.81529,                0.33307,                0.45863,                0.31661,                0.25199,                 1.0376,                 2.9533,                0.94076,              0.0008375,              0.0008375,              0.0008375
                     23,                0.63448,                 1.6296,                0.83088,                0.39443,                0.40847,                0.33819,                0.27408,                 1.0069,                 2.6955,                0.93901,             0.00081688,             0.00081688,             0.00081688
                     24,                0.62255,                 1.5413,                0.83183,                0.37807,                0.44044,                 0.3276,                0.26877,                0.97714,                 2.5523,                0.91883,             0.00079625,             0.00079625,             0.00079625
                     25,                0.61138,                 1.4309,                0.83703,                0.33911,                0.34954,                0.29174,                0.24088,                0.97039,                 3.0741,                0.92488,             0.00077563,             0.00077563,             0.00077563
                     26,                0.62009,                 1.3791,                 0.8225,                  0.402,                0.36011,                0.32959,                0.27268,                0.96827,                 2.8157,                0.92736,               0.000755,               0.000755,               0.000755
                     27,                0.64479,                 1.3498,                0.82535,                0.34899,                0.37634,                0.31531,                0.25806,                0.98901,                 2.6165,                0.93728,             0.00073437,             0.00073437,             0.00073437
                     28,                0.59668,                 1.2603,                 0.8255,                0.32454,                0.39522,                0.29381,                0.24483,                 1.0099,                 2.6391,                0.93161,             0.00071375,             0.00071375,             0.00071375
                     29,                0.57052,                 1.2227,                0.80825,                0.37799,                0.49206,                0.33744,                0.27492,                 1.0427,                 2.5421,                0.95103,             0.00069313,             0.00069313,             0.00069313
                     30,                0.63794,                  1.268,                0.81503,                0.35809,                0.38472,                0.31336,                0.26174,                 1.0158,                 2.5025,                0.94272,              0.0006725,              0.0006725,              0.0006725
                     31,                0.63426,                 1.1833,                0.82875,                 0.3486,                0.38936,                0.30097,                0.24305,                 1.0574,                 2.6091,                0.95329,             0.00065188,             0.00065188,             0.00065188
                     32,                0.60889,                  1.144,                0.80935,                  0.332,                0.33971,                0.29411,                0.24397,                0.99516,                 2.5017,                0.94057,             0.00063125,             0.00063125,             0.00063125
                     33,                 0.5814,                 1.0701,                0.81894,                0.36133,                 0.4482,                0.32117,                0.26237,                0.99367,                 2.5467,                0.93506,             0.00061062,             0.00061062,             0.00061062
