                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85158,                 14.513,                0.86458,                0.15729,                0.13978,                0.13302,                0.09939,                 1.1206,                 10.448,                0.92231,             0.00041529,             0.00041529,             0.00041529
                      2,                0.84838,                 11.524,                 0.8757,                0.19482,                0.14839,                0.15228,                 0.1129,                 1.0889,                 8.6079,                0.95434,             0.00081823,             0.00081823,             0.00081823
                      3,                0.87153,                 10.064,                0.91469,                0.18287,                0.18213,                0.13611,                0.10129,                 1.1732,                 8.2659,                0.96093,              0.0012074,              0.0012074,              0.0012074
                      4,                0.87212,                  9.284,                0.89301,                0.23502,                0.19156,                0.16965,                0.12281,                 1.2116,                 7.8163,                0.97795,              0.0011881,              0.0011881,              0.0011881
                      5,                0.90659,                  7.967,                0.89843,                0.23893,                0.16431,                0.16583,                0.13422,                 1.1063,                 7.3963,                0.94634,              0.0011881,              0.0011881,              0.0011881
                      6,                0.83261,                 6.7908,                0.88753,                0.23175,                0.26005,                0.21276,                0.16348,                 1.1352,                 6.7441,                0.98385,              0.0011675,              0.0011675,              0.0011675
                      7,                0.83839,                 6.1368,                0.89472,                0.31561,                0.27863,                0.25072,                0.18978,                 1.1828,                 6.5321,                0.96874,              0.0011469,              0.0011469,              0.0011469
                      8,                0.81752,                  5.463,                0.86867,                0.34322,                0.32145,                0.26348,                0.21228,                 1.0675,                   6.01,                0.95613,              0.0011263,              0.0011263,              0.0011263
                      9,                0.80158,                 5.3717,                0.88275,                0.30371,                0.30395,                0.27022,                0.21803,                 1.0514,                 5.5866,                0.95098,              0.0011056,              0.0011056,              0.0011056
                     10,                0.78867,                 5.2321,                0.86274,                0.33429,                0.32008,                0.25768,                0.21403,                 1.0547,                 5.1238,                0.93874,               0.001085,               0.001085,               0.001085
                     11,                0.71425,                 4.1877,                0.84985,                0.32677,                0.34505,                0.26861,                0.21521,                 1.0336,                 4.8245,                0.95769,              0.0010644,              0.0010644,              0.0010644
                     12,                0.71331,                 3.6337,                0.87346,                0.31163,                0.28659,                0.25768,                0.21209,                 1.0405,                 3.9697,                0.93705,              0.0010438,              0.0010438,              0.0010438
                     13,                0.69314,                 3.6983,                0.84162,                0.31993,                0.44505,                0.29499,                0.23608,                 1.0316,                 4.5232,                0.94521,              0.0010231,              0.0010231,              0.0010231
                     14,                0.69994,                 3.3125,                0.82994,                0.33933,                0.39536,                0.28408,                0.22714,                 1.0502,                 4.4762,                0.93933,              0.0010025,              0.0010025,              0.0010025
                     15,                 0.6781,                 2.9094,                  0.827,                0.33681,                0.33872,                0.28506,                0.23197,                 1.0906,                 3.5855,                0.95042,             0.00098187,             0.00098187,             0.00098187
                     16,                0.74957,                 2.6685,                0.87811,                0.36425,                0.34083,                0.29193,                0.24267,                 1.0328,                  3.726,                0.94995,             0.00096125,             0.00096125,             0.00096125
                     17,                0.67387,                 2.7113,                0.83689,                0.35605,                0.33968,                0.28224,                0.22858,                 1.0396,                 3.4661,                0.94156,             0.00094062,             0.00094062,             0.00094062
                     18,                0.65546,                 2.1279,                0.84917,                0.33617,                0.40587,                0.29987,                0.24447,                 1.0113,                 3.6963,                0.93468,                0.00092,                0.00092,                0.00092
                     19,                0.65615,                 2.1183,                0.84677,                 0.3266,                 0.3707,                0.28191,                0.23298,                 1.0267,                 3.0507,                0.94184,             0.00089938,             0.00089938,             0.00089938
                     20,                0.64636,                 1.9634,                0.85013,                0.38112,                0.27759,                0.29096,                0.24656,                 1.0567,                 3.2557,                0.93559,             0.00087875,             0.00087875,             0.00087875
                     21,                0.64243,                 1.8526,                0.82353,                0.36952,                0.36511,                0.32814,                0.26704,                 1.0313,                 2.8437,                0.93706,             0.00085813,             0.00085813,             0.00085813
                     22,                0.60645,                 1.6869,                0.81794,                0.34726,                0.37321,                0.31421,                0.25933,                 1.0309,                 2.8676,                0.93814,              0.0008375,              0.0008375,              0.0008375
                     23,                0.62441,                 1.7047,                0.82644,                0.37253,                 0.3828,                0.33852,                 0.2808,                 1.0131,                 2.8138,                0.94167,             0.00081688,             0.00081688,             0.00081688
                     24,                0.63316,                 1.6646,                 0.8346,                0.42141,                0.32048,                0.30987,                0.25567,                 1.0514,                 2.9679,                  0.948,             0.00079625,             0.00079625,             0.00079625
                     25,                0.60674,                 1.5075,                0.84029,                0.39177,                0.36171,                0.32338,                0.27659,                 1.0068,                 2.8199,                 0.9369,             0.00077563,             0.00077563,             0.00077563
                     26,                0.59193,                  1.391,                 0.8273,                 0.4792,                0.30622,                0.34322,                0.29339,                 1.0407,                 2.8495,                0.94823,               0.000755,               0.000755,               0.000755
                     27,                0.61034,                 1.3191,                 0.8228,                 0.4046,                0.35255,                0.32834,                0.27488,                 1.0232,                 2.9484,                0.94033,             0.00073437,             0.00073437,             0.00073437
                     28,                0.57749,                 1.2279,                0.82029,                0.37383,                0.38943,                0.32958,                0.27071,                 1.0479,                  2.678,                0.95201,             0.00071375,             0.00071375,             0.00071375
                     29,                0.57654,                 1.2577,                0.79987,                0.51838,                0.34365,                0.37531,                0.31427,                 1.0963,                 2.9429,                0.94202,             0.00069313,             0.00069313,             0.00069313
                     30,                0.60378,                 1.2654,                0.80682,                0.41716,                0.34791,                0.34383,                0.29073,                 1.0339,                 2.8136,                0.93486,              0.0006725,              0.0006725,              0.0006725
