epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,120.673,2.17207,46.5178,0.91391,4e-05,0.01,2e-05,1e-05,2.53494,12.9055,1.45283,0.000276375,0.000276375,0.000276375
2,245.197,1.61359,4.65013,0.62954,8e-05,0.05682,0.00014,9e-05,1.26436,1.38362,0.446,0.000547186,0.000547186,0.000547186
3,362.177,1.17694,1.27148,0.32463,0.00018,0.04773,0.00014,8e-05,1.17908,1.90651,0.43787,0.000811124,0.000811124,0.000811124
4,476.49,0.78059,1.54823,0.20321,0.38003,0.10227,0.00759,0.00547,0.7601,1.6128,0.23949,0.000802075,0.000802075,0.000802075
5,592.131,0.5498,1.69294,0.14963,0.53184,0.12659,0.01754,0.00947,0.31178,1.6527,0.05995,0.000791767,0.000791767,0.000791767
6,706.866,0.40614,2.01483,0.11366,0.50475,0.16193,0.00749,0.00502,0.24716,2.22007,0.03524,0.000781458,0.000781458,0.000781458
7,819.654,0.58018,1.5972,0.16854,0.38313,0.03125,0.011,0.00942,nan,nan,nan,0.00077115,0.00077115,0.00077115
8,931.893,0.40803,1.60439,0.10089,0.13971,0.17304,0.02466,0.01897,0.39825,1.63965,0.08135,0.000760841,0.000760841,0.000760841
9,1045.76,0.36987,1.82849,0.11479,0.38171,0.19227,0.01615,0.01319,0.21856,2.12543,0.03347,0.000750533,0.000750533,0.000750533
10,1158.14,0.29683,1.79102,0.06093,0.50024,0.125,0.00095,0.00091,0.19414,2.07048,0.0342,0.000740225,0.000740225,0.000740225
11,1270.27,0.24998,1.924,0.04793,0.50488,0.14844,0.03109,0.01757,0.17803,2.27261,0.02869,0.000729916,0.000729916,0.000729916
12,1384.55,0.27077,1.90239,0.04601,0.407,0.1392,0.0445,0.03526,0.17163,2.15494,0.02676,0.000719608,0.000719608,0.000719608
13,1500.41,0.25559,1.68021,0.03748,0.51264,0.13228,0.12044,0.08558,0.26981,1.514,0.03857,0.000709299,0.000709299,0.000709299
14,1614.96,0.33097,1.26756,0.05629,0.31412,0.18395,0.12044,0.08215,0.30757,1.26248,0.04773,0.000698991,0.000698991,0.000698991
15,1727.24,0.28778,1.2263,0.04642,0.30747,0.21688,0.09678,0.06929,0.31054,1.29292,0.06616,0.000688683,0.000688683,0.000688683
16,1839.17,0.29828,1.12905,0.05898,0.44482,0.16974,0.09399,0.07465,0.23914,1.21849,0.03621,0.000678374,0.000678374,0.000678374
17,1950.49,0.28027,1.11111,0.04219,0.69744,0.15625,0.11592,0.07999,0.27753,1.20368,0.04179,0.000668066,0.000668066,0.000668066
18,2063.04,0.28414,1.11153,0.04932,0.58317,0.20034,0.15656,0.12434,0.24574,1.15452,0.04042,0.000657758,0.000657758,0.000657758
19,2177.52,0.28912,1.05999,0.05179,0.45551,0.14589,0.11113,0.0824,0.29677,1.06284,0.05055,0.000647449,0.000647449,0.000647449
20,2289.42,0.2608,1.00616,0.0368,0.4921,0.1598,0.13105,0.09683,0.30239,1.0907,0.04257,0.000637141,0.000637141,0.000637141
21,2402.12,0.28651,1.01772,0.05338,0.7232,0.26023,0.29382,0.20852,0.24279,1.12396,0.03878,0.000626832,0.000626832,0.000626832
22,2517.87,0.26491,0.9628,0.04756,0.60663,0.2763,0.26299,0.20304,0.27736,1.06967,0.03917,0.000616524,0.000616524,0.000616524
23,2629.82,0.25405,0.94817,0.04046,0.70488,0.30224,0.22671,0.17294,0.25751,1.08676,0.04047,0.000606216,0.000606216,0.000606216
24,2743.33,0.25577,0.9149,0.04223,0.6916,0.49867,0.4254,0.33994,0.25985,1.01061,0.03885,0.000595907,0.000595907,0.000595907
25,2860.2,0.24161,0.84929,0.04448,0.7327,0.47799,0.45956,0.37414,0.21249,0.92684,0.03177,0.000585599,0.000585599,0.000585599
26,2974.59,0.2436,0.87163,0.04152,0.773,0.54043,0.50197,0.40587,0.22634,1.01721,0.03219,0.000575291,0.000575291,0.000575291
27,3089.61,0.23936,0.86502,0.0386,0.84267,0.60607,0.56214,0.4531,0.23411,0.90368,0.03212,0.000564982,0.000564982,0.000564982
28,3202.61,0.24117,0.78611,0.03312,0.82131,0.54777,0.5127,0.40253,0.24735,0.82847,0.03493,0.000554674,0.000554674,0.000554674
29,3314.41,0.23082,0.69786,0.03833,0.84377,0.49565,0.52917,0.42733,0.24933,0.81814,0.03657,0.000544365,0.000544365,0.000544365
30,3426.45,0.22961,0.77856,0.03003,0.79727,0.54362,0.53814,0.42464,0.25934,0.76873,0.03572,0.000534057,0.000534057,0.000534057
31,3537.81,0.22488,0.69502,0.03407,0.78752,0.56147,0.56173,0.44969,0.2512,0.7796,0.03681,0.000523749,0.000523749,0.000523749
32,3652,0.23412,0.70143,0.03817,0.77201,0.52959,0.54133,0.42638,0.25997,0.93775,0.0358,0.00051344,0.00051344,0.00051344
33,3764.13,0.20823,0.66136,0.02931,0.78001,0.59495,0.54187,0.43708,0.2479,0.85401,0.03475,0.000503132,0.000503132,0.000503132
34,3876.33,0.22695,0.73614,0.03227,0.82479,0.55417,0.55475,0.44203,0.24506,0.79137,0.03617,0.000492824,0.000492824,0.000492824
35,3988.78,0.20663,0.64836,0.02764,0.74472,0.5555,0.57563,0.4673,0.24848,0.77745,0.03793,0.000482515,0.000482515,0.000482515
36,4102.3,0.23623,0.68141,0.03534,0.72513,0.5782,0.54684,0.44839,0.24548,0.81976,0.0359,0.000472207,0.000472207,0.000472207
37,4214.38,0.1992,0.65554,0.0233,0.71619,0.56882,0.54799,0.45398,0.24173,0.74976,0.03589,0.000461898,0.000461898,0.000461898
38,4327.33,0.20023,0.60322,0.02643,0.77145,0.56576,0.57483,0.46327,0.25992,0.72266,0.0399,0.00045159,0.00045159,0.00045159
39,4440.85,0.19631,0.55546,0.02792,0.66138,0.56955,0.56021,0.44225,0.26383,0.80799,0.03876,0.000441282,0.000441282,0.000441282
40,4553.67,0.20973,0.6084,0.02806,0.75194,0.5745,0.59373,0.47523,0.27194,0.69408,0.03906,0.000430973,0.000430973,0.000430973
41,4668.11,0.18482,0.49687,0.0256,0.85257,0.49047,0.50229,0.40955,0.26149,0.90966,0.03935,0.000420665,0.000420665,0.000420665
