                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5593,                 24.958,                0.71615,                0.80706,                0.14525,                0.04932,                0.03469,                0.72533,                 1.5165,                  0.147,             0.00041529,             0.00041529,             0.00041529
                      2,                0.68803,                 1.4102,                0.18695,                0.76447,                0.07278,                0.01308,                0.00994,                 1.5003,                0.92828,                0.56225,             0.00082166,             0.00082166,             0.00082166
                      3,                0.54547,                0.98199,                0.16306,                 0.8431,                0.17077,                0.09514,                 0.0602,                0.73006,                0.89498,                0.11488,              0.0012177,              0.0012177,              0.0012177
                      4,                0.30632,                0.99008,                0.04739,                0.65804,                0.23484,                0.14807,                 0.1093,                 0.4019,                 1.1595,                0.04224,              0.0012036,              0.0012036,              0.0012036
                      5,                0.46227,                 1.2885,                0.08557,                0.64349,                0.23306,                0.16774,                0.12304,                0.34222,                 1.1754,                0.03598,              0.0012036,              0.0012036,              0.0012036
                      6,                0.35179,                0.84244,                0.05817,                0.68291,                0.21263,                0.15554,                0.10318,                0.57991,                 1.0198,                0.09355,              0.0011881,              0.0011881,              0.0011881
                      7,                0.44916,                0.73277,                0.08342,                0.48196,                0.27266,                0.16421,                 0.1036,                0.60392,                 1.1236,                0.09361,              0.0011727,              0.0011727,              0.0011727
                      8,                 0.3641,                0.76034,                 0.0493,                0.21498,                0.22743,                 0.1625,                0.09882,                0.44009,                 1.2036,                0.03914,              0.0011572,              0.0011572,              0.0011572
                      9,                0.38471,                0.75208,                0.06202,                0.24005,                0.29109,                0.18897,                0.12539,                0.47824,                 1.0776,                0.09776,              0.0011417,              0.0011417,              0.0011417
                     10,                0.35929,                0.67068,                0.05938,                0.27944,                0.27678,                0.22783,                0.16486,                0.37436,                  1.092,                0.05025,              0.0011263,              0.0011263,              0.0011263
                     11,                0.36609,                0.61228,                0.05712,                0.25574,                0.32662,                0.22154,                0.15413,                0.36836,                  1.126,                 0.0453,              0.0011108,              0.0011108,              0.0011108
                     12,                0.41378,                0.66054,                0.08011,                0.47679,                0.32345,                0.21708,                0.14387,                0.41208,                 1.0486,                0.04512,              0.0010953,              0.0010953,              0.0010953
                     13,                0.40029,                 0.6576,                 0.0636,                0.72507,                0.28061,                0.24121,                0.15226,                0.47016,                 1.0854,                0.08453,              0.0010798,              0.0010798,              0.0010798
                     14,                  0.412,                0.70978,                0.08529,                0.47553,                0.25039,                0.19885,                0.13872,                0.69084,                0.90048,                0.12471,              0.0010644,              0.0010644,              0.0010644
                     15,                0.40171,                0.63251,                0.07037,                 0.7539,                0.26393,                0.23225,                 0.1616,                0.43082,                 1.0978,                0.05609,              0.0010489,              0.0010489,              0.0010489
                     16,                0.31026,                0.72496,                0.04514,                0.69634,                0.31028,                0.21648,                0.16083,                0.35582,                 1.3128,                0.03797,              0.0010334,              0.0010334,              0.0010334
                     17,                0.33908,                0.69812,                  0.058,                0.74572,                0.29341,                0.21851,                0.16018,                0.40404,                 1.0813,                0.05059,               0.001018,               0.001018,               0.001018
                     18,                0.31426,                 0.6181,                0.05267,                 0.7374,                0.29824,                0.21672,                0.15437,                0.39888,                 1.1482,                0.04302,              0.0010025,              0.0010025,              0.0010025
                     19,                0.26181,                0.58265,                0.04021,                0.49996,                0.27313,                0.19154,                0.14558,                0.37564,                   1.25,                0.04267,             0.00098703,             0.00098703,             0.00098703
                     20,                0.32609,                 0.5552,                 0.0701,                0.50465,                0.29857,                0.22003,                0.16192,                0.36283,                 1.1166,                0.03656,             0.00097156,             0.00097156,             0.00097156
                     21,                0.27263,                0.59287,                0.04796,                0.42392,                0.35083,                0.26107,                  0.196,                0.47081,                0.97566,                0.05878,             0.00095609,             0.00095609,             0.00095609
                     22,                0.28376,                 0.5833,                0.04799,                0.59141,                0.30281,                0.22858,                0.17335,                0.37547,                  1.224,                0.04462,             0.00094062,             0.00094062,             0.00094062
                     23,                0.28197,                0.57275,                0.03889,                 0.3662,                0.33245,                0.26862,                0.19898,                  0.378,                 1.0701,                0.04618,             0.00092516,             0.00092516,             0.00092516
                     24,                0.31116,                0.63261,                0.04415,                0.78427,                0.26202,                0.24679,                0.17629,                0.37756,                 1.0736,                0.04199,             0.00090969,             0.00090969,             0.00090969
                     25,                0.24145,                0.64315,                0.02777,                0.52419,                0.33429,                0.24758,                0.18203,                0.35891,                 1.1824,                0.03657,             0.00089422,             0.00089422,             0.00089422
                     26,                0.26776,                0.48433,                0.04344,                0.48876,                0.36682,                0.26018,                0.19572,                0.41282,                 1.2927,                 0.0463,             0.00087875,             0.00087875,             0.00087875
                     27,                0.27052,                0.46282,                0.03804,                0.53476,                0.34406,                0.23893,                 0.1846,                0.39634,                 1.2335,                0.05529,             0.00086328,             0.00086328,             0.00086328
                     28,                 0.2169,                0.46456,                0.02599,                0.66269,                0.44329,                0.36539,                0.28357,                0.31035,                 1.0919,                 0.0296,             0.00084781,             0.00084781,             0.00084781
                     29,                0.20948,                0.44241,                0.02559,                0.40256,                0.46433,                0.36373,                0.28174,                0.30879,                  1.106,                0.03493,             0.00083234,             0.00083234,             0.00083234
                     30,                    nan,                    nan,                    nan,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00081688,             0.00081688,             0.00081688
                     31,                    nan,                    nan,                    nan,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00080141,             0.00080141,             0.00080141
                     32,                    nan,                    nan,                    nan,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00078594,             0.00078594,             0.00078594
                     33,                    nan,                    nan,                    nan,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00077047,             0.00077047,             0.00077047
                     34,                0.23129,                0.44873,                0.02636,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,               0.000755,               0.000755,               0.000755
                     35,                    nan,                    nan,                    nan,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00073953,             0.00073953,             0.00073953
                     36,                0.20338,                0.40477,                0.02576,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00072406,             0.00072406,             0.00072406
                     37,                 0.2132,                0.40974,                0.02191,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00070859,             0.00070859,             0.00070859
                     38,                0.21032,                0.38996,                0.02469,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00069313,             0.00069313,             0.00069313
                     39,                0.19535,                0.35478,                0.02076,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00067766,             0.00067766,             0.00067766
                     40,                0.23654,                0.40278,                0.02855,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00066219,             0.00066219,             0.00066219
                     41,                0.21742,                0.42027,                0.02368,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00064672,             0.00064672,             0.00064672
                     42,                0.22996,                0.46273,                0.02907,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00063125,             0.00063125,             0.00063125
                     43,                0.19173,                0.42603,                0.02154,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00061578,             0.00061578,             0.00061578
                     44,                    nan,                    nan,                    nan,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00060031,             0.00060031,             0.00060031
                     45,                  0.236,                0.34218,                0.03836,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00058484,             0.00058484,             0.00058484
                     46,                0.21292,                0.36942,                0.02646,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00056938,             0.00056938,             0.00056938
                     47,                    nan,                    nan,                    nan,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00055391,             0.00055391,             0.00055391
                     48,                0.21938,                0.35245,                0.02988,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00053844,             0.00053844,             0.00053844
                     49,                0.19801,                0.32747,                0.02283,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00052297,             0.00052297,             0.00052297
                     50,                    nan,                    nan,                    nan,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,              0.0005075,              0.0005075,              0.0005075
                     51,                    nan,                    nan,                    nan,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00049203,             0.00049203,             0.00049203
                     52,                    nan,                    nan,                    nan,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00047656,             0.00047656,             0.00047656
                     53,                0.17755,                0.39394,                 0.0216,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00046109,             0.00046109,             0.00046109
                     54,                    nan,                    nan,                    nan,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00044563,             0.00044563,             0.00044563
                     55,                0.18443,                0.40143,                  0.022,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00043016,             0.00043016,             0.00043016
                     56,                    nan,                    nan,                    nan,                0.40256,                0.46433,                0.36373,                0.28174,                    nan,                    nan,                    nan,             0.00041469,             0.00041469,             0.00041469
