epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.5505,0.79263,8.26524,0.84884,0.28231,0.33581,0.23487,0.17076,1.20218,2.53193,0.97149,0.000415287,0.000415287,0.000415287
2,199.095,0.91686,3.56236,0.90716,0.20258,0.2327,0.15342,0.1187,1.18428,2.96842,1.01115,0.000821658,0.000821658,0.000821658
3,294.021,0.92704,2.40024,0.96015,0.20948,0.30847,0.21148,0.14039,1.2975,2.24738,1.01396,0.00121772,0.00121772,0.00121772
4,388.525,1.04622,2.84169,1.00957,0.225,0.02377,0.12432,0.09821,1.24449,2.31063,1.02832,0.00120359,0.00120359,0.00120359
5,483.49,0.92507,1.86658,0.96017,0.13309,0.25191,0.1724,0.11164,1.22349,2.1889,1.03265,0.00118812,0.00118812,0.00118812
6,576.863,0.88996,1.59764,0.95372,0.2374,0.32708,0.2336,0.16425,1.22161,1.95867,1.04562,0.00117266,0.00117266,0.00117266
7,672.39,0.87854,1.32916,0.95437,0.34498,0.30594,0.28517,0.21816,1.21035,1.85331,0.98788,0.00115719,0.00115719,0.00115719
8,768.52,0.83147,1.11513,0.91711,0.36445,0.35513,0.28633,0.21899,1.17842,2.06652,1.00461,0.00114172,0.00114172,0.00114172
9,864.506,0.81402,1.0277,0.91214,0.32595,0.37631,0.27938,0.21466,1.10779,1.87062,0.96421,0.00112625,0.00112625,0.00112625
10,959.158,0.80654,0.95279,0.88115,0.31567,0.30348,0.25306,0.1964,1.24142,1.94026,1.02305,0.00111078,0.00111078,0.00111078
11,1054.12,0.74812,0.96289,0.87932,0.33891,0.39876,0.28914,0.22617,1.1107,2.05724,0.9902,0.00109531,0.00109531,0.00109531
12,1152.02,0.7668,0.87339,0.91049,0.31446,0.37322,0.28979,0.22346,1.14554,1.72726,0.97993,0.00107984,0.00107984,0.00107984
13,1246.12,0.73362,0.78863,0.86509,0.23663,0.34966,0.23325,0.16793,1.17571,2.18144,0.99558,0.00106437,0.00106437,0.00106437
14,1340.74,0.76122,0.86647,0.86909,0.34774,0.36036,0.31951,0.23107,1.20084,1.89679,1.01824,0.00104891,0.00104891,0.00104891
15,1437,0.70307,0.74517,0.85894,0.56538,0.33204,0.2505,0.19145,1.11296,1.94982,0.99267,0.00103344,0.00103344,0.00103344
16,1531.91,0.72778,0.77794,0.90658,0.36603,0.52173,0.33768,0.24449,1.07171,1.97814,0.9872,0.00101797,0.00101797,0.00101797
17,1628.2,0.71718,0.82453,0.85928,0.66935,0.40355,0.3997,0.28922,1.09616,2.02939,0.97829,0.0010025,0.0010025,0.0010025
18,1724.27,0.70003,0.74105,0.86414,0.34187,0.48969,0.34566,0.25969,1.09454,2.00483,0.9879,0.000987031,0.000987031,0.000987031
19,1818.86,0.70429,0.75418,0.86415,0.3348,0.36519,0.33033,0.2603,1.14826,1.69232,0.99084,0.000971562,0.000971562,0.000971562
20,1912.61,0.72639,0.70689,0.87662,0.46969,0.43627,0.36067,0.27745,1.14609,2.04763,1.0068,0.000956094,0.000956094,0.000956094
21,2007.85,0.70585,0.72226,0.86406,0.36393,0.45629,0.33362,0.256,1.10206,1.84104,0.98293,0.000940625,0.000940625,0.000940625
