                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1858,                 19.618,                0.32947,                0.33724,                0.21225,                0.05277,                0.03532,                0.34601,                 1.7178,                0.07631,             0.00027716,             0.00027716,             0.00027716
                      2,                0.35511,                 1.2659,                0.05855,                0.33385,                0.18297,                0.04085,                0.02947,                0.28796,                 1.2231,                0.03276,             0.00054933,             0.00054933,             0.00054933
                      3,                0.38929,                 1.1227,                0.04558,                0.44743,                0.10526,                0.02055,                0.01341,                0.38329,                 1.1994,                0.04187,             0.00081601,             0.00081601,             0.00081601
                      4,                0.43361,                 1.2209,                0.05095,                0.33722,                0.18714,                 0.1276,                0.07486,                 0.4527,                  1.208,                0.04212,             0.00080826,             0.00080826,             0.00080826
                      5,                0.33942,                 1.0624,                0.03937,                0.62609,                0.22099,                0.12466,                0.09353,                0.30581,                 1.1628,                0.04361,             0.00080826,             0.00080826,             0.00080826
                      6,                0.28716,                0.93109,                0.03202,                0.38894,                0.31435,                0.22991,                0.18345,                0.27089,                 1.1332,                0.03076,             0.00080001,             0.00080001,             0.00080001
                      7,                0.28658,                0.83596,                0.03245,                0.71009,                0.45022,                0.46547,                0.36597,                0.25983,                0.94298,                0.03193,             0.00079177,             0.00079177,             0.00079177
                      8,                0.27004,                0.76833,                0.03018,                0.63079,                0.48817,                0.45669,                0.35246,                0.27896,                0.93802,                0.03454,             0.00078352,             0.00078352,             0.00078352
                      9,                0.27707,                 0.6468,                0.03492,                0.78049,                0.48274,                0.49036,                0.36795,                0.32371,                0.95343,                0.04541,             0.00077527,             0.00077527,             0.00077527
                     10,                0.25458,                0.64951,                0.02556,                0.77441,                0.57712,                0.56388,                0.43442,                0.26078,                0.76057,                0.02974,             0.00076703,             0.00076703,             0.00076703
                     11,                0.27911,                0.58698,                0.02649,                0.68236,                0.68886,                0.65974,                0.45793,                0.29672,                0.71922,                0.03335,             0.00075878,             0.00075878,             0.00075878
                     12,                0.25345,                0.52433,                0.03024,                0.87296,                0.61629,                0.63768,                0.49466,                0.26212,                0.78057,                0.03018,             0.00075053,             0.00075053,             0.00075053
                     13,                 0.2274,                0.56877,                0.02264,                0.84164,                0.72298,                0.72171,                0.53941,                0.25812,                0.68277,                0.02987,             0.00074229,             0.00074229,             0.00074229
