                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97741,                 13.927,                0.92187,                0.14966,                 0.1302,                0.11055,                0.08931,                0.95465,                 9.0796,                0.91648,             0.00027716,             0.00027716,             0.00027716
                      2,                 0.9841,                 10.454,                0.95632,                0.19129,                0.25115,                0.20259,                0.15962,                0.96052,                 7.7762,                0.93795,             0.00053652,             0.00053652,             0.00053652
                      3,                0.95144,                 9.3957,                0.92802,                 0.2842,                0.24256,                0.22227,                0.16917,                0.97929,                  7.172,                0.93107,             0.00077755,             0.00077755,             0.00077755
                      4,                0.96247,                  8.248,                0.93037,                0.30705,                0.18276,                0.24942,                0.18964,                0.97992,                 5.9338,                0.95899,             0.00075053,             0.00075053,             0.00075053
                      5,                0.90995,                 6.5863,                0.94495,                0.43685,                0.24852,                0.34826,                0.27172,                0.95179,                 5.2865,                0.95935,             0.00075053,             0.00075053,             0.00075053
                      6,                0.86167,                 5.5652,                0.92838,                0.38809,                 0.3972,                0.40793,                0.32495,                0.90934,                 4.5716,                0.95568,             0.00072304,             0.00072304,             0.00072304
                      7,                 0.8369,                 5.0123,                0.91349,                0.52737,                 0.4997,                0.52796,                0.42582,                0.90533,                 4.0618,                0.97359,             0.00069556,             0.00069556,             0.00069556
                      8,                0.83056,                 4.4136,                0.90233,                0.53905,                0.44793,                0.49501,                0.40339,                0.88384,                 3.6198,                0.95955,             0.00066807,             0.00066807,             0.00066807
                      9,                0.82166,                  3.698,                  0.923,                0.54296,                0.51688,                0.54081,                0.44204,                0.90683,                 3.3104,                0.98098,             0.00064058,             0.00064058,             0.00064058
                     10,                 0.7813,                 3.3597,                0.90235,                0.64577,                0.54792,                0.61517,                0.49373,                0.91034,                 3.0766,                0.97166,             0.00061309,             0.00061309,             0.00061309
                     11,                0.82428,                 3.1065,                0.91784,                0.60322,                0.54528,                0.59907,                0.48581,                0.95982,                 3.0404,                0.99052,              0.0005856,              0.0005856,              0.0005856
                     12,                0.76683,                 2.8246,                0.89787,                0.58388,                0.58129,                 0.6246,                0.51421,                0.89105,                 2.5915,                0.97246,             0.00055811,             0.00055811,             0.00055811
                     13,                0.72273,                 2.5282,                0.89344,                0.63056,                0.56013,                0.60331,                0.49365,                0.90959,                 2.6747,                0.96891,             0.00053062,             0.00053062,             0.00053062
                     14,                0.75604,                 2.3577,                0.89951,                0.67164,                0.56659,                0.63095,                0.51413,                0.91613,                 2.4268,                0.98716,             0.00050313,             0.00050313,             0.00050313
                     15,                0.78386,                  2.252,                0.89085,                0.62988,                0.58183,                0.61382,                0.49499,                0.91295,                 2.3353,                0.98441,             0.00047564,             0.00047564,             0.00047564
                     16,                0.72234,                 2.0564,                0.88774,                0.63492,                0.60569,                0.66228,                0.53858,                0.86153,                 2.1125,                 0.9642,             0.00044815,             0.00044815,             0.00044815
                     17,                0.68984,                 1.9079,                0.86188,                0.69065,                0.60257,                0.67065,                0.54767,                0.86137,                 2.0638,                0.97285,             0.00042066,             0.00042066,             0.00042066
                     18,                0.70479,                 1.7646,                0.88717,                0.71684,                0.61326,                0.65518,                0.53512,                0.84458,                 2.0344,                0.94556,             0.00039318,             0.00039318,             0.00039318
                     19,                0.68108,                 1.6815,                0.86728,                0.69186,                0.63715,                 0.6816,                0.56619,                0.83785,                 1.9413,                0.95516,             0.00036569,             0.00036569,             0.00036569
                     20,                 0.6724,                 1.6011,                0.88088,                0.66905,                 0.6074,                0.65618,                 0.5444,                0.82754,                 1.9826,                0.94616,              0.0003382,              0.0003382,              0.0003382
                     21,                0.63943,                 1.6475,                0.85665,                0.72054,                0.55103,                0.65656,                0.53963,                0.82408,                 1.8814,                0.94537,             0.00031071,             0.00031071,             0.00031071
                     22,                0.61751,                 1.5522,                 0.8448,                0.66228,                0.62384,                 0.6472,                0.53079,                0.84707,                 2.0276,                0.95513,             0.00028322,             0.00028322,             0.00028322
                     23,                0.58524,                 1.4587,                0.83455,                0.70771,                0.59338,                0.68227,                0.56011,                 0.8308,                 1.7162,                  0.962,             0.00025573,             0.00025573,             0.00025573
                     24,                 0.5597,                 1.3612,                0.82639,                0.65435,                0.64799,                 0.6729,                0.56318,                 0.8169,                 1.6944,                0.94789,             0.00022824,             0.00022824,             0.00022824
                     25,                0.51567,                 1.2881,                0.81815,                 0.6704,                0.63569,                0.66961,                0.55191,                0.83319,                 1.7089,                0.95745,             0.00020075,             0.00020075,             0.00020075
                     26,                0.49908,                 1.2189,                0.81495,                0.67584,                 0.6288,                0.66027,                0.54958,                 0.8254,                 1.7127,                0.94963,             0.00017326,             0.00017326,             0.00017326
                     27,                0.47221,                 1.1712,                0.80798,                0.66715,                0.63164,                0.64772,                0.53995,                0.83427,                  1.751,                0.95055,             0.00014577,             0.00014577,             0.00014577
                     28,                0.45714,                 1.1272,                0.80606,                0.68834,                 0.6332,                 0.6671,                0.55131,                0.83997,                 1.6322,                0.96394,             0.00011829,             0.00011829,             0.00011829
                     29,                0.44583,                 1.0962,                0.80402,                0.70172,                0.59869,                0.65538,                0.54376,                 0.8393,                 1.6755,                0.95958,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     30,                0.42348,                 1.0621,                0.79837,                0.67684,                0.64238,                0.66596,                0.54866,                  0.831,                 1.6588,                0.96457,             6.3308e-05,             6.3308e-05,             6.3308e-05
