                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4857,                 18.251,                0.49554,                0.86339,                0.11028,                0.00683,                0.00462,                0.51762,                 1.4979,                0.12667,             0.00027716,             0.00027716,             0.00027716
                      2,                0.41726,                 1.2293,                0.07077,                0.36652,                0.23136,                0.07374,                0.05488,                0.27424,                 1.1883,                0.03119,             0.00054567,             0.00054567,             0.00054567
                      3,                 0.4148,                 1.2121,                0.07384,                0.19365,                0.03679,                0.04001,                0.02953,                0.75809,                 1.6464,                0.19821,             0.00080502,             0.00080502,             0.00080502
                      4,                0.38364,                 1.2033,                0.07194,                0.44021,                0.17862,                0.12542,                0.08236,                0.30407,                 1.1623,                0.03868,             0.00079177,             0.00079177,             0.00079177
                      5,                0.31506,                0.96804,                0.04329,                0.65035,                0.38401,                0.28867,                0.22429,                0.29049,                 1.0091,                0.03729,             0.00079177,             0.00079177,             0.00079177
                      6,                0.31842,                0.84395,                0.04014,                0.67227,                0.41153,                0.34525,                0.23987,                0.34099,                0.96215,                0.03591,             0.00077802,             0.00077802,             0.00077802
                      7,                0.31942,                0.77828,                0.04144,                0.55735,                0.51044,                0.46816,                0.33035,                0.32283,                0.88284,                0.03459,             0.00076428,             0.00076428,             0.00076428
                      8,                0.29185,                0.67902,                0.03473,                0.65696,                 0.6016,                0.58694,                0.44787,                0.26905,                0.75477,                0.02875,             0.00075053,             0.00075053,             0.00075053
                      9,                0.30205,                0.55804,                  0.039,                0.83027,                0.63799,                0.62543,                0.48121,                0.25869,                0.69426,                0.03106,             0.00073679,             0.00073679,             0.00073679
                     10,                0.26364,                 0.5347,                0.02993,                0.85353,                0.62986,                0.65671,                 0.5178,                 0.2505,                0.64882,                0.02669,             0.00072304,             0.00072304,             0.00072304
                     11,                0.25799,                0.47488,                 0.0262,                0.86964,                0.67549,                0.68167,                0.53294,                0.24612,                0.66307,                0.02956,              0.0007093,              0.0007093,              0.0007093
                     12,                0.23725,                0.51082,                0.02388,                0.88648,                0.68138,                0.66473,                 0.5169,                  0.259,                0.66462,                0.03231,             0.00069556,             0.00069556,             0.00069556
                     13,                0.23179,                0.54907,                0.02454,                0.83132,                0.62512,                0.66046,                0.53501,                0.25793,                0.77817,                 0.0298,             0.00068181,             0.00068181,             0.00068181
                     14,                0.22669,                0.43581,                0.02295,                0.82909,                0.70728,                0.68133,                0.52811,                 0.2586,                 0.6529,                0.03107,             0.00066807,             0.00066807,             0.00066807
                     15,                0.26322,                0.45349,                0.02813,                0.86037,                0.73112,                0.70601,                0.55629,                0.25493,                0.61225,                 0.0315,             0.00065432,             0.00065432,             0.00065432
                     16,                0.25517,                0.44229,                0.03077,                0.87279,                0.69466,                 0.7197,                 0.5521,                 0.2835,                0.58399,                0.03688,             0.00064058,             0.00064058,             0.00064058
                     17,                0.20696,                0.39151,                0.02038,                0.87103,                0.72464,                0.71529,                0.56614,                0.25326,                0.60199,                0.03513,             0.00062683,             0.00062683,             0.00062683
                     18,                0.21608,                0.40419,                 0.0221,                  0.867,                 0.7123,                0.72254,                0.57558,                0.24922,                 0.5943,                0.03517,             0.00061309,             0.00061309,             0.00061309
                     19,                0.21492,                0.40627,                0.02298,                0.89651,                0.68882,                0.71219,                0.55936,                0.24119,                0.60468,                0.02744,             0.00059934,             0.00059934,             0.00059934
                     20,                0.20785,                0.37503,                 0.0226,                0.86747,                0.72966,                0.72939,                0.57308,                0.23974,                0.61551,                0.02762,              0.0005856,              0.0005856,              0.0005856
                     21,                0.21205,                0.36777,                 0.0245,                0.92194,                0.70479,                0.72551,                0.56449,                 0.2457,                0.59002,                0.02879,             0.00057185,             0.00057185,             0.00057185
                     22,                0.22652,                0.44834,                0.02515,                0.88528,                0.69394,                0.73015,                0.57315,                0.24452,                0.59759,                0.03116,             0.00055811,             0.00055811,             0.00055811
                     23,                0.22144,                0.41954,                0.02607,                0.74525,                0.64252,                  0.629,                0.49396,                0.25066,                0.75505,                0.03233,             0.00054437,             0.00054437,             0.00054437
                     24,                0.20624,                0.42164,                0.02248,                0.87438,                0.71183,                0.71379,                0.56025,                0.24772,                0.60861,                0.03074,             0.00053062,             0.00053062,             0.00053062
                     25,                  0.203,                0.42358,                0.02313,                0.89118,                0.64992,                0.68167,                0.54356,                0.24602,                0.64142,                0.03096,             0.00051688,             0.00051688,             0.00051688
                     26,                0.18845,                0.41186,                0.02003,                 0.9229,                0.66511,                0.70472,                0.55492,                0.23905,                 0.6306,                0.02785,             0.00050313,             0.00050313,             0.00050313
                     27,                0.23859,                0.44268,                0.02471,                0.85566,                0.69325,                 0.6682,                0.52037,                0.25297,                0.77134,                0.03051,             0.00048939,             0.00048939,             0.00048939
                     28,                0.20303,                0.39636,                0.01752,                0.89948,                0.72285,                 0.7217,                0.56912,                0.24423,                0.58208,                0.02654,             0.00047564,             0.00047564,             0.00047564
