                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0079,                 14.153,                0.92174,                0.92388,                 46.471,                0.83046,                0.28732,                0.15013,                0.11976,                0.08163,                 1.0293,                  9.679,                0.95127,                 1.0722,                 36.105,                0.93297,             0.00027716,             0.00027716,             0.00027716
                      2,                 1.0296,                 11.235,                0.94677,                 0.9691,                 40.422,                0.88091,                0.41654,                0.23797,                0.11458,                 0.0819,                 1.0474,                  8.626,                0.97663,                 1.0711,                  31.35,                 0.9462,             0.00054567,             0.00054567,             0.00054567
                      3,                0.98174,                 9.5107,                0.95178,                0.93148,                 33.797,                 0.8612,                0.54664,                0.21252,                0.16767,                0.12328,                 1.0309,                 7.1497,                  1.015,                 1.0146,                 26.657,                0.95801,             0.00080502,             0.00080502,             0.00080502
                      4,                0.97958,                 8.3457,                0.95101,                0.99311,                 29.544,                0.88239,                0.46682,                0.23784,                0.16719,                0.11886,                 1.0705,                 6.5774,                 1.0234,                 1.0187,                 22.934,                 0.9815,             0.00079177,             0.00079177,             0.00079177
                      5,                0.94009,                 6.8184,                 0.9736,                0.90387,                 25.205,                0.87769,                0.51416,                0.26253,                0.24213,                0.17672,                 0.9979,                 5.4827,                0.99975,                 1.0219,                 19.163,                 0.9467,             0.00079177,             0.00079177,             0.00079177
                      6,                0.89547,                   5.87,                0.94703,                0.88548,                 20.987,                0.87333,                0.48176,                 0.2936,                0.31832,                0.23986,                0.98313,                 4.8727,                 1.0097,                 1.0339,                 16.373,                 1.0173,             0.00077802,             0.00077802,             0.00077802
                      7,                0.90645,                 5.2819,                0.94866,                0.92663,                 17.615,                0.88426,                0.66829,                0.31094,                 0.3498,                0.25078,                  1.007,                 4.1595,                  1.021,                 1.0919,                 14.031,                0.98935,             0.00076428,             0.00076428,             0.00076428
                      8,                0.87115,                 4.6403,                 0.9319,                0.92684,                 15.365,                0.87997,                0.61899,                0.37145,                0.41068,                0.28966,                 0.9967,                 3.6408,                 1.0281,                 1.0518,                 12.056,                0.97843,             0.00075053,             0.00075053,             0.00075053
                      9,                0.88226,                 4.0913,                0.97027,                0.91736,                 13.425,                0.90243,                 0.4705,                0.37846,                0.36128,                0.26892,                0.99768,                  3.545,                 1.0249,                 1.0496,                 10.745,                 1.0054,             0.00073679,             0.00073679,             0.00073679
                     10,                  0.837,                 3.4552,                0.93757,                0.87164,                 11.218,                0.88066,                0.72729,                0.35251,                0.46049,                0.33821,                 0.9761,                 3.1057,                 1.0012,                 1.0438,                 9.1265,                0.97199,             0.00072304,             0.00072304,             0.00072304
                     11,                  0.853,                 3.0641,                0.94001,                0.88433,                 9.5589,                0.88206,                0.53659,                0.50828,                0.48043,                0.34909,                 0.9786,                 2.7108,                 1.0325,                 1.0462,                 7.9208,                 1.0072,              0.0007093,              0.0007093,              0.0007093
                     12,                 0.8132,                 2.7172,                0.92425,                0.88184,                  8.377,                0.87967,                0.58793,                0.55519,                 0.5106,                0.36182,                0.94573,                 2.3712,                 1.0176,                 1.0609,                 7.0526,                0.99466,             0.00069556,             0.00069556,             0.00069556
                     13,                0.78647,                 2.4647,                0.92497,                0.82595,                  7.165,                0.87649,                0.61482,                0.51438,                0.50028,                0.37809,                0.93579,                 2.3028,                 1.0055,                0.98265,                  6.206,                0.99833,             0.00068181,             0.00068181,             0.00068181
                     14,                0.79202,                 2.3183,                0.91437,                0.84817,                  6.551,                0.88116,                0.68313,                0.48879,                0.51794,                0.38583,                 0.9269,                 2.2332,                 1.0249,                0.98277,                 5.6459,                 1.0133,             0.00066807,             0.00066807,             0.00066807
                     15,                0.80356,                 2.1436,                0.91465,                0.84434,                 5.7667,                0.87193,                0.65958,                 0.4467,                 0.5206,                0.36654,                0.98141,                 2.2519,                  1.034,                 1.1052,                 5.2363,                 1.0255,             0.00065432,             0.00065432,             0.00065432
                     16,                  0.778,                 1.9261,                 0.9123,                 0.8266,                 5.2114,                0.86991,                0.69515,                0.49171,                0.49543,                0.37094,                0.93345,                  2.063,                 1.0205,                 1.0214,                 4.7416,                 1.0112,             0.00064058,             0.00064058,             0.00064058
                     17,                0.76099,                 1.8288,                0.89145,                  0.798,                 4.7795,                0.85637,                0.57673,                0.53401,                 0.4754,                0.35941,                0.93314,                 2.0141,                 1.0208,                0.99572,                 4.4541,                 1.0026,             0.00062683,             0.00062683,             0.00062683
                     18,                0.73263,                 1.6723,                0.90292,                0.76965,                 4.3449,                0.85375,                0.70712,                0.45836,                0.51353,                0.38747,                0.91061,                 1.8935,                 1.0175,                 1.0074,                 4.0495,                 1.0094,             0.00061309,             0.00061309,             0.00061309
                     19,                0.73393,                 1.5786,                0.89951,                0.78905,                 3.9368,                0.85589,                0.79906,                0.42565,                0.55534,                0.41132,                0.91713,                 1.7355,                 1.0306,                 1.0206,                 3.7682,                 1.0076,             0.00059934,             0.00059934,             0.00059934
                     20,                0.74533,                 1.4764,                0.91348,                0.79387,                 3.6859,                0.86401,                0.69243,                0.50093,                0.56069,                0.41846,                0.90788,                 1.6223,                 1.0077,                0.98476,                 3.4529,                0.99208,              0.0005856,              0.0005856,              0.0005856
                     21,                0.73693,                 1.4101,                0.88935,                 0.7988,                 3.4076,                0.85556,                 0.6899,                0.49597,                0.55139,                0.41266,                0.90488,                 1.6421,                 1.0158,                0.96237,                 3.3676,                0.98162,             0.00057185,             0.00057185,             0.00057185
                     22,                0.74101,                 1.3119,                0.90307,                0.78929,                 3.1906,                0.85647,                0.71647,                0.49225,                0.55113,                0.39959,                 0.9342,                 1.5575,                 1.0286,                 1.0334,                 3.2537,                0.99437,             0.00055811,             0.00055811,             0.00055811
                     23,                 0.7341,                 1.3019,                0.88862,                0.79931,                 2.9604,                0.84783,                0.69251,                0.53041,                0.54873,                0.41027,                0.90501,                 1.6343,                 1.0389,                0.96067,                 2.9876,                0.97914,             0.00054437,             0.00054437,             0.00054437
                     24,                0.74749,                 1.2624,                0.90927,                0.81121,                 2.7646,                0.85838,                0.64493,                0.54398,                0.54902,                0.40772,                0.97068,                 1.6311,                 1.0228,                 0.9912,                 3.0252,                0.98691,             0.00053062,             0.00053062,             0.00053062
                     25,                0.71039,                 1.1973,                0.88394,                0.75274,                 2.6458,                0.83964,                0.72297,                0.46272,                0.53402,                0.40049,                0.90819,                  1.598,                 1.0116,                0.96798,                 2.8247,                0.99913,             0.00051688,             0.00051688,             0.00051688
                     26,                0.69992,                 1.1479,                0.87943,                0.74144,                 2.5163,                0.84067,                0.69801,                0.51583,                0.55963,                0.41086,                0.92209,                 1.4897,                 1.0205,                 1.0128,                 2.7169,                0.99515,             0.00050313,             0.00050313,             0.00050313
                     27,                0.69964,                 1.1131,                0.86981,                0.75862,                 2.3691,                0.83333,                0.68849,                0.55368,                0.56191,                0.42211,                0.92101,                  1.471,                 1.0208,                0.98123,                 2.7327,                0.99358,             0.00048939,             0.00048939,             0.00048939
                     28,                0.69208,                  1.022,                0.88546,                0.74053,                 2.2538,                0.84307,                0.74013,                0.51598,                0.58224,                0.43607,                0.90517,                 1.4926,                 1.0235,                0.94858,                 2.4686,                0.99262,             0.00047564,             0.00047564,             0.00047564
                     29,                0.65684,                0.99989,                 0.8693,                0.72212,                  2.064,                0.83549,                0.71702,                 0.5119,                0.55719,                0.40551,                 0.9212,                 1.4699,                 1.0418,                0.97388,                 2.4809,                0.98813,              0.0004619,              0.0004619,              0.0004619
                     30,                 0.6644,                 0.9637,                0.87366,                0.71024,                 2.0497,                0.82736,                0.74354,                0.54503,                0.58012,                0.44324,                0.89796,                 1.5985,                 1.0129,                0.93081,                 2.3604,                0.97536,             0.00044815,             0.00044815,             0.00044815
                     31,                0.65123,                0.94236,                0.87362,                0.69496,                 1.9925,                0.83646,                0.73998,                0.57931,                0.58289,                0.43734,                0.87213,                 1.3808,                 1.0113,                0.95736,                 2.3182,                0.97207,             0.00043441,             0.00043441,             0.00043441
                     32,                0.63434,                0.86484,                0.86078,                0.71077,                 1.8537,                0.83039,                0.76383,                0.53926,                0.60623,                 0.4426,                0.90395,                 1.3437,                 1.0253,                0.96323,                 2.2492,                 0.9951,             0.00042066,             0.00042066,             0.00042066
                     33,                0.67483,                0.89116,                0.86842,                0.72067,                 1.8491,                0.83436,                0.73733,                0.56186,                0.60566,                 0.4496,                0.88936,                 1.2859,                 1.0122,                0.99244,                 2.1681,                0.99845,             0.00040692,             0.00040692,             0.00040692
                     34,                0.64628,                0.87071,                   0.86,                0.71186,                 1.7306,                0.83017,                0.78656,                0.55238,                0.62097,                0.46972,                0.87333,                 1.2707,                  1.007,                0.91942,                 2.0789,                0.97644,             0.00039318,             0.00039318,             0.00039318
                     35,                0.65361,                0.83028,                0.85359,                  0.685,                 1.6954,                0.81584,                0.76001,                0.57081,                0.62607,                0.47058,                0.88592,                 1.2583,                 1.0036,                0.92861,                 2.0727,                0.97401,             0.00037943,             0.00037943,             0.00037943
                     36,                0.63818,                0.79702,                0.85979,                0.67529,                 1.6228,                0.81621,                0.70918,                0.60755,                 0.6036,                0.46585,                0.87936,                  1.243,                 1.0174,                0.90222,                  1.974,                0.97962,             0.00036569,             0.00036569,             0.00036569
                     37,                0.62379,                0.77232,                0.85028,                 0.6455,                 1.5695,                0.81825,                0.73999,                0.56941,                0.60683,                0.45311,                0.87047,                 1.2229,                0.99857,                0.92549,                 1.9755,                 0.9668,             0.00035194,             0.00035194,             0.00035194
                     38,                0.61629,                0.75828,                0.84179,                0.65382,                 1.5436,                0.81829,                0.73833,                0.55038,                0.60356,                0.45793,                0.86782,                 1.2749,                 1.0096,                0.93295,                 1.9974,                0.99157,              0.0003382,              0.0003382,              0.0003382
                     39,                0.61989,                0.75855,                0.85568,                0.65443,                 1.4887,                0.81925,                0.68905,                  0.582,                0.59638,                0.44348,                0.85961,                 1.2766,                 1.0177,                 0.9049,                 1.9934,                0.98599,             0.00032445,             0.00032445,             0.00032445
                     40,                0.60064,                0.75098,                0.84766,                0.64223,                 1.4643,                0.82026,                0.74665,                  0.543,                0.60064,                0.45386,                0.87137,                 1.3334,                 1.0022,                0.91426,                 1.9961,                0.99003,             0.00031071,             0.00031071,             0.00031071
