                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9273,                 7.6196,                0.99188,                0.88556,                 32.697,                0.91773,                0.42096,                0.31391,                0.26357,                0.19957,                 1.0208,                 3.3123,                 1.1092,                 1.0163,                  8.071,                   1.06,             0.00027716,             0.00027716,             0.00027716
                      2,                 1.0298,                 2.6608,                 1.0896,                0.99933,                 5.8382,                 1.0341,                0.68533,                0.32885,                0.33194,                0.23023,                 1.1544,                 2.7103,                 1.1858,                 1.2091,                 4.0436,                 1.2094,             0.00054796,             0.00054796,             0.00054796
                      3,                  1.088,                 2.1024,                  1.124,                 1.1119,                  3.131,                 1.1135,                0.63028,                0.30488,                0.37029,                0.24146,                 1.2742,                 2.6511,                 1.2557,                  1.309,                 2.9891,                 1.2411,             0.00081189,             0.00081189,             0.00081189
                      4,                 1.0942,                 1.8578,                 1.1427,                 1.0689,                 2.4791,                 1.0917,                0.49603,                0.36239,                0.36922,                 0.2533,                 1.2219,                 2.1835,                 1.2885,                 1.2553,                 2.9042,                 1.2611,             0.00080207,             0.00080207,             0.00080207
                      5,                 1.0549,                 1.4306,                 1.1431,                 1.0489,                 1.8728,                 1.1076,                 0.4376,                0.49172,                0.48491,                0.33268,                 1.2384,                 1.5688,                 1.3281,                 1.2473,                 1.9279,                 1.3097,             0.00080207,             0.00080207,             0.00080207
                      6,                 1.0116,                   1.25,                  1.108,                 1.0145,                 1.5155,                 1.0764,                0.78406,                0.46907,                 0.5476,                0.39644,                 1.1236,                 1.5175,                 1.2088,                  1.163,                 1.6862,                 1.2019,             0.00079177,             0.00079177,             0.00079177
                      7,                0.96689,                 1.1149,                 1.0488,                0.98508,                 1.2495,                 1.0292,                0.73273,                0.59475,                0.62431,                0.44715,                 1.0701,                 1.3234,                 1.1572,                 1.1134,                 1.4864,                 1.2007,             0.00078146,             0.00078146,             0.00078146
                      8,                0.92659,                0.99706,                 1.0162,                0.94041,                 1.0676,                 1.0081,                0.78456,                0.50369,                0.58448,                0.43618,                 1.0941,                 1.3928,                 1.1984,                 1.1304,                 1.3798,                 1.2226,             0.00077115,             0.00077115,             0.00077115
                      9,                 0.9357,                0.94937,                 1.0512,                0.92853,                0.95988,                 1.0246,                0.79048,                0.50997,                0.57302,                0.41393,                 1.1102,                 1.3133,                 1.1944,                 1.1612,                 1.3254,                 1.2147,             0.00076084,             0.00076084,             0.00076084
                     10,                0.88659,                0.87876,                   1.03,                0.91795,                0.88792,                 1.0121,                0.77727,                0.59412,                0.62058,                0.45404,                 1.0337,                 1.1685,                 1.1493,                  1.083,                  1.299,                 1.1841,             0.00075053,             0.00075053,             0.00075053
