                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89338,                 6.4016,                 0.9252,                0.45865,                0.36928,                 0.4252,                0.33591,                0.97683,                 2.6573,                 1.0478,             0.00027716,             0.00027716,             0.00027716
                      2,                0.92396,                 2.5516,                0.99611,                 0.6223,                0.44107,                 0.5651,                 0.4449,                 1.0245,                 2.1971,                 1.0657,             0.00054796,             0.00054796,             0.00054796
                      3,                0.94685,                 1.7762,                 1.0149,                0.70952,                0.52691,                 0.6512,                0.50223,                 1.0815,                  1.791,                 1.1265,             0.00081189,             0.00081189,             0.00081189
                      4,                0.95367,                  1.524,                 1.0305,                0.62666,                0.59039,                0.65135,                0.50865,                 1.0561,                 1.4657,                 1.1169,             0.00080207,             0.00080207,             0.00080207
                      5,                 0.8817,                 1.2608,                 1.0273,                0.75594,                0.61058,                0.70913,                0.56582,                0.99582,                 1.2071,                  1.108,             0.00080207,             0.00080207,             0.00080207
                      6,                0.87255,                 1.0573,                 1.0124,                0.67019,                0.53213,                0.64395,                0.52032,                 1.0384,                  1.371,                 1.1523,             0.00079177,             0.00079177,             0.00079177
                      7,                0.88905,                 1.0087,                0.99969,                0.75296,                0.57762,                0.68782,                0.54133,                  1.019,                 1.1479,                   1.11,             0.00078146,             0.00078146,             0.00078146
                      8,                0.86895,                0.88408,                0.99063,                 0.7031,                0.63101,                0.70499,                0.56522,                 1.0041,                 1.1063,                  1.129,             0.00077115,             0.00077115,             0.00077115
                      9,                0.88321,                0.90012,                 1.0194,                0.65857,                0.63324,                 0.6655,                0.52591,                 1.0001,                 1.1369,                 1.1132,             0.00076084,             0.00076084,             0.00076084
                     10,                0.82286,                0.81277,                0.99446,                0.73587,                0.65804,                0.71507,                0.57396,                0.95389,                 1.0743,                 1.0891,             0.00075053,             0.00075053,             0.00075053
                     11,                0.86065,                0.76413,                0.99473,                0.74299,                0.63491,                 0.7195,                0.56283,                 1.0402,                 1.0421,                 1.1468,             0.00074022,             0.00074022,             0.00074022
                     12,                0.82481,                0.78471,                0.97614,                 0.7143,                0.68002,                0.72343,                0.55393,                  1.031,                 1.0488,                 1.1159,             0.00072992,             0.00072992,             0.00072992
                     13,                0.80753,                0.76384,                0.98209,                0.73059,                0.64558,                0.71415,                0.57939,                0.96742,                  1.022,                 1.0899,             0.00071961,             0.00071961,             0.00071961
                     14,                0.82078,                0.72973,                0.97437,                0.68225,                0.70464,                0.73549,                0.59422,                0.95679,                 1.0068,                 1.1033,              0.0007093,              0.0007093,              0.0007093
                     15,                0.85089,                0.78873,                0.98086,                0.71991,                0.68221,                 0.7272,                0.58618,                0.95915,                0.96364,                 1.1027,             0.00069899,             0.00069899,             0.00069899
                     16,                0.78559,                0.69316,                0.96695,                0.71482,                0.68655,                0.72216,                0.56917,                 1.0112,                 1.0144,                 1.1274,             0.00068868,             0.00068868,             0.00068868
                     17,                0.76282,                0.65475,                0.93442,                  0.769,                0.70389,                0.75808,                0.61145,                0.95379,                0.89437,                 1.0897,             0.00067837,             0.00067837,             0.00067837
