                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88418,                 5.9245,                0.86206,                0.90523,                 23.925,                0.75839,                0.54036,                0.17917,                0.18684,                0.13297,                  1.017,                 3.7604,                 0.8521,                 1.1433,                 9.2175,                0.80564,             0.00047387,             0.00047387,             0.00047387
                      2,                0.98623,                 3.4698,                0.85978,                0.94636,                 7.2279,                0.79178,                0.63833,                0.27007,                0.24584,                0.17851,                 1.1316,                 3.0662,                 0.8788,                 1.1623,                 4.6876,                0.87379,             0.00093452,             0.00093452,             0.00093452
                      3,                0.99752,                 2.5057,                0.89804,                0.99019,                 3.5806,                0.84552,                0.66407,                0.30228,                0.31984,                 0.2123,                 1.2153,                 3.8418,                0.89758,                 1.4026,                 3.4586,                0.90591,              0.0013795,              0.0013795,              0.0013795
                      4,                 1.1007,                 2.6205,                0.91529,                 1.0387,                 2.8256,                 0.8475,                0.63045,                0.40288,                0.29695,                0.19222,                 1.2051,                 2.7437,                0.91551,                 1.4314,                 3.4455,                0.99603,              0.0013583,              0.0013583,              0.0013583
                      5,                  1.168,                 1.7748,                0.91159,                 1.1014,                 1.8217,                0.86066,                0.89004,                0.17647,                0.28992,                0.19043,                 1.1712,                 2.3292,                0.89784,                 1.3992,                 2.4285,                0.96438,              0.0013583,              0.0013583,              0.0013583
                      6,                 1.0848,                  1.528,                0.91165,                0.97792,                 1.9417,                0.85654,                0.87643,                0.35009,                0.36452,                0.20447,                 1.2064,                 2.2634,                0.91347,                 1.4743,                 3.3313,                0.97676,              0.0013347,              0.0013347,              0.0013347
                      7,                 1.1435,                  1.365,                0.91411,                 1.1565,                 1.6399,                0.87533,                0.53699,                0.19506,                0.28842,                0.18076,                 1.2703,                 1.9534,                0.95895,                 1.4192,                 2.4337,                0.96882,              0.0013111,              0.0013111,              0.0013111
                      8,                 1.0824,                 1.1896,                0.92864,                 1.1178,                 1.2752,                0.86167,                0.33363,                0.01307,                  3e-05,                  2e-05,                 2.2439,                 63.318,                 8.0914,                0.96367,                 180.21,                 1.2388,              0.0012875,              0.0012875,              0.0012875
                      9,                 1.1058,                 1.0686,                0.89774,                 1.1498,                 1.2792,                 0.8468,                  2e-05,                0.00654,                  1e-05,                      0,                 3.1881,                  31988,                 4.3914,                 2.9485,                  15136,                 3.5788,               0.001264,               0.001264,               0.001264
                     10,                 1.0407,                 1.0737,                0.87462,                 1.2884,                 1.2278,                0.86891,                0.33444,                0.03268,                0.00037,                0.00014,                  2.638,                 311.62,                 1.8968,                 2.3135,                 42.874,                 1.6808,              0.0012404,              0.0012404,              0.0012404
                     11,                  1.016,                 1.0452,                0.90916,                 1.0543,                0.99803,                0.85148,                0.66872,                 0.2405,                0.18538,                0.11035,                 1.3032,                 1.9318,                0.95962,                 1.4807,                 3.9496,                0.98686,              0.0012168,              0.0012168,              0.0012168
                     12,                 1.0175,                 1.1382,                0.90337,                 1.1043,                 1.0312,                0.85217,                0.75769,                0.35007,                0.32717,                0.21911,                  1.279,                 2.2023,                0.96374,                   1.45,                 2.0854,                0.97088,              0.0011932,              0.0011932,              0.0011932
                     13,                 1.0487,                 1.0025,                0.89272,                 1.1536,                0.81238,                0.87487,                0.79876,                0.36863,                0.38552,                0.25364,                 1.3082,                 1.6954,                0.98494,                 1.3994,                 1.9365,                0.99407,              0.0011696,              0.0011696,              0.0011696
