                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87295,                 4.0157,                 0.8477,                0.80621,                 9.4907,                0.78962,                0.35564,                0.03922,                0.00852,                0.00658,                 1.6578,                 7.9826,                 1.0946,                 1.4593,                 7.0988,                 1.0095,             0.00047387,             0.00047387,             0.00047387
                      2,                 1.0655,                 2.9446,                 0.8822,                0.94989,                 3.1418,                0.81577,                0.81154,                0.09551,                0.24571,                0.17753,                  1.249,                  3.812,                  0.915,                  1.246,                 3.8754,                0.89201,             0.00092668,             0.00092668,             0.00092668
                      3,                 1.2721,                 3.2467,                0.97404,                 1.1009,                  3.428,                0.86803,                0.01095,                0.05882,                0.02814,                0.02125,                  1.578,                 108.57,                 1.6401,                 1.5883,                 31.686,                 1.0814,              0.0013559,              0.0013559,              0.0013559
                      4,                 1.5388,                  27.13,                 1.0879,                 1.2297,                 4.2941,                0.89882,                0.59482,                0.36732,                0.28374,                0.16211,                 1.6016,                 22.892,                  1.103,                  1.639,                 5.4305,                 1.0688,              0.0013229,              0.0013229,              0.0013229
                      5,                 1.5106,                 5.0381,                 1.0259,                 1.3276,                 2.3996,                0.90674,                0.29931,                0.01987,                0.01246,                0.00881,                 2.6432,                 3614.5,                 5.3635,                 2.3919,                 8947.8,                 4.6567,              0.0013229,              0.0013229,              0.0013229
                      6,                 1.3925,                 2.7283,                 1.0423,                 1.3063,                 2.2183,                0.91615,                0.00584,                0.08654,                 0.0039,                0.00246,                 2.4771,                 49.491,                 2.4345,                 1.9996,                 218.62,                 1.8031,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.4188,                 2.4751,                 1.0157,                 1.3248,                 1.6771,                0.94094,                0.00584,                0.08654,                 0.0039,                0.00246,                 1.5632,                 311.43,                   5.04,                 0.4586,                   9209,                 2.2835,              0.0012522,              0.0012522,              0.0012522
                      8,                 1.3711,                 1.7784,                 1.0181,                  1.285,                 1.6252,                0.94601,                 0.8128,                 0.0719,                0.07002,                0.04102,                 1.9465,                 3.8011,                 1.3878,                 2.1119,                 11.258,                 1.5883,              0.0012168,              0.0012168,              0.0012168
                      9,                 1.3644,                 1.5249,                0.97841,                 1.2903,                 1.3187,                0.88115,                0.53221,                0.17098,                0.12989,                0.07823,                 1.7832,                 3.2058,                 1.1317,                 1.6488,                 3.4193,                 1.1114,              0.0011814,              0.0011814,              0.0011814
                     10,                 1.1958,                 1.2891,                0.93284,                 1.1604,                 1.0547,                0.87101,                 0.2642,                0.32274,                0.23672,                0.12373,                 1.8254,                 2.2948,                 1.1045,                  2.044,                 2.4241,                 1.1358,              0.0011461,              0.0011461,              0.0011461
                     11,                 1.1621,                 1.2397,                0.95937,                  1.176,                0.91086,                0.88767,                0.69955,                0.34695,                0.36449,                0.22907,                 1.2485,                 1.7795,                 0.9513,                 1.5605,                 1.7796,                0.99917,              0.0011107,              0.0011107,              0.0011107
