                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1172,                 7.2687,                  0.964,                0.99112,                 15.275,                 0.8808,                 0.0085,                   0.25,                0.06288,                0.03197,                 1.9093,                 49.459,                 1.2887,                 1.8077,                 11.657,                 1.1651,             0.00054935,             0.00054935,             0.00054935
                      2,                 1.5494,                 5.7226,                  1.068,                 1.3054,                 8.8517,                0.91926,                0.44191,                0.22727,                0.25278,                0.15548,                 1.9924,                 122.07,                  1.434,                 1.9011,                 35.632,                 1.3534,              0.0010777,              0.0010777,              0.0010777
                      3,                   2.17,                 7.7053,                 1.2697,                 1.7154,                 7.8109,                  1.068,                0.44191,                0.22727,                0.25278,                0.15548,                 2.8351,                 8.5227,                   1.72,                 2.3178,                 25.948,                  1.476,              0.0015785,              0.0015785,              0.0015785
                      4,                 2.1144,                 7.3972,                 1.2556,                  1.656,                 7.2587,                 1.0499,                0.00024,                0.16667,                 0.0002,                 0.0001,                 2.6298,                   2986,                 2.1019,                 2.1359,                 10.698,                 1.3716,              0.0015432,              0.0015432,              0.0015432
                      5,                 1.7831,                 5.3248,                 1.1846,                 1.4365,                 5.6983,                0.98742,                0.58387,                0.02273,                0.04035,                0.01809,                 1.9324,                 6.5548,                 1.4429,                 1.6908,                 6.2413,                 1.2638,              0.0015432,              0.0015432,              0.0015432
                      6,                 1.7202,                 4.7772,                  1.121,                 1.2832,                 4.2702,                0.92364,                0.00024,                0.09091,                0.00015,                  8e-05,                 2.6235,                  21134,                 6.6453,                 1.9488,                  21014,                 3.0779,               0.001502,               0.001502,               0.001502
                      7,                 1.9565,                 4.4938,                 1.2863,                 1.3876,                 5.5239,                0.97621,                0.63785,                0.22727,                0.20609,                0.11913,                 2.3124,                 4.3117,                 1.8953,                 1.8291,                 15.731,                 1.5673,              0.0014607,              0.0014607,              0.0014607
                      8,                 2.0581,                 3.6995,                 1.2686,                 1.4782,                 3.7677,                 1.0082,                 0.4194,                0.25758,                0.21734,                0.12101,                 2.5397,                 4396.1,                 3.3298,                 1.8518,                 3.5644,                 1.7288,              0.0014195,              0.0014195,              0.0014195
                      9,                 1.8131,                 2.9316,                 1.2668,                 1.3639,                 2.7881,                 1.0115,                0.23488,                0.02273,                0.01973,                0.01324,                 2.8102,                 3231.9,                 46.469,                 1.5337,                   5335,                  10.63,              0.0013782,              0.0013782,              0.0013782
                     10,                 1.6191,                  3.414,                 1.0897,                 1.3021,                 2.3788,                0.92408,                0.12908,                0.06818,                0.04357,                0.03387,                 2.8094,                 73.523,                 3.5482,                   2.44,                 2725.2,                 2.2773,              0.0013369,              0.0013369,              0.0013369
                     11,                 1.5415,                 2.6152,                 1.0583,                 1.2772,                 2.2073,                0.89987,                0.80298,                0.20455,                0.23538,                 0.1429,                 1.9365,                 2.6363,                 1.4926,                 1.9745,                 2.9869,                 1.3661,              0.0012957,              0.0012957,              0.0012957
                     12,                  1.408,                  2.231,                 1.0369,                 1.3028,                 2.2533,                0.93579,                0.19535,                0.24242,                0.19062,                0.11145,                 1.7315,                 2.4156,                  1.426,                  1.866,                  2.685,                 1.3521,              0.0012544,              0.0012544,              0.0012544
                     13,                 1.4719,                 1.7363,                 1.0994,                 1.2602,                 2.0279,                0.95738,                 0.2524,                0.06818,                0.10783,                 0.0591,                 3.0614,                  229.2,                 21.378,                 2.0627,                 4.3719,                 5.1874,              0.0012132,              0.0012132,              0.0012132
                     14,                 1.4948,                 1.8972,                 1.0842,                 1.3482,                 1.8246,                0.95203,                0.45149,                0.73485,                0.51595,                0.27972,                 1.6406,                 2.7024,                 1.5303,                  1.665,                 2.4317,                  1.386,              0.0011719,              0.0011719,              0.0011719
                     15,                 1.3589,                 2.1738,                 1.0317,                 1.3775,                 2.0087,                 0.9759,                0.39241,                 0.7197,                0.52474,                0.22636,                 1.7493,                 5.0183,                 1.5383,                 1.9083,                 3.3921,                 1.4281,              0.0011306,              0.0011306,              0.0011306
                     16,                 1.2336,                 1.7875,                  1.005,                 1.1917,                 1.5216,                0.91469,                0.46544,                0.54545,                0.46277,                0.27671,                  1.736,                 2.0655,                 1.3853,                  1.742,                 2.3979,                 1.3757,              0.0010894,              0.0010894,              0.0010894
                     17,                 1.3215,                  1.701,                  1.019,                 1.3126,                 1.5051,                0.93616,                0.61118,                0.59091,                 0.5692,                 0.2776,                 1.7025,                 1.9483,                 1.4742,                 1.8973,                 2.1995,                 1.4346,              0.0010481,              0.0010481,              0.0010481
                     18,                 1.3779,                  1.794,                 1.0543,                 1.2589,                  1.649,                0.94831,                0.66468,                0.61582,                0.62334,                0.30044,                 1.6768,                 1.9772,                 1.4958,                  1.886,                 2.0508,                 1.3495,              0.0010069,              0.0010069,              0.0010069
                     19,                  1.219,                 1.4581,                0.99041,                 1.1856,                 1.3011,                 0.9101,                0.45811,                0.61364,                0.45116,                0.26618,                 1.8184,                 1.9333,                 1.5017,                 1.9479,                 1.8627,                 1.4749,             0.00096561,             0.00096561,             0.00096561
                     20,                  1.253,                 1.6286,                0.92954,                 1.1621,                 1.3079,                0.83513,                0.45187,                0.61364,                0.53718,                0.29991,                 1.6304,                 1.8331,                 1.3849,                 1.8655,                 1.6589,                 1.4252,             0.00092435,             0.00092435,             0.00092435
                     21,                 1.1784,                  1.543,                0.98465,                 1.1709,                 1.2691,                0.92259,                 0.5145,                0.56773,                0.55013,                 0.3241,                 1.6856,                  2.249,                 1.3746,                 1.8433,                 1.6362,                    1.4,             0.00088309,             0.00088309,             0.00088309
                     22,                 1.2996,                 1.7033,                 1.0271,                 1.2695,                 1.6001,                0.95252,                0.52764,                0.57576,                0.50819,                0.26002,                 1.8073,                 1.8133,                  1.506,                 1.8736,                 1.8626,                 1.4141,             0.00084184,             0.00084184,             0.00084184
                     23,                 1.3393,                 1.5398,                 1.0476,                 1.1915,                 1.3161,                0.94094,                0.40283,                0.49242,                0.49553,                0.28675,                 1.7463,                 1.6318,                 1.4908,                 1.8435,                  1.619,                 1.4104,             0.00080058,             0.00080058,             0.00080058
                     24,                 1.1337,                 1.5086,                0.96011,                 1.1405,                 1.2938,                0.89688,                0.40543,                0.55303,                0.50057,                0.31603,                  1.764,                  1.787,                 1.4307,                 1.5987,                 1.6347,                 1.3463,             0.00075932,             0.00075932,             0.00075932
                     25,                 1.1876,                 1.3958,                0.96812,                 1.0821,                 1.1811,                0.89697,                0.57613,                0.52353,                0.46244,                0.26956,                 1.7753,                 1.7506,                 1.4013,                 1.5965,                  1.613,                 1.3491,             0.00071806,             0.00071806,             0.00071806
                     26,                  1.078,                 1.3139,                0.93649,                0.99328,                 1.1775,                0.87038,                0.54443,                0.46212,                0.49649,                0.28324,                 1.7298,                 1.7001,                 1.3716,                  1.556,                 1.7876,                 1.3727,              0.0006768,              0.0006768,              0.0006768
                     27,                 1.1506,                 1.3439,                0.98542,                 1.0661,                 1.1139,                0.90937,                0.44967,                0.73485,                0.53345,                0.29843,                 1.6016,                 1.7048,                 1.3178,                 1.6465,                 1.9756,                 1.4002,             0.00063554,             0.00063554,             0.00063554
                     28,                 1.0907,                 1.3434,                0.94117,                 1.0526,                 1.3045,                0.88751,                0.48045,                0.72172,                0.56279,                0.33146,                 1.5351,                 1.6341,                 1.3134,                 1.7284,                 1.6578,                 1.3951,             0.00059429,             0.00059429,             0.00059429
                     29,                 1.0237,                 1.2336,                0.90949,                 1.0074,                 1.0858,                0.84264,                0.64153,                0.59495,                 0.5879,                0.32563,                  1.472,                 1.6282,                 1.2888,                 1.7646,                 1.5844,                 1.4018,             0.00055303,             0.00055303,             0.00055303
                     30,                 1.0554,                 1.3068,                0.92651,                0.93939,                 1.2067,                0.84074,                0.55152,                0.55303,                0.52635,                0.32285,                 1.5706,                 1.4653,                 1.3859,                 1.5145,                 1.6903,                 1.3216,             0.00051177,             0.00051177,             0.00051177
                     31,                 1.0294,                 1.2802,                0.89179,                 0.8524,                 1.0034,                0.76703,                 0.5902,                0.50758,                0.47323,                0.29789,                 1.5503,                   1.48,                 1.4317,                  1.529,                 1.8343,                 1.3156,             0.00047051,             0.00047051,             0.00047051
                     32,                0.99622,                 1.1995,                 0.8795,                0.81161,                0.88504,                0.77138,                0.48429,                0.46797,                0.42743,                0.28856,                 1.5263,                 1.5662,                 1.4189,                 1.5255,                 1.9147,                 1.2801,             0.00042925,             0.00042925,             0.00042925
                     33,                0.95276,                 1.1118,                0.86013,                0.81657,                0.85203,                0.76857,                0.43464,                0.47349,                 0.4099,                0.28586,                 1.4726,                 1.4852,                 1.3248,                 1.5765,                  1.783,                 1.2643,             0.00038799,             0.00038799,             0.00038799
                     34,                0.86927,                 1.0647,                0.84593,                0.80303,                0.84298,                0.75928,                0.39565,                0.47301,                  0.403,                0.27191,                 1.5596,                 1.5379,                  1.343,                 1.6253,                 2.0048,                 1.2791,             0.00034674,             0.00034674,             0.00034674
                     35,                0.86856,                 1.0133,                0.84245,                0.77995,                0.83766,                0.76372,                0.58271,                0.28788,                0.43145,                0.30917,                 1.6279,                 1.5626,                 1.3536,                 1.6263,                  1.884,                 1.2238,             0.00030548,             0.00030548,             0.00030548
                     36,                0.83792,                0.96548,                0.83448,                0.74354,                  0.782,                0.74391,                0.52158,                0.33333,                 0.4347,                0.32049,                 1.5827,                 1.4917,                 1.3493,                 1.5709,                 1.8004,                 1.2349,             0.00026422,             0.00026422,             0.00026422
                     37,                0.81442,                   0.93,                0.82944,                0.72738,                0.76687,                0.75238,                0.64885,                0.35541,                 0.4579,                0.35248,                 1.4962,                 1.4391,                  1.322,                 1.5152,                 1.7245,                 1.2228,             0.00022296,             0.00022296,             0.00022296
                     38,                0.81405,                 0.9107,                0.82985,                0.73032,                0.74674,                0.75643,                0.52727,                0.46472,                0.49634,                0.38288,                 1.4572,                  1.354,                 1.3164,                 1.4877,                 1.6781,                 1.2303,              0.0001817,              0.0001817,              0.0001817
                     39,                0.73319,                0.84916,                0.81619,                0.69095,                 0.7113,                0.74087,                0.47481,                 0.4697,                0.50855,                0.36889,                  1.416,                 1.4338,                 1.2671,                 1.4213,                 1.8537,                 1.1827,             0.00014044,             0.00014044,             0.00014044
                     40,                0.76623,                0.86495,                0.82175,                0.68503,                0.64946,                0.75634,                0.57902,                0.55346,                 0.5879,                0.40563,                 1.4423,                 1.2937,                 1.2897,                  1.509,                 1.6396,                 1.2308,             9.9187e-05,             9.9187e-05,             9.9187e-05
