                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0457,                 6.4398,                0.85953,                0.37086,                0.21538,                0.28187,                0.22445,                 1.1111,                 4.5373,                0.87685,             0.00055503,             0.00055503,             0.00055503
                      2,                   1.04,                  4.396,                0.87368,                0.40805,                0.13654,                0.26847,                0.21915,                 1.1844,                 3.2687,                0.89651,              0.0010997,              0.0010997,              0.0010997
                      3,                 1.0361,                 2.8725,                0.88555,                0.54615,                0.02716,                0.28659,                0.24706,                 1.2085,                 2.5819,                0.92422,              0.0016334,              0.0016334,              0.0016334
                      4,                 1.0226,                 2.3585,                0.87952,                0.36585,                0.05769,                0.20584,                 0.1647,                 1.2183,                 2.2456,                0.91471,              0.0016175,              0.0016175,              0.0016175
                      5,                 0.9955,                 1.9053,                0.85671,                0.42982,                0.09423,                 0.2596,                0.22083,                 1.1575,                 1.8444,                0.90152,              0.0016175,              0.0016175,              0.0016175
                      6,                0.96622,                 1.5679,                0.87456,                0.44444,                0.07692,                0.25956,                0.20508,                 1.2072,                 1.8249,                 0.9076,               0.001601,               0.001601,               0.001601
                      7,                0.97178,                 1.4745,                 0.8593,                0.38462,                0.03846,                0.20818,                0.17552,                 1.2261,                 1.6252,                0.92194,              0.0015845,              0.0015845,              0.0015845
                      8,                0.99332,                 1.4232,                0.87394,                0.57639,                0.04254,                0.30543,                0.26265,                 1.1354,                 1.5591,                0.90001,               0.001568,               0.001568,               0.001568
                      9,                0.97193,                 1.2959,                0.86895,                    0.9,                0.01016,                 0.4558,                0.38951,                  1.097,                 1.5187,                0.91134,              0.0015515,              0.0015515,              0.0015515
                     10,                0.89428,                 1.2091,                0.84385,                 0.7375,                0.14308,                0.43314,                0.36849,                 1.0847,                 1.4818,                0.89433,               0.001535,               0.001535,               0.001535
                     11,                0.91483,                 1.2009,                 0.8324,                0.72358,                0.08617,                0.40057,                 0.3412,                 1.0924,                 1.4841,                0.90357,              0.0015185,              0.0015185,              0.0015185
                     12,                0.87244,                 1.2223,                0.83862,                0.42308,                0.02115,                0.22318,                0.20086,                 1.1584,                 1.6397,                0.90927,               0.001502,               0.001502,               0.001502
                     13,                 0.8566,                 1.0899,                0.84388,                   0.75,                0.01977,                0.38426,                 0.3612,                 1.1058,                  1.435,                0.89668,              0.0014855,              0.0014855,              0.0014855
                     14,                0.88054,                 1.0767,                0.83459,                0.75843,                0.20294,                0.47489,                0.38707,                  1.153,                 1.5157,                0.90191,               0.001469,               0.001469,               0.001469
                     15,                0.87955,                 1.1031,                0.84062,                   0.45,                0.06923,                0.25958,                0.22612,                 1.0844,                 1.4509,                0.90222,              0.0014525,              0.0014525,              0.0014525
                     16,                0.84326,                 1.0072,                0.83732,                0.71201,                0.17666,                0.43454,                0.36476,                 1.0795,                 1.4319,                0.90831,               0.001436,               0.001436,               0.001436
                     17,                0.87942,                   1.06,                0.83035,                0.92857,                0.02554,                0.47647,                0.42685,                 1.0974,                 1.5074,                0.90188,              0.0014195,              0.0014195,              0.0014195
                     18,                0.84132,                 1.0066,                0.82858,                0.93644,                  0.203,                0.56108,                0.49631,                 1.0798,                  1.516,                0.89811,              0.0014029,              0.0014029,              0.0014029
                     19,                0.81719,                0.97646,                0.84081,                  0.625,                0.05685,                0.33987,                0.29365,                 1.0931,                 1.4652,                0.91287,              0.0013864,              0.0013864,              0.0013864
                     20,                0.82969,                0.96675,                0.82248,                0.69761,                0.19083,                0.42294,                0.36106,                 1.0689,                 1.5442,                0.90049,              0.0013699,              0.0013699,              0.0013699
                     21,                0.82275,                0.91991,                0.84285,                    0.5,                0.01154,                0.25576,                0.23444,                 1.0333,                 1.5305,                 0.9007,              0.0013534,              0.0013534,              0.0013534
                     22,                0.81776,                0.94535,                0.82315,                0.74351,                0.04501,                0.38961,                0.32576,                 1.0784,                 1.5494,                0.90437,              0.0013369,              0.0013369,              0.0013369
                     23,                0.82358,                0.95915,                0.83716,                0.75641,                0.02608,                0.39309,                  0.326,                 1.0979,                 1.3476,                0.90424,              0.0013204,              0.0013204,              0.0013204
                     24,                0.88931,                0.95474,                0.84299,                0.89773,                0.06977,                0.48045,                0.40169,                 1.0915,                 1.3755,                0.91282,              0.0013039,              0.0013039,              0.0013039
                     25,                0.82194,                0.89689,                0.82043,                0.74242,                0.10624,                0.42406,                0.36129,                 1.0916,                 1.3155,                0.90817,              0.0012874,              0.0012874,              0.0012874
                     26,                0.79249,                0.89646,                0.81904,                0.73293,                0.17136,                0.44322,                0.38813,                 1.1036,                 1.5594,                0.91254,              0.0012709,              0.0012709,              0.0012709
                     27,                 0.8341,                0.90354,                0.83152,                0.73824,                0.08742,                0.40601,                0.35931,                 1.0832,                 1.4772,                 0.9176,              0.0012544,              0.0012544,              0.0012544
                     28,                0.78987,                0.87469,                0.82687,                0.66667,                0.04339,                0.35309,                0.31419,                 1.0923,                 1.3871,                0.91327,              0.0012379,              0.0012379,              0.0012379
                     29,                 0.7605,                0.84987,                0.81453,                0.68939,                 0.1501,                0.40772,                0.35083,                 1.0729,                 1.4619,                0.90625,              0.0012214,              0.0012214,              0.0012214
                     30,                0.79157,                0.87747,                0.81669,                0.76984,                0.11232,                0.44332,                0.37554,                 1.0517,                 1.3776,                0.89355,              0.0012049,              0.0012049,              0.0012049
                     31,                0.76277,                0.85172,                0.81558,                0.76379,                0.08064,                 0.4193,                0.37956,                 1.0534,                 1.2886,                0.89911,              0.0011884,              0.0011884,              0.0011884
                     32,                0.75001,                0.80397,                0.81218,                0.77236,                0.07416,                0.42341,                0.36051,                  1.088,                  1.552,                0.89647,              0.0011719,              0.0011719,              0.0011719
                     33,                0.77159,                0.79169,                0.81502,                0.88259,                0.10864,                0.49327,                0.44914,                 1.0463,                 1.3726,                0.89978,              0.0011554,              0.0011554,              0.0011554
