                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1623,                  7.601,                0.87502,                 1.0235,                 16.618,                0.77446,                0.29061,                 0.4246,                0.32559,                0.20447,                 1.2971,                 5.0717,                0.91357,                 1.3125,                 12.163,                0.88919,             0.00055503,             0.00055503,             0.00055503
                      2,                 1.1389,                 4.9993,                0.89091,                 1.0749,                 10.333,                0.80546,                0.50385,                0.33914,                0.36628,                0.24314,                 1.3004,                   3.94,                0.93694,                 1.3028,                 7.8761,                0.92971,              0.0011034,              0.0011034,              0.0011034
                      3,                 1.1544,                 3.4302,                0.90861,                 1.1173,                 6.5223,                0.83601,                0.47073,                0.49755,                0.41832,                 0.2861,                 1.3398,                 3.2403,                0.97359,                 1.3512,                 5.2188,                0.96197,              0.0016444,              0.0016444,              0.0016444
                      4,                 1.1379,                 2.7004,                0.90471,                 1.0885,                 4.2032,                 0.8479,                0.46846,                0.42639,                0.41469,                0.28289,                 1.3008,                 2.6075,                0.95247,                 1.3973,                 3.7915,                0.96804,               0.001634,               0.001634,               0.001634
                      5,                 1.0757,                 2.1745,                0.91143,                 1.0464,                 3.0461,                0.85183,                 0.3455,                0.51653,                0.42292,                 0.2929,                 1.2752,                 2.3549,                0.97567,                 1.2845,                 3.0439,                0.96813,               0.001634,               0.001634,               0.001634
                      6,                 1.0685,                 1.8337,                0.92581,                 1.0208,                 2.3279,                0.85512,                0.48252,                0.44495,                0.42321,                0.29902,                 1.3312,                  2.209,                0.97683,                 1.3196,                 2.7639,                0.96973,               0.001623,               0.001623,               0.001623
                      7,                 1.1277,                 1.6413,                 0.9117,                 1.0712,                 1.9584,                0.84899,                0.54729,                0.52756,                0.50171,                0.32431,                 1.3425,                 1.8509,                0.98024,                 1.4625,                 2.1294,                0.99326,               0.001612,               0.001612,               0.001612
                      8,                 1.0925,                 1.5629,                0.92553,                 1.0924,                 1.7833,                0.86036,                0.54116,                0.51387,                0.49353,                0.32983,                 1.2835,                 1.7506,                0.95092,                  1.364,                  2.002,                0.96714,               0.001601,               0.001601,               0.001601
                      9,                 1.0968,                 1.4438,                0.90354,                 1.0464,                 1.5488,                0.85333,                0.46283,                 0.5961,                0.51388,                0.35095,                 1.2495,                 1.6556,                0.97527,                 1.2855,                 1.8142,                0.98188,                0.00159,                0.00159,                0.00159
                     10,                0.99747,                 1.3641,                0.88003,                0.96001,                 1.4087,                0.82675,                0.53189,                0.54806,                0.51952,                0.37788,                 1.1941,                 1.6672,                0.93482,                 1.2636,                 1.7978,                0.94817,               0.001579,               0.001579,               0.001579
                     11,                 1.0187,                 1.2846,                0.87351,                0.93301,                 1.2723,                0.80351,                0.51478,                0.57475,                0.49759,                0.36688,                  1.248,                  1.695,                0.96747,                 1.2582,                 1.7407,                0.95233,               0.001568,               0.001568,               0.001568
                     12,                 1.0193,                 1.2936,                0.89041,                0.94297,                 1.2563,                0.82581,                0.56454,                0.52325,                0.54153,                0.36925,                 1.2625,                 1.6256,                0.97333,                 1.3534,                 1.6121,                0.96286,               0.001557,               0.001557,               0.001557
                     13,                0.92469,                 1.1636,                0.86565,                0.91568,                 1.1578,                0.82216,                0.55831,                0.60683,                0.57383,                0.40119,                 1.1874,                 1.4072,                0.94473,                 1.2553,                 1.4473,                 0.9324,               0.001546,               0.001546,               0.001546
                     14,                0.92975,                 1.1407,                0.85942,                 0.8816,                 1.1079,                0.80945,                0.56019,                0.53048,                0.52727,                 0.3728,                 1.2373,                 1.5455,                 0.9363,                 1.2332,                 1.5639,                0.93586,               0.001535,               0.001535,               0.001535
                     15,                0.95779,                 1.2063,                0.86647,                0.91882,                 1.0941,                0.81863,                0.56952,                0.59451,                0.55742,                0.40144,                 1.1623,                 1.4408,                0.92765,                 1.2161,                 1.4732,                0.93704,               0.001524,               0.001524,               0.001524
                     16,                0.90355,                 1.0835,                0.85716,                0.90328,                 1.0349,                 0.8115,                0.57735,                0.63176,                0.57587,                 0.4014,                 1.1605,                 1.4356,                0.93268,                 1.2163,                   1.49,                0.93128,               0.001513,               0.001513,               0.001513
                     17,                0.95263,                 1.1466,                0.85213,                0.90562,                 1.0384,                0.78917,                  0.556,                0.59793,                0.54288,                0.38845,                 1.2268,                 1.5772,                0.95837,                 1.2635,                 1.6685,                0.95283,               0.001502,               0.001502,               0.001502
                     18,                0.88286,                 1.0439,                0.85545,                0.87798,                0.98246,                0.80943,                0.55576,                0.57494,                0.56453,                0.40382,                 1.2051,                 1.7224,                0.94709,                 1.2393,                 1.6343,                0.94664,               0.001491,               0.001491,               0.001491
                     19,                0.86345,                 1.0426,                0.85516,                 0.8446,                0.98043,                0.80995,                0.53447,                0.64982,                0.57517,                0.41522,                 1.1942,                 1.4006,                0.94762,                 1.2231,                 1.4312,                0.93329,                0.00148,                0.00148,                0.00148
                     20,                0.87117,                0.99877,                0.83228,                0.86026,                0.88571,                0.78759,                0.58988,                0.62828,                0.58055,                 0.4281,                 1.1876,                 1.4312,                0.94618,                 1.1982,                 1.4262,                0.93317,               0.001469,               0.001469,               0.001469
                     21,                0.87559,                0.97187,                0.85475,                  0.838,                0.87349,                0.80877,                0.56131,                0.59533,                0.56826,                0.40996,                 1.1329,                 1.4465,                0.92857,                 1.1955,                 1.4035,                0.92843,               0.001458,               0.001458,               0.001458
                     22,                0.86251,                0.97416,                0.83467,                0.82854,                0.85334,                0.78149,                0.58903,                0.62755,                0.58269,                0.41605,                 1.1261,                  1.421,                0.92532,                 1.2022,                 1.3895,                0.92939,               0.001447,               0.001447,               0.001447
                     23,                0.85211,                 0.9409,                0.84714,                0.82153,                0.83565,                0.79475,                0.59161,                0.60008,                0.57805,                0.43046,                 1.1565,                 1.5152,                0.93713,                 1.2145,                 1.4563,                0.93764,               0.001436,               0.001436,               0.001436
                     24,                0.88749,                0.96568,                0.85172,                 0.8634,                0.86363,                0.80914,                0.58825,                0.61399,                0.55159,                0.39695,                 1.1943,                 1.4772,                0.95636,                 1.2009,                 1.4419,                0.93877,               0.001425,               0.001425,               0.001425
                     25,                0.86084,                0.91628,                0.83866,                 0.8333,                0.81253,                0.78991,                 0.5949,                0.62143,                0.60291,                0.42546,                 1.1367,                 1.2799,                0.93082,                 1.2111,                 1.2828,                 0.9343,              0.0014139,              0.0014139,              0.0014139
                     26,                0.84871,                0.93967,                0.83387,                0.82425,                0.82354,                0.78653,                0.56272,                0.65279,                 0.5633,                 0.4168,                 1.1519,                 1.4243,                0.93401,                 1.1768,                 1.3744,                0.91862,              0.0014029,              0.0014029,              0.0014029
                     27,                0.87882,                0.92804,                0.84905,                0.83684,                0.81569,                0.80004,                0.56228,                0.63973,                0.55755,                0.41559,                 1.1102,                 1.3634,                0.93678,                 1.1702,                 1.2986,                0.94208,              0.0013919,              0.0013919,              0.0013919
                     28,                0.81648,                0.95207,                0.83747,                0.81046,                0.80998,                0.79625,                0.52649,                0.61438,                 0.5651,                0.41344,                 1.0903,                 1.4099,                0.92735,                 1.1825,                 1.4497,                0.92598,              0.0013809,              0.0013809,              0.0013809
                     29,                0.80142,                0.88079,                0.82609,                0.78736,                 0.7516,                  0.783,                0.57739,                0.62482,                0.56069,                0.39002,                 1.1597,                 1.5062,                0.93891,                 1.2449,                 1.5662,                 0.9306,              0.0013699,              0.0013699,              0.0013699
                     30,                0.81563,                0.89436,                0.82866,                0.79255,                 0.7677,                0.78663,                0.54704,                0.62989,                0.54734,                0.39904,                 1.1259,                 1.5211,                0.92865,                 1.1896,                 1.4695,                0.92319,              0.0013589,              0.0013589,              0.0013589
                     31,                0.79677,                0.86154,                 0.8323,                0.79049,                0.74558,                0.79243,                0.58587,                0.58346,                0.55956,                0.41776,                 1.0849,                 1.5377,                0.92756,                 1.1468,                 1.5287,                0.92211,              0.0013479,              0.0013479,              0.0013479
                     32,                0.80739,                0.87858,                0.83426,                0.79443,                0.73032,                0.79506,                0.53245,                0.66726,                0.57385,                0.41919,                 1.0526,                 1.4399,                0.91096,                 1.1106,                 1.4232,                0.90788,              0.0013369,              0.0013369,              0.0013369
                     33,                0.79743,                0.79779,                0.82758,                0.80252,                0.68915,                0.79148,                 0.5614,                0.65283,                0.58484,                0.42769,                 1.0709,                 1.4943,                 0.9305,                 1.1308,                 1.4259,                0.92913,              0.0013259,              0.0013259,              0.0013259
                     34,                0.78276,                0.85136,                0.81656,                0.76601,                0.67546,                0.77655,                0.52725,                0.60568,                0.53259,                0.39722,                 1.0884,                 1.5423,                0.92923,                 1.1384,                 1.5072,                0.92799,              0.0013149,              0.0013149,              0.0013149
                     35,                0.78436,                0.81803,                0.81952,                0.77368,                0.67364,                0.78399,                0.56824,                0.59239,                0.55762,                0.40303,                 1.1567,                 1.4889,                0.94314,                 1.1987,                 1.4867,                0.93765,              0.0013039,              0.0013039,              0.0013039
                     36,                0.79405,                0.83582,                0.82873,                0.77517,                 0.6958,                0.78859,                0.53829,                0.62739,                0.56637,                0.40938,                 1.1096,                 1.5094,                0.92416,                 1.1766,                 1.4637,                0.91794,              0.0012929,              0.0012929,              0.0012929
                     37,                0.79429,                0.82262,                0.82719,                0.78779,                0.71784,                 0.7907,                 0.4957,                0.52798,                0.49576,                0.36052,                 1.0998,                 1.7413,                0.92587,                 1.1373,                 1.6444,                0.91902,              0.0012819,              0.0012819,              0.0012819
                     38,                0.81171,                0.82393,                0.82017,                0.77956,                0.66309,                0.78151,                 0.5644,                0.63494,                0.55801,                0.41349,                 1.1049,                 1.6403,                0.91872,                 1.1495,                 1.5174,                0.92646,              0.0012709,              0.0012709,              0.0012709
                     39,                0.77465,                 0.8074,                0.82738,                0.76317,                0.67674,                0.78863,                0.58345,                0.59239,                0.56103,                0.41717,                 1.1034,                 1.6145,                0.93092,                 1.1653,                 1.5832,                0.93804,              0.0012599,              0.0012599,              0.0012599
                     40,                0.74643,                0.78509,                 0.8022,                0.72152,                0.66244,                0.76264,                0.56286,                0.66183,                  0.575,                0.41633,                 1.0754,                 1.4515,                0.91379,                 1.1503,                 1.3823,                0.92194,              0.0012489,              0.0012489,              0.0012489
                     41,                0.75298,                0.78476,                0.82128,                0.74304,                0.65757,                0.77948,                0.59495,                0.61591,                0.56791,                0.42001,                 1.0901,                 1.5461,                 0.9209,                 1.1337,                 1.4308,                0.92557,              0.0012379,              0.0012379,              0.0012379
                     42,                0.74068,                0.75584,                0.80845,                0.74281,                0.63739,                0.77112,                0.57393,                0.59199,                0.56884,                0.41786,                 1.0916,                 1.4371,                0.90974,                 1.1469,                 1.4101,                0.92141,              0.0012269,              0.0012269,              0.0012269
                     43,                0.76067,                0.72804,                0.82274,                0.75262,                0.61703,                 0.7798,                0.60635,                0.66608,                 0.6028,                0.43096,                  1.055,                 1.4294,                0.91436,                 1.1201,                 1.4233,                0.91166,              0.0012159,              0.0012159,              0.0012159
                     44,                0.75713,                0.76198,                0.81741,                0.72753,                0.64162,                0.77899,                0.58648,                0.63439,                0.57895,                0.42928,                 1.1043,                 1.5428,                0.92044,                 1.1232,                 1.4198,                0.92124,              0.0012049,              0.0012049,              0.0012049
                     45,                0.74974,                 0.7524,                0.80961,                0.72479,                0.62166,                0.77463,                 0.5603,                0.63487,                0.55589,                0.40839,                 1.1022,                 1.5744,                0.92648,                 1.1635,                 1.4926,                0.91921,              0.0011939,              0.0011939,              0.0011939
                     46,                0.74312,                0.74031,                0.82371,                0.73258,                 0.5897,                0.78347,                 0.6107,                0.62161,                0.59203,                0.44305,                 1.0714,                 1.4659,                0.91855,                 1.1229,                 1.4028,                0.91843,              0.0011829,              0.0011829,              0.0011829
