                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1369,                 2.9333,                0.94151,                 1.0184,                 4.2835,                0.85191,                0.30937,                0.57869,                0.47116,                0.29574,                 1.4479,                 2.0408,                 1.0037,                 1.4377,                 2.1293,                0.99377,             0.00055503,             0.00055503,             0.00055503
                      2,                 1.2874,                 1.7847,                 0.9737,                 1.1786,                  1.696,                0.87328,                 0.2832,                0.26741,                0.21386,                0.13195,                 1.9741,                 3.7783,                 1.3322,                 1.9016,                 3.8587,                 1.1724,              0.0011052,              0.0011052,              0.0011052
                      3,                 1.2444,                 1.5614,                0.96909,                 1.1955,                 1.4492,                0.89526,                0.50674,                0.43654,                0.40519,                0.25019,                 1.6638,                 2.4199,                 1.1342,                  1.715,                 2.4865,                 1.1119,              0.0016499,              0.0016499,              0.0016499
                      4,                 1.2581,                 1.6157,                0.97287,                  1.193,                 1.4353,                0.89622,                0.35963,                0.57285,                0.47289,                0.30619,                 1.4763,                  1.714,                 1.0333,                 1.5543,                 1.6572,                  1.024,              0.0016422,              0.0016422,              0.0016422
                      5,                  1.236,                 1.4958,                0.97375,                 1.1571,                 1.2974,                0.88764,                0.43856,                0.48955,                0.41477,                0.28738,                 1.4498,                 2.0526,                  1.037,                 1.5085,                 1.9159,                 1.0266,              0.0016422,              0.0016422,              0.0016422
                      6,                 1.1999,                 1.4395,                0.97308,                 1.1185,                  1.243,                0.88466,                0.52057,                0.53992,                0.50587,                0.32638,                 1.3886,                 1.7839,                 1.0018,                 1.4037,                 1.6823,                0.99268,               0.001634,               0.001634,               0.001634
                      7,                 1.2164,                 1.3734,                0.94504,                 1.1211,                 1.1648,                0.86407,                0.54891,                0.56429,                0.49308,                0.34316,                 1.3562,                 1.7186,                 1.0041,                 1.3429,                 1.6313,                0.99718,              0.0016257,              0.0016257,              0.0016257
                      8,                 1.1695,                 1.4232,                0.96233,                 1.1368,                 1.2851,                0.88758,                0.49493,                0.51854,                0.48026,                0.32901,                 1.3624,                 1.8047,                 1.0132,                 1.4537,                 1.8474,                 1.0223,              0.0016175,              0.0016175,              0.0016175
                      9,                 1.0995,                 1.3445,                0.93385,                 1.0462,                  1.167,                0.85763,                0.51819,                0.59553,                0.49373,                0.33255,                 1.4055,                 1.6679,                 1.0151,                 1.4449,                 1.6302,                 1.0076,              0.0016092,              0.0016092,              0.0016092
                     10,                 1.0354,                 1.2319,                0.90661,                0.98718,                 1.0321,                0.84309,                0.57268,                0.58323,                0.52839,                0.37299,                 1.2933,                 1.6293,                  1.003,                 1.3123,                 1.5447,                0.97549,               0.001601,               0.001601,               0.001601
                     11,                 1.1026,                 1.2288,                0.91043,                  1.025,                 1.0148,                0.83109,                0.59655,                0.54182,                0.50831,                0.34635,                 1.2986,                 1.6947,                 0.9994,                 1.4183,                  1.659,                 1.0111,              0.0015927,              0.0015927,              0.0015927
                     12,                  1.069,                 1.2705,                0.91649,                0.99342,                 1.0445,                0.84565,                0.54282,                0.55086,                0.48609,                0.32015,                 1.3889,                 1.7168,                 1.0084,                 1.4384,                  1.581,                 1.0036,              0.0015845,              0.0015845,              0.0015845
                     13,                 1.0194,                 1.2221,                0.89985,                0.99612,                 1.0076,                0.83463,                0.57003,                0.59692,                0.53324,                0.37376,                  1.242,                 1.5444,                0.98033,                 1.2631,                 1.4852,                0.97186,              0.0015762,              0.0015762,              0.0015762
                     14,                0.98122,                 1.1324,                0.87713,                 0.9521,                0.95034,                0.81268,                0.59031,                0.62624,                 0.5615,                0.38242,                 1.2723,                  1.535,                0.97965,                 1.3754,                 1.4524,                0.98731,               0.001568,               0.001568,               0.001568
                     15,                 1.0015,                 1.1881,                  0.894,                0.94586,                0.94442,                0.82559,                0.56893,                0.59218,                0.53729,                0.38909,                 1.2763,                  1.642,                0.99862,                 1.2897,                 1.5007,                0.98814,              0.0015597,              0.0015597,              0.0015597
