                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0683,                   3.24,                0.92179,                0.06763,                0.11731,                0.04175,                0.03297,                 1.3032,                 5.3432,                 0.9575,             0.00055503,             0.00055503,             0.00055503
                      2,                 1.1595,                 1.7611,                0.93379,                    0.5,                0.00192,                0.25096,                0.22586,                 1.3288,                 1.6905,                0.97877,               0.001097,               0.001097,               0.001097
                      3,                 1.1826,                 1.5102,                0.94444,                0.70833,                0.01893,                0.36432,                0.31018,                 1.3763,                 1.6611,                0.99836,              0.0016251,              0.0016251,              0.0016251
                      4,                 1.1795,                  1.495,                0.94743,                0.36111,                  0.025,                0.19113,                0.16175,                 1.3158,                 1.7056,                0.98121,              0.0016051,              0.0016051,              0.0016051
                      5,                 1.1271,                 1.3814,                0.92396,                0.35417,                0.03269,                0.19492,                0.16236,                 1.3234,                  1.615,                0.98614,              0.0016051,              0.0016051,              0.0016051
                      6,                 1.0385,                 1.3029,                0.92487,                 0.4375,                0.01346,                 0.2262,                0.18743,                 1.2694,                 1.7314,                0.97741,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.0444,                 1.3893,                0.90966,                0.42308,                0.06346,                0.23954,                0.19403,                 1.3343,                 1.6121,                 1.0104,              0.0015639,              0.0015639,              0.0015639
                      8,                 1.0784,                 1.3458,                0.94297,                    0.5,                0.00385,                0.25192,                0.18902,                 1.2349,                 1.6902,                 0.9747,              0.0015432,              0.0015432,              0.0015432
                      9,                 0.9938,                 1.2835,                 0.8969,                    0.5,                0.01923,                0.25961,                0.21812,                 1.2537,                 1.4871,                0.97126,              0.0015226,              0.0015226,              0.0015226
                     10,                 0.9803,                 1.1405,                0.88765,                      1,                0.00439,                0.50218,                0.45196,                 1.2902,                 1.4684,                0.97352,               0.001502,               0.001502,               0.001502
                     11,                0.97458,                 1.0906,                0.87107,                0.41667,                0.03846,                0.22585,                0.19069,                 1.2288,                 1.5248,                0.96347,              0.0014813,              0.0014813,              0.0014813
                     12,                0.96089,                 1.1391,                0.88533,                0.41667,                0.03846,                0.22585,                0.19069,                 1.2098,                 1.6174,                0.96242,              0.0014607,              0.0014607,              0.0014607
                     13,                0.91666,                 1.0896,                0.86709,                   0.44,                0.04231,                 0.2411,                0.20498,                 1.2537,                  1.556,                0.97354,              0.0014401,              0.0014401,              0.0014401
                     14,                0.93667,                 1.0787,                0.85879,                    0.5,                0.00192,                0.25096,                0.22586,                 1.3247,                 1.6471,                 0.9779,              0.0014195,              0.0014195,              0.0014195
                     15,                0.88744,                 1.0496,                0.85787,                 0.4375,                0.02692,                0.23209,                0.20877,                 1.1263,                 1.5672,                0.93948,              0.0013988,              0.0013988,              0.0013988
                     16,                0.88702,                0.98577,                0.85846,                0.40123,                  0.125,                 0.2601,                0.21148,                  1.182,                 1.5411,                 0.9484,              0.0013782,              0.0013782,              0.0013782
                     17,                0.86588,                 1.0588,                0.84801,                    0.3,                0.00577,                0.15473,                0.13401,                 1.1629,                 1.5396,                0.97574,              0.0013576,              0.0013576,              0.0013576
                     18,                0.86081,                 1.0337,                0.85209,                0.36154,                0.09038,                0.21345,                0.18529,                 1.1161,                 1.6049,                0.94437,              0.0013369,              0.0013369,              0.0013369
                     19,                0.85731,                 1.0146,                0.85102,                    0.5,                0.05385,                0.27692,                 0.2368,                 1.1468,                   1.49,                0.94384,              0.0013163,              0.0013163,              0.0013163
                     20,                0.85285,                 1.0078,                0.84033,                0.43878,                0.08269,                0.25881,                0.22376,                 1.1389,                 1.5861,                0.95859,              0.0012957,              0.0012957,              0.0012957
                     21,                0.86105,                0.93359,                0.84683,                    0.5,                0.00192,                0.25096,                0.22586,                 1.1199,                 1.5354,                0.94734,               0.001275,               0.001275,               0.001275
                     22,                0.82627,                0.94863,                0.84428,                   0.35,                0.01346,                0.18203,                0.15884,                 1.1513,                 1.6959,                0.95381,              0.0012544,              0.0012544,              0.0012544
                     23,                0.81453,                0.92287,                0.85025,                0.43617,                0.07885,                 0.2592,                0.22139,                 1.0887,                 1.5917,                0.94042,              0.0012338,              0.0012338,              0.0012338
                     24,                0.84092,                0.93591,                0.84193,                0.43913,                0.19423,                  0.313,                0.26198,                 1.0858,                 1.5615,                0.93703,              0.0012132,              0.0012132,              0.0012132
                     25,                0.80268,                0.85798,                0.82729,                0.90323,                0.06778,                0.48193,                0.42776,                  1.145,                 1.5443,                0.94733,              0.0011925,              0.0011925,              0.0011925
                     26,                0.79082,                0.87072,                0.82622,                    0.8,                 0.0107,                0.40532,                0.37489,                 1.1669,                 1.5919,                0.96911,              0.0011719,              0.0011719,              0.0011719
                     27,                0.80111,                0.89012,                0.83341,                0.28571,                0.00769,                0.14627,                0.13168,                 1.1246,                 1.6032,                0.93865,              0.0011513,              0.0011513,              0.0011513
                     28,                0.78049,                0.86742,                0.83133,                0.89796,                0.07993,                0.48681,                0.42353,                 1.1108,                 1.5106,                0.93379,              0.0011306,              0.0011306,              0.0011306
                     29,                0.76866,                0.80007,                0.82301,                0.66892,                0.07193,                0.36654,                0.32395,                 1.1399,                 1.7347,                0.95786,                0.00111,                0.00111,                0.00111
                     30,                0.76956,                0.81933,                 0.8239,                0.79798,                0.13833,                0.46009,                0.40668,                  1.153,                 1.6206,                 0.9575,              0.0010894,              0.0010894,              0.0010894
                     31,                0.73426,                0.79102,                0.81902,                   0.75,                0.01316,                0.38105,                0.33862,                 1.0597,                 1.5719,                0.93106,              0.0010688,              0.0010688,              0.0010688
                     32,                0.72595,                0.77937,                0.81573,                0.66667,                0.02139,                0.34196,                0.28347,                 1.0648,                 1.6276,                 0.9266,              0.0010481,              0.0010481,              0.0010481
                     33,                0.72504,                0.76912,                0.81015,                0.79167,                0.05547,                0.42503,                0.38257,                 1.0817,                 1.5705,                0.94317,              0.0010275,              0.0010275,              0.0010275
                     34,                0.72762,                  0.799,                0.81382,                0.88889,                0.04285,                0.46631,                0.42023,                 1.0423,                 1.5837,                0.93428,              0.0010069,              0.0010069,              0.0010069
