                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80333,                 3.5191,                0.86589,                0.48339,                0.21369,                0.35192,                0.26702,                 1.1889,                 2.5544,                 1.0073,             0.00041585,             0.00041585,             0.00041585
                      2,                0.90796,                  2.284,                0.89523,                0.25926,                0.24731,                0.26464,                 0.2026,                 1.2991,                 2.1795,                 1.1413,             0.00081191,             0.00081191,             0.00081191
                      3,                0.95417,                 2.0215,                0.91964,                0.29524,                0.16667,                0.23552,                0.16668,                 1.4539,                 2.2303,                 1.1344,              0.0011874,              0.0011874,              0.0011874
                      4,                 1.0254,                 2.4617,                0.93129,                0.43802,                0.28824,                0.34208,                0.25112,                 1.3392,                 2.5281,                  1.119,              0.0011572,              0.0011572,              0.0011572
                      5,                 1.0464,                 2.2239,                0.97973,                0.29286,                0.17473,                0.23971,                0.18751,                 1.3567,                 2.1995,                  1.106,              0.0011572,              0.0011572,              0.0011572
                      6,                0.93487,                 1.7301,                0.93504,                0.40303,                0.21907,                0.32997,                0.25149,                 1.4579,                 2.1391,                 1.1616,              0.0011263,              0.0011263,              0.0011263
                      7,                0.94803,                 1.5999,                0.95723,                0.59045,                0.33064,                0.46277,                0.37701,                 1.3887,                 2.2559,                  1.137,              0.0010953,              0.0010953,              0.0010953
                      8,                0.90204,                 1.6206,                0.89679,                0.80396,                0.25756,                0.53612,                0.42034,                 1.3687,                 1.9276,                 1.1041,              0.0010644,              0.0010644,              0.0010644
                      9,                0.88296,                 1.4853,                 0.8943,                0.91204,                0.22497,                0.57175,                0.41876,                 1.2414,                 1.9275,                 1.0765,              0.0010334,              0.0010334,              0.0010334
                     10,                0.92611,                 1.5182,                0.94447,                0.75348,                0.33346,                0.55417,                0.40699,                 1.2496,                 2.0108,                 1.0764,              0.0010025,              0.0010025,              0.0010025
                     11,                0.79886,                 1.3679,                0.87992,                0.67622,                0.32994,                0.49646,                0.39313,                 1.2538,                 2.1095,                 1.0908,             0.00097156,             0.00097156,             0.00097156
                     12,                0.77601,                 1.2829,                0.84307,                0.68015,                0.33536,                0.51044,                0.38871,                 1.2754,                 1.9708,                 1.0904,             0.00094062,             0.00094062,             0.00094062
                     13,                0.72643,                  1.327,                0.87277,                0.79808,                0.37256,                0.58816,                0.43878,                 1.2394,                 1.6849,                 1.0645,             0.00090969,             0.00090969,             0.00090969
                     14,                0.74789,                 1.2787,                0.84699,                0.69655,                0.36004,                0.53613,                0.39656,                 1.3083,                 1.9863,                 1.1072,             0.00087875,             0.00087875,             0.00087875
                     15,                0.72981,                 1.3466,                0.85315,                0.73909,                0.41623,                0.58032,                0.45229,                  1.259,                 1.6393,                 1.0945,             0.00084781,             0.00084781,             0.00084781
                     16,                0.73108,                 1.2261,                0.85905,                0.73597,                0.38913,                0.56719,                0.45617,                 1.1475,                 1.7438,                 1.0453,             0.00081688,             0.00081688,             0.00081688
                     17,                0.70939,                 1.2698,                0.83986,                0.78618,                0.31537,                0.55267,                0.43274,                 1.2705,                 1.9527,                 1.1003,             0.00078594,             0.00078594,             0.00078594
                     18,                 0.6996,                 1.1671,                0.83339,                0.77746,                0.32348,                 0.5403,                0.42004,                 1.2486,                 1.9673,                 1.0884,               0.000755,               0.000755,               0.000755
                     19,                0.69905,                 1.1496,                0.84861,                 0.6956,                0.33276,                0.53207,                0.41813,                 1.1367,                 2.0147,                 1.0242,             0.00072406,             0.00072406,             0.00072406
                     20,                  0.678,                 1.1566,                0.83734,                0.78752,                0.39912,                 0.5933,                 0.4702,                 1.1464,                 1.6731,                 1.0316,             0.00069313,             0.00069313,             0.00069313
                     21,                0.62921,                 1.1196,                  0.818,                0.73417,                0.37493,                0.55794,                0.44015,                 1.1666,                 2.0004,                 1.0477,             0.00066219,             0.00066219,             0.00066219
                     22,                0.61077,                 1.0631,                0.80508,                0.68897,                0.43077,                0.55675,                0.41915,                 1.1777,                 1.7283,                  1.056,             0.00063125,             0.00063125,             0.00063125
                     23,                0.60946,                 1.0809,                0.82765,                0.75748,                0.44648,                0.58626,                 0.4445,                 1.1619,                 1.5994,                 1.0545,             0.00060031,             0.00060031,             0.00060031
                     24,                0.58253,                 1.0167,                0.80331,                0.60519,                0.35302,                0.47382,                0.36485,                 1.1982,                 1.8067,                 1.0618,             0.00056938,             0.00056938,             0.00056938
                     25,                0.58009,                 1.0063,                 0.8058,                0.73087,                0.46938,                0.59315,                0.46718,                 1.1945,                 1.6359,                 1.0726,             0.00053844,             0.00053844,             0.00053844
                     26,                0.57279,                 1.0001,                0.80801,                0.67929,                0.47722,                0.56503,                0.45257,                 1.1395,                 1.7461,                 1.0469,              0.0005075,              0.0005075,              0.0005075
                     27,                0.54631,                0.97473,                0.80903,                0.69654,                0.46003,                0.58012,                0.45701,                 1.1206,                 1.6664,                 1.0349,             0.00047656,             0.00047656,             0.00047656
                     28,                0.54837,                0.94887,                0.82168,                0.76004,                0.46828,                0.61259,                0.48008,                 1.1295,                 1.8033,                 1.0375,             0.00044563,             0.00044563,             0.00044563
                     29,                0.49809,                0.91837,                0.78027,                0.78796,                0.41544,                0.59023,                 0.4571,                 1.1174,                 1.7622,                 1.0333,             0.00041469,             0.00041469,             0.00041469
                     30,                0.52666,                0.89763,                0.79809,                0.78283,                0.44662,                0.60109,                0.47446,                 1.1258,                 1.8665,                 1.0223,             0.00038375,             0.00038375,             0.00038375
                     31,                0.52708,                0.80652,                0.83201,                0.67512,                0.46383,                0.59044,                0.45025,                 1.1517,                 1.6214,                 1.0656,             0.00035281,             0.00035281,             0.00035281
                     32,                 0.5034,                0.76063,                0.82512,                0.71231,                0.44568,                0.57434,                0.45011,                 1.1437,                  1.743,                 1.0708,             0.00032188,             0.00032188,             0.00032188
                     33,                0.46044,                0.70872,                0.81874,                 0.7781,                0.46424,                0.62893,                0.48696,                 1.1332,                 1.7811,                 1.0517,             0.00029094,             0.00029094,             0.00029094
                     34,                0.43208,                0.69211,                0.81235,                0.74549,                0.50183,                0.61465,                0.48762,                 1.1208,                 1.7045,                 1.0559,                0.00026,                0.00026,                0.00026
                     35,                0.40612,                0.67181,                 0.8095,                0.77663,                 0.4472,                0.60884,                0.48935,                 1.1147,                 1.7861,                 1.0381,             0.00022906,             0.00022906,             0.00022906
                     36,                0.37865,                0.64708,                0.80572,                0.71069,                0.53272,                0.61314,                0.48316,                 1.0917,                 1.6795,                 1.0393,             0.00019813,             0.00019813,             0.00019813
                     37,                0.36362,                0.62831,                0.80235,                0.72769,                0.49702,                 0.6112,                0.48913,                 1.0916,                 1.7937,                 1.0411,             0.00016719,             0.00016719,             0.00016719
                     38,                 0.3598,                0.62006,                0.80116,                0.73486,                0.45727,                0.60402,                0.48674,                 1.0875,                 1.8917,                 1.0432,             0.00013625,             0.00013625,             0.00013625
                     39,                0.33582,                0.60496,                0.79939,                0.71053,                0.47874,                0.59677,                0.47465,                 1.0921,                 1.8288,                 1.0499,             0.00010531,             0.00010531,             0.00010531
                     40,                0.32287,                0.60535,                0.79787,                0.71486,                 0.4586,                0.59268,                 0.4725,                 1.0947,                 1.8786,                 1.0504,             7.4375e-05,             7.4375e-05,             7.4375e-05
