                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88412,                 4.7984,                0.86872,                0.81218,                 10.757,                0.79387,                0.65695,                 0.2567,                0.26388,                0.19161,                 1.2075,                 2.6417,                 1.0058,                 1.1623,                 3.7582,                 0.9724,             0.00041585,             0.00041585,             0.00041585
                      2,                0.95535,                 2.3234,                0.90679,                0.89461,                 2.5366,                0.83338,                0.30835,                0.33874,                0.30048,                0.20027,                 1.3033,                 2.1162,                  1.077,                 1.3247,                 2.8745,                 1.0479,             0.00081604,             0.00081604,             0.00081604
                      3,                 1.0617,                 2.3416,                0.93166,                 1.0087,                 2.1313,                0.86064,                0.34176,                0.14145,                 0.1478,                0.09923,                 1.9127,                 4.7946,                 1.4596,                 1.9063,                 4.1211,                 1.3128,              0.0011997,              0.0011997,              0.0011997
                      4,                 1.1377,                 2.1715,                0.96411,                 1.1167,                 1.9641,                0.88469,                0.47583,                0.28229,                0.25057,                0.16969,                 1.5276,                 2.3811,                 1.1664,                 1.6257,                 2.6431,                 1.1779,              0.0011757,              0.0011757,              0.0011757
                      5,                  1.116,                 1.9068,                0.96395,                   1.03,                 1.7827,                0.89344,                0.47151,                0.21027,                0.27086,                0.19627,                 1.4395,                 2.2719,                 1.1194,                 1.4272,                 2.3998,                 1.0933,              0.0011757,              0.0011757,              0.0011757
                      6,                 1.0669,                 1.7892,                0.95146,                 1.0084,                 1.6131,                0.87939,                0.30307,                0.26253,                0.25273,                0.16147,                 1.7235,                 2.9157,                 1.2995,                 1.7425,                  2.832,                 1.2388,               0.001151,               0.001151,               0.001151
                      7,                 1.0192,                 1.6787,                 0.9646,                 1.0024,                 1.5246,                0.90951,                0.45836,                0.22769,                0.30941,                0.22204,                 1.3715,                 2.3883,                 1.1387,                 1.5149,                 2.4415,                 1.1555,              0.0011263,              0.0011263,              0.0011263
                      8,                 0.9455,                 1.7066,                0.91063,                 0.8944,                 1.5304,                0.83943,                0.43134,                0.30192,                0.29893,                0.20974,                 1.3941,                 2.1747,                 1.1276,                 1.4124,                 2.2306,                 1.0936,              0.0011015,              0.0011015,              0.0011015
                      9,                0.92559,                 1.5395,                0.90593,                0.92338,                 1.3941,                0.84879,                0.43245,                0.28562,                0.31802,                0.22503,                  1.337,                 2.1444,                 1.1159,                 1.4649,                 2.4727,                 1.1196,              0.0010768,              0.0010768,              0.0010768
                     10,                0.97052,                 1.5427,                0.95323,                 0.9437,                   1.46,                0.89272,                0.33014,                0.32026,                 0.3122,                0.22113,                 1.2846,                 2.1988,                 1.1024,                 1.3656,                 2.3047,                 1.0957,               0.001052,               0.001052,               0.001052
                     11,                0.85532,                  1.442,                0.88679,                0.87214,                 1.3288,                0.85043,                0.47111,                 0.3438,                0.38628,                0.28604,                 1.2859,                 2.0468,                 1.0901,                 1.3835,                 2.1772,                 1.0747,              0.0010273,              0.0010273,              0.0010273
                     12,                0.81472,                 1.3897,                0.85396,                 0.7998,                   1.21,                0.80959,                0.51211,                 0.3396,                0.37068,                0.27245,                 1.2703,                 1.8518,                 1.0874,                 1.3626,                 2.0996,                 1.0867,              0.0010025,              0.0010025,              0.0010025
                     13,                0.80166,                 1.4164,                0.89252,                0.80373,                 1.2231,                0.84861,                0.42543,                0.36048,                0.37463,                0.26615,                 1.3842,                  1.946,                 1.1504,                 1.4242,                 2.0088,                 1.1234,             0.00097775,             0.00097775,             0.00097775
                     14,                0.81159,                 1.3341,                0.85671,                0.77363,                 1.1248,                 0.8094,                0.44313,                0.36556,                0.40373,                0.28227,                 1.3122,                 2.1972,                 1.1265,                 1.3746,                 2.0396,                 1.0958,               0.000953,               0.000953,               0.000953
