                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90188,                 7.7197,                 0.8532,                0.76974,                  18.23,                0.76638,                0.78864,                0.19086,                0.18049,                0.13208,                 1.0939,                 5.4648,                0.93178,                 1.1077,                 15.872,                0.87902,             0.00041585,             0.00041585,             0.00041585
                      2,                0.87673,                 6.1214,                0.84076,                0.79246,                 15.148,                0.75994,                0.19978,                0.20492,                0.17649,                0.12051,                 1.2151,                 5.0274,                0.98092,                 1.1245,                 13.059,                0.92277,             0.00081878,             0.00081878,             0.00081878
                      3,                0.92347,                 5.3802,                0.85916,                0.82509,                  12.41,                0.78155,                0.56386,                0.22429,                0.20967,                0.14425,                 1.1705,                 4.5127,                0.96737,                 1.1558,                 11.082,                0.93629,               0.001208,               0.001208,               0.001208
                      4,                0.93549,                  4.684,                0.85718,                0.85169,                 10.302,                0.78774,                 0.2557,                0.25189,                0.22488,                0.15547,                 1.2026,                 3.9978,                 1.0032,                 1.2084,                  9.281,                 0.9609,              0.0011881,              0.0011881,              0.0011881
                      5,                0.85016,                 3.8599,                0.86101,                0.81633,                 8.3605,                0.82626,                0.24846,                0.21823,                0.26929,                0.17465,                 1.1558,                 3.8036,                0.98112,                 1.2242,                  8.091,                 0.9815,              0.0011881,              0.0011881,              0.0011881
                      6,                0.84905,                 3.5092,                0.86468,                0.81137,                 6.9342,                0.83409,                0.24716,                0.35469,                0.30688,                0.21321,                 1.1453,                 3.1384,                0.98176,                 1.1306,                 6.5512,                0.95294,              0.0011675,              0.0011675,              0.0011675
                      7,                 0.8538,                 2.9234,                0.85952,                0.78283,                 5.6956,                0.83245,                 0.3192,                 0.3318,                0.29983,                0.20753,                 1.1458,                 2.9839,                 0.9957,                 1.1144,                 5.6698,                0.96591,              0.0011469,              0.0011469,              0.0011469
                      8,                0.83943,                 2.9152,                0.84367,                0.79824,                 4.9623,                0.79802,                0.32298,                0.35821,                0.30566,                0.21806,                 1.1299,                 2.7548,                0.98245,                 1.1503,                 4.9321,                0.96516,              0.0011263,              0.0011263,              0.0011263
                      9,                0.80277,                 2.4375,                0.85482,                0.80046,                 4.3021,                0.82316,                0.48696,                0.32012,                0.32203,                 0.2359,                 1.1336,                 2.8034,                0.98313,                 1.1737,                 4.6623,                0.97907,              0.0011056,              0.0011056,              0.0011056
                     10,                0.81526,                  2.226,                0.87963,                0.77825,                 3.7612,                0.83674,                0.34388,                0.38274,                0.35258,                0.25376,                  1.104,                 2.5526,                0.98083,                 1.1515,                  4.085,                0.95384,               0.001085,               0.001085,               0.001085
                     11,                0.75646,                 2.0296,                0.84835,                0.74413,                 3.2419,                0.81224,                0.39334,                0.34078,                0.36375,                0.28041,                  1.085,                 2.4005,                0.97774,                 1.0973,                 3.6156,                0.95854,              0.0010644,              0.0010644,              0.0010644
                     12,                0.70808,                 1.9364,                0.81539,                0.68236,                 2.9007,                0.78789,                0.42706,                0.37724,                0.35582,                0.25821,                 1.1495,                 2.1517,                0.99678,                  1.082,                 3.3279,                0.95435,              0.0010438,              0.0010438,              0.0010438
