                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9007,                 7.5515,                0.82322,                0.24731,                0.12366,                0.18919,                0.15602,                  1.044,                 5.0362,                0.88762,             0.00041585,             0.00041585,             0.00041585
                      2,                0.80809,                 5.7075,                0.80902,                0.48517,                0.17867,                0.33443,                0.26074,                  1.005,                 4.3901,                0.87672,             0.00081878,             0.00081878,             0.00081878
                      3,                0.78838,                 4.8519,                0.81155,                0.32727,                0.14516,                0.23716,                0.20994,                0.98685,                 4.1116,                 0.8808,               0.001208,               0.001208,               0.001208
                      4,                0.80223,                 4.2583,                0.81516,                 0.4951,                0.20487,                0.34696,                0.26888,                 1.1254,                 3.6128,                 0.9084,              0.0011881,              0.0011881,              0.0011881
                      5,                0.79183,                 3.6004,                0.82885,                0.87644,                0.20324,                 0.5297,                0.41151,                 1.0639,                 3.4819,                0.91964,              0.0011881,              0.0011881,              0.0011881
                      6,                0.77089,                 3.2631,                0.83093,                0.42735,                 0.2344,                0.33452,                0.25013,                 1.0803,                 3.1603,                0.94037,              0.0011675,              0.0011675,              0.0011675
                      7,                0.80098,                 2.7957,                0.83751,                0.78889,                 0.1366,                0.45721,                0.37247,                 1.0354,                   2.96,                0.93535,              0.0011469,              0.0011469,              0.0011469
                      8,                0.76781,                 2.7281,                0.81027,                 0.6655,                0.19964,                0.43602,                0.33415,                 1.0206,                 2.5943,                0.90142,              0.0011263,              0.0011263,              0.0011263
                      9,                0.75633,                 2.3225,                0.81558,                0.82323,                 0.2386,                0.53231,                0.40857,                 1.0782,                 2.4832,                0.90637,              0.0011056,              0.0011056,              0.0011056
                     10,                0.77275,                 2.1259,                0.84489,                0.69017,                 0.3568,                0.53419,                0.43841,                0.98525,                  2.246,                0.90755,               0.001085,               0.001085,               0.001085
                     11,                0.71818,                 1.9596,                0.81256,                0.68812,                0.26971,                0.47255,                0.37482,                0.98855,                 2.0841,                0.90181,              0.0010644,              0.0010644,              0.0010644
                     12,                0.69785,                 1.8396,                0.80211,                0.76264,                0.40915,                0.58262,                0.46021,                 1.0034,                 2.0522,                 0.9181,              0.0010438,              0.0010438,              0.0010438
                     13,                 0.6588,                 1.6208,                0.82162,                0.82921,                0.40004,                0.61654,                 0.5217,                0.98283,                  1.893,                0.90707,              0.0010231,              0.0010231,              0.0010231
                     14,                0.65732,                 1.6261,                0.79718,                0.76331,                0.21246,                0.49668,                 0.4136,                0.96422,                 2.1356,                0.90798,              0.0010025,              0.0010025,              0.0010025
                     15,                0.63616,                  1.617,                 0.7921,                0.76365,                0.38325,                0.58555,                0.46059,                0.98275,                  1.991,                  0.908,             0.00098187,             0.00098187,             0.00098187
                     16,                0.64279,                 1.4576,                0.81101,                 0.8013,                0.34752,                0.57817,                0.47076,                0.99385,                 1.7445,                0.91155,             0.00096125,             0.00096125,             0.00096125
                     17,                0.67305,                 1.4763,                0.79712,                0.78918,                0.30224,                0.54282,                0.42903,                 1.0079,                 1.8511,                0.91006,             0.00094062,             0.00094062,             0.00094062
                     18,                0.61879,                 1.3775,                0.78854,                0.66626,                0.44417,                0.55742,                0.44125,                 1.0262,                 1.8264,                0.92257,                0.00092,                0.00092,                0.00092
                     19,                0.63412,                 1.3049,                0.80984,                0.73044,                0.43799,                0.56954,                0.45032,                0.99948,                 1.8809,                0.90781,             0.00089938,             0.00089938,             0.00089938
                     20,                 0.5898,                 1.3475,                 0.7874,                0.72874,                 0.3189,                0.51497,                0.42028,                0.97318,                 1.7587,                0.90664,             0.00087875,             0.00087875,             0.00087875
                     21,                0.58653,                 1.3033,                0.79019,                0.70722,                0.35115,                0.53106,                0.41816,                0.99156,                 1.8776,                 0.9252,             0.00085813,             0.00085813,             0.00085813
                     22,                 0.5905,                 1.2718,                0.77553,                0.72516,                0.30412,                0.51704,                0.43521,                0.95299,                 1.7441,                0.90431,              0.0008375,              0.0008375,              0.0008375
                     23,                 0.5771,                 1.1842,                0.80106,                0.69424,                0.44386,                0.56779,                0.47034,                 0.9351,                 1.6421,                 0.8979,             0.00081688,             0.00081688,             0.00081688
                     24,                0.57581,                 1.1654,                0.78423,                0.78095,                0.36899,                0.56928,                0.46335,                 1.0008,                 1.7548,                0.91175,             0.00079625,             0.00079625,             0.00079625
                     25,                0.56158,                 1.2068,                0.78465,                0.67352,                0.39389,                0.53912,                0.41671,                0.98481,                 1.7274,                0.90597,             0.00077563,             0.00077563,             0.00077563
                     26,                0.55734,                 1.1455,                 0.7787,                0.70467,                0.41429,                0.56353,                 0.4562,                0.99569,                 1.7274,                0.90927,               0.000755,               0.000755,               0.000755
                     27,                0.58642,                 1.1201,                0.79003,                0.74074,                0.33593,                0.52585,                0.42972,                0.91536,                 1.7672,                0.88902,             0.00073437,             0.00073437,             0.00073437
                     28,                0.55559,                 1.0687,                0.79083,                 0.7125,                0.39384,                0.55726,                0.45955,                0.95375,                  1.846,                0.89879,             0.00071375,             0.00071375,             0.00071375
                     29,                0.53852,                 1.0758,                0.77415,                0.75992,                0.38916,                0.56843,                0.47196,                0.96715,                 1.7266,                0.90505,             0.00069313,             0.00069313,             0.00069313
                     30,                0.53047,                 1.0272,                0.78064,                0.73628,                0.44935,                 0.5921,                0.48691,                 0.9444,                 1.6687,                0.90138,              0.0006725,              0.0006725,              0.0006725
                     31,                 0.5215,                0.99594,                0.78376,                0.74979,                0.35505,                0.55465,                0.46113,                 0.9549,                 1.6704,                0.89955,             0.00065188,             0.00065188,             0.00065188
                     32,                0.52024,                  1.007,                0.77727,                0.78388,                0.46211,                0.61968,                0.49483,                0.93637,                 1.5956,                0.89451,             0.00063125,             0.00063125,             0.00063125
                     33,                0.49691,                0.98667,                0.77014,                0.73693,                0.51356,                0.62195,                0.49711,                0.91413,                 1.5342,                0.87664,             0.00061062,             0.00061062,             0.00061062
                     34,                0.50418,                0.98644,                0.78449,                0.74646,                0.37787,                0.55223,                0.45228,                0.94845,                 1.7356,                0.89806,                0.00059,                0.00059,                0.00059
                     35,                0.50452,                0.98926,                0.78147,                0.71584,                0.33608,                 0.5204,                0.42749,                0.91093,                 1.6516,                0.89009,             0.00056938,             0.00056938,             0.00056938
                     36,                0.48772,                0.91765,                0.76929,                0.70201,                0.42084,                0.56547,                0.47389,                0.92619,                 1.7332,                0.89251,             0.00054875,             0.00054875,             0.00054875
                     37,                0.45189,                0.89022,                0.76076,                0.74939,                 0.4263,                0.58782,                0.48686,                0.90853,                 1.7162,                0.89233,             0.00052812,             0.00052812,             0.00052812
                     38,                0.45445,                0.92468,                0.77174,                0.70271,                0.38699,                0.54221,                0.45183,                0.93415,                 1.7328,                0.89783,              0.0005075,              0.0005075,              0.0005075
                     39,                0.47892,                0.90715,                0.75659,                0.70501,                0.38783,                0.53513,                0.43626,                0.94169,                 1.8083,                    0.9,             0.00048687,             0.00048687,             0.00048687
                     40,                0.45297,                0.88746,                0.76353,                0.72806,                0.41992,                0.57119,                0.47237,                0.91814,                 1.7773,                0.88768,             0.00046625,             0.00046625,             0.00046625
                     41,                0.46886,                0.87596,                 0.7794,                0.70267,                0.42221,                0.56211,                0.46713,                0.89666,                 1.7685,                0.87544,             0.00044563,             0.00044563,             0.00044563
                     42,                0.46202,                0.91016,                0.75435,                0.73266,                0.42584,                0.57813,                0.47195,                 0.9148,                 1.7026,                0.88213,               0.000425,               0.000425,               0.000425
                     43,                0.45512,                0.82961,                0.77181,                0.72271,                0.45832,                0.58213,                0.48708,                0.90657,                 1.6638,                0.89109,             0.00040438,             0.00040438,             0.00040438
                     44,                0.45482,                0.82717,                0.76741,                0.70208,                0.42664,                0.56182,                0.45902,                0.91148,                 1.6648,                0.88985,             0.00038375,             0.00038375,             0.00038375
                     45,                 0.4492,                0.86538,                0.76314,                0.73462,                0.46893,                0.59999,                0.49508,                0.91761,                 1.6342,                0.89456,             0.00036313,             0.00036313,             0.00036313
                     46,                 0.4286,                0.82209,                0.76053,                0.74664,                0.44882,                0.61086,                0.51144,                0.89243,                 1.6227,                0.88904,              0.0003425,              0.0003425,              0.0003425
                     47,                0.43779,                0.84973,                0.76452,                0.75242,                0.36754,                0.56173,                 0.4727,                0.91758,                 1.7501,                0.88709,             0.00032188,             0.00032188,             0.00032188
                     48,                0.45404,                0.81645,                 0.7793,                0.70934,                0.39348,                0.56206,                0.47354,                0.91653,                 1.7261,                0.89099,             0.00030125,             0.00030125,             0.00030125
                     49,                0.40959,                0.81572,                0.75084,                0.71605,                0.45821,                0.59798,                0.49929,                0.89311,                 1.6231,                0.88979,             0.00028063,             0.00028063,             0.00028063
                     50,                0.42315,                0.85644,                0.76177,                0.80825,                0.42785,                0.62014,                0.52376,                0.88851,                  1.593,                0.88628,                0.00026,                0.00026,                0.00026
                     51,                0.42241,                0.76654,                0.78585,                0.76108,                0.48759,                0.62757,                0.52251,                0.92005,                 1.6093,                0.89646,             0.00023938,             0.00023938,             0.00023938
