                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99159,                 14.777,                0.88416,                  0.179,                 0.2539,                0.14187,                0.10976,                0.97744,                  9.319,                 0.8872,             0.00027716,             0.00027716,             0.00027716
                      2,                0.97644,                 10.235,                0.89944,                0.17633,                0.24964,                0.12443,                0.10302,                0.91526,                  7.289,                0.91191,             0.00054933,             0.00054933,             0.00054933
                      3,                0.90189,                 8.6825,                0.89723,                0.25303,                0.20475,                0.18269,                0.12696,                0.97148,                 6.6897,                0.95118,             0.00081601,             0.00081601,             0.00081601
                      4,                0.89611,                 7.5976,                0.89156,                0.30844,                0.31719,                0.26428,                0.19492,                0.90106,                 5.7283,                0.90814,             0.00080826,             0.00080826,             0.00080826
                      5,                0.88421,                  6.242,                 0.8955,                0.37465,                0.36279,                0.35478,                0.27756,                0.90208,                 5.3374,                0.93197,             0.00080826,             0.00080826,             0.00080826
                      6,                0.83234,                 5.6423,                0.89676,                0.38371,                0.41611,                0.40151,                0.31177,                 0.9383,                 4.7865,                0.94584,             0.00080001,             0.00080001,             0.00080001
                      7,                0.86485,                 4.8782,                0.90059,                0.47192,                0.44963,                0.50315,                0.39832,                0.90177,                 4.1537,                0.92633,             0.00079177,             0.00079177,             0.00079177
                      8,                0.84831,                 4.3716,                0.87959,                0.55978,                0.56994,                0.57693,                0.46225,                0.93232,                 3.7246,                0.93649,             0.00078352,             0.00078352,             0.00078352
                      9,                0.83424,                 3.7624,                0.89629,                 0.5686,                0.51662,                 0.5396,                0.44377,                 0.8932,                  3.586,                0.92094,             0.00077527,             0.00077527,             0.00077527
                     10,                0.78303,                  3.256,                0.87514,                0.64951,                0.51154,                0.59531,                0.48396,                0.89841,                 2.9279,                0.92574,             0.00076703,             0.00076703,             0.00076703
                     11,                0.82772,                 2.8811,                0.88494,                0.58104,                0.66127,                0.66075,                0.52414,                0.91365,                 2.5955,                0.93733,             0.00075878,             0.00075878,             0.00075878
                     12,                0.78582,                 2.5815,                0.86953,                0.62793,                0.62718,                0.66956,                0.52301,                0.92594,                 2.3382,                0.94018,             0.00075053,             0.00075053,             0.00075053
                     13,                0.77559,                 2.3301,                 0.8756,                0.63367,                 0.6067,                 0.6545,                0.53055,                 0.8915,                  2.213,                0.92169,             0.00074229,             0.00074229,             0.00074229
                     14,                0.77412,                 2.1403,                0.86583,                0.67619,                 0.6519,                 0.6817,                 0.5318,                 0.8964,                 2.1001,                0.92133,             0.00073404,             0.00073404,             0.00073404
                     15,                0.79917,                 1.9854,                0.85442,                0.63551,                0.67064,                0.67824,                0.54155,                0.88477,                 2.0256,                0.92853,             0.00072579,             0.00072579,             0.00072579
                     16,                0.76537,                 1.7893,                0.86704,                0.70216,                0.62083,                 0.6956,                0.56568,                0.88714,                 1.8316,                0.92554,             0.00071755,             0.00071755,             0.00071755
                     17,                0.74461,                 1.6556,                0.85161,                0.68419,                0.64559,                0.70959,                0.56522,                0.90622,                  1.719,                0.92915,              0.0007093,              0.0007093,              0.0007093
                     18,                0.75888,                 1.5521,                0.85414,                0.67709,                0.64237,                0.66519,                 0.5166,                0.90138,                 1.7717,                0.93122,             0.00070105,             0.00070105,             0.00070105
                     19,                0.73011,                  1.466,                0.85212,                0.65797,                0.64659,                 0.6974,                0.55721,                0.88118,                 1.5351,                0.92805,             0.00069281,             0.00069281,             0.00069281
                     20,                0.74574,                 1.3257,                0.86162,                 0.6308,                0.69307,                0.69793,                0.56079,                0.87811,                 1.6437,                0.92834,             0.00068456,             0.00068456,             0.00068456
                     21,                0.75555,                 1.3434,                0.85697,                0.73052,                0.66355,                0.71532,                0.57006,                0.88572,                 1.4869,                0.92493,             0.00067631,             0.00067631,             0.00067631
                     22,                0.71796,                 1.2009,                0.85412,                0.72655,                0.62845,                0.70891,                0.56233,                0.88623,                 1.4417,                0.91809,             0.00066807,             0.00066807,             0.00066807
                     23,                0.73424,                 1.2407,                0.84694,                0.71319,                0.64979,                0.69252,                0.56468,                0.86405,                 1.4832,                0.93043,             0.00065982,             0.00065982,             0.00065982
                     24,                0.71888,                 1.1702,                0.85006,                0.76236,                0.66708,                0.72956,                0.57507,                0.88368,                 1.3378,                0.92922,             0.00065157,             0.00065157,             0.00065157
                     25,                0.70143,                  1.139,                0.84527,                0.70009,                0.67384,                0.71954,                0.58999,                 0.8605,                 1.3538,                0.93639,             0.00064333,             0.00064333,             0.00064333
                     26,                0.70815,                 1.0619,                 0.8546,                0.74069,                  0.672,                0.73364,                0.60093,                0.85695,                 1.2784,                0.90746,             0.00063508,             0.00063508,             0.00063508
                     27,                0.71739,                 1.0351,                0.83444,                0.73918,                0.62159,                0.70629,                0.59139,                0.83494,                  1.317,                0.90749,             0.00062683,             0.00062683,             0.00062683
                     28,                0.68825,                0.98409,                 0.8488,                0.64133,                0.68304,                0.70753,                0.56929,                0.86639,                 1.2931,                0.91526,             0.00061859,             0.00061859,             0.00061859
                     29,                0.67854,                0.93812,                0.82844,                0.70585,                 0.6633,                0.70265,                0.56704,                0.85916,                 1.3309,                0.91705,             0.00061034,             0.00061034,             0.00061034
                     30,                0.67005,                0.90032,                0.83513,                  0.703,                0.69718,                0.74234,                0.58867,                0.86719,                 1.1495,                0.91252,             0.00060209,             0.00060209,             0.00060209
                     31,                0.67596,                0.90143,                0.84685,                0.68198,                0.62322,                0.68849,                0.56209,                0.84514,                 1.2283,                0.91164,             0.00059385,             0.00059385,             0.00059385
                     32,                0.64297,                0.82411,                0.83088,                0.72409,                0.68779,                0.72882,                0.59005,                0.86974,                 1.1817,                0.91541,              0.0005856,              0.0005856,              0.0005856
                     33,                0.69082,                 0.8529,                0.84392,                0.75482,                0.63161,                0.70641,                0.56616,                0.87597,                  1.249,                0.92414,             0.00057735,             0.00057735,             0.00057735
                     34,                0.67684,                0.84131,                0.83945,                 0.7313,                0.58125,                0.67763,                0.56713,                0.86149,                 1.3882,                0.92037,             0.00056911,             0.00056911,             0.00056911
                     35,                0.66744,                0.80212,                0.82705,                0.69974,                 0.6411,                0.70068,                0.57086,                  0.853,                 1.2737,                  0.915,             0.00056086,             0.00056086,             0.00056086
                     36,                0.66757,                0.77385,                0.83532,                0.72928,                0.62759,                0.70111,                0.57322,                0.82396,                 1.2226,                0.91139,             0.00055261,             0.00055261,             0.00055261
                     37,                0.66017,                0.78252,                0.83285,                0.70657,                0.70128,                0.74734,                0.60542,                0.84302,                 1.1042,                0.91046,             0.00054437,             0.00054437,             0.00054437
                     38,                0.64578,                0.75487,                0.82686,                0.76461,                0.64728,                0.73271,                0.60553,                 0.8189,                 1.1015,                 0.9108,             0.00053612,             0.00053612,             0.00053612
                     39,                0.63531,                0.71717,                 0.8321,                0.78081,                0.65503,                0.74572,                0.60573,                 0.8364,                 1.0673,                0.90632,             0.00052787,             0.00052787,             0.00052787
                     40,                0.63519,                 0.7236,                0.83146,                0.76996,                0.64129,                0.72674,                0.60595,                0.81539,                 1.0359,                0.90261,             0.00051963,             0.00051963,             0.00051963
                     41,                0.62253,                0.70484,                0.82581,                0.70382,                0.72694,                0.75204,                0.61275,                0.83475,                 1.0686,                0.90656,             0.00051138,             0.00051138,             0.00051138
                     42,                0.63349,                0.69209,                0.84319,                  0.729,                0.64519,                0.71946,                0.58385,                0.82491,                 1.1064,                0.90154,             0.00050313,             0.00050313,             0.00050313
                     43,                  0.614,                0.69891,                 0.8243,                0.70726,                0.65784,                0.70017,                0.56778,                0.83244,                 1.1992,                0.90569,             0.00049489,             0.00049489,             0.00049489
                     44,                0.62935,                0.68237,                0.82861,                0.73782,                0.60884,                0.70676,                0.57695,                0.83825,                 1.1287,                0.90244,             0.00048664,             0.00048664,             0.00048664
                     45,                0.62548,                0.67562,                0.83424,                0.69329,                0.66251,                0.71889,                0.59956,                0.80098,                 1.0989,                0.90204,             0.00047839,             0.00047839,             0.00047839
                     46,                0.61093,                0.65674,                 0.8142,                0.72307,                0.62837,                0.71079,                0.58571,                0.82086,                  1.093,                0.91184,             0.00047015,             0.00047015,             0.00047015
                     47,                0.62111,                0.66399,                0.82339,                0.70612,                0.66255,                0.70703,                0.58314,                0.81342,                 1.1363,                0.91145,              0.0004619,              0.0004619,              0.0004619
                     48,                0.58807,                 0.6204,                0.82123,                0.66129,                0.68768,                0.70808,                0.58263,                0.82156,                 1.1048,                0.91069,             0.00045365,             0.00045365,             0.00045365
                     49,                0.59629,                0.62808,                0.82617,                0.71482,                0.63138,                0.70813,                0.59173,                 0.8121,                 1.1014,                0.91172,             0.00044541,             0.00044541,             0.00044541
                     50,                0.56504,                0.59624,                0.82399,                0.67339,                0.69708,                0.72755,                0.60205,                0.81703,                 1.0851,                0.90591,             0.00043716,             0.00043716,             0.00043716
                     51,                0.58382,                0.58581,                0.82214,                 0.7332,                0.67746,                0.73086,                0.59216,                0.82984,                0.99726,                0.90833,             0.00042891,             0.00042891,             0.00042891
                     52,                0.59733,                 0.5887,                0.81535,                0.66443,                0.71187,                0.73213,                0.59682,                0.83811,                 1.0112,                0.90798,             0.00042066,             0.00042066,             0.00042066
                     53,                0.57659,                0.57717,                0.81956,                0.74304,                0.63896,                0.72274,                0.59814,                0.82367,                0.98968,                0.90361,             0.00041242,             0.00041242,             0.00041242
                     54,                0.58333,                0.56779,                0.82689,                0.68281,                0.71746,                0.73482,                0.59824,                0.82728,                0.99291,                0.90743,             0.00040417,             0.00040417,             0.00040417
                     55,                0.57649,                0.54665,                0.82361,                0.75073,                0.67309,                0.72894,                 0.5973,                0.84241,                 1.0192,                0.91126,             0.00039592,             0.00039592,             0.00039592
                     56,                0.56824,                0.55354,                0.81295,                0.72847,                0.67444,                0.72043,                0.59504,                0.82153,                 1.1092,                0.91176,             0.00038768,             0.00038768,             0.00038768
                     57,                0.59675,                0.56707,                0.81789,                0.72165,                0.63244,                0.70726,                0.57788,                0.82773,                0.99392,                0.90379,             0.00037943,             0.00037943,             0.00037943
