                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5166,                 18.402,                0.48488,                0.57843,                0.03258,                0.00467,                0.00339,                 1.4002,                 1.7541,                0.45176,             0.00027716,             0.00027716,             0.00027716
                      2,                0.81807,                 1.2014,                 0.2199,                0.32237,                0.09414,                0.02592,                0.01956,                 1.0554,                0.79411,                0.36056,             0.00054567,             0.00054567,             0.00054567
                      3,                 0.3572,                 1.2162,                0.05623,                 0.3558,                0.15514,                0.07399,                0.04756,                0.32601,                 1.3312,                0.03985,             0.00080502,             0.00080502,             0.00080502
                      4,                0.36882,                 1.2183,                0.05187,                0.27063,                0.21825,                0.10465,                0.07247,                0.30834,                 1.2543,                 0.0356,             0.00079177,             0.00079177,             0.00079177
                      5,                0.29982,                  1.066,                0.03718,                0.30582,                0.22061,                0.15428,                0.12479,                0.27582,                 1.1812,                 0.0375,             0.00079177,             0.00079177,             0.00079177
                      6,                0.30667,                0.95148,                0.04119,                0.65169,                0.36352,                0.32696,                0.23798,                0.30326,                 1.1325,                0.03778,             0.00077802,             0.00077802,             0.00077802
                      7,                 0.3244,                0.82157,                0.04606,                0.65146,                0.43049,                0.41661,                 0.3096,                 0.2844,                 1.0081,                0.03145,             0.00076428,             0.00076428,             0.00076428
                      8,                0.30173,                0.94583,                0.03603,                0.72901,                 0.4586,                0.43816,                0.32871,                0.29188,                 1.0352,                0.03398,             0.00075053,             0.00075053,             0.00075053
                      9,                0.36432,                0.78782,                0.04621,                0.76767,                0.36779,                0.39173,                0.30081,                0.44346,                0.98443,                0.09239,             0.00073679,             0.00073679,             0.00073679
                     10,                0.31963,                0.74911,                0.03745,                0.77076,                0.46084,                0.45308,                0.34494,                0.52125,                0.77036,                 0.1347,             0.00072304,             0.00072304,             0.00072304
                     11,                 0.3475,                0.65292,                0.04674,                0.56527,                0.53526,                0.51417,                  0.378,                 0.2947,                0.86302,                0.03668,              0.0007093,              0.0007093,              0.0007093
                     12,                0.30234,                0.67628,                 0.0414,                0.80106,                0.58076,                0.58257,                0.44403,                0.29363,                0.79153,                0.03883,             0.00069556,             0.00069556,             0.00069556
