                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70552,                 2.2533,                0.20465,                0.88096,                0.82426,                 0.8627,                0.66088,                0.39134,                 0.4914,                0.08469,             0.00066545,             0.00066545,             0.00066545
                      2,                0.34047,                 0.4326,                0.05434,                0.92797,                  0.891,                0.92197,                0.68274,                0.33037,                 0.4431,                0.03575,              0.0012442,              0.0012442,              0.0012442
                      3,                 0.3327,                0.45424,                0.04563,                0.86672,                0.77047,                0.84487,                0.58647,                0.47042,                0.51773,                0.09844,              0.0017349,              0.0017349,              0.0017349
                      4,                0.39635,                0.47819,                0.05901,                0.89706,                0.65403,                 0.7231,                0.52477,                0.72149,                0.41993,                0.17205,               0.001604,               0.001604,               0.001604
                      5,                0.33596,                0.39404,                0.05131,                0.84936,                0.75592,                0.85006,                0.60351,                0.46551,                0.50423,                 0.0877,               0.001604,               0.001604,               0.001604
                      6,                0.38678,                0.49859,                0.03757,                0.89705,                0.77251,                0.86347,                0.59611,                0.43703,                0.52147,                0.07943,               0.001472,               0.001472,               0.001472
                      7,                0.29101,                0.40419,                0.03086,                0.90822,                0.76777,                0.83723,                0.62795,                0.44564,                0.46177,                0.08974,                0.00134,                0.00134,                0.00134
                      8,                 0.2518,                  0.352,                0.02562,                0.90778,                0.81641,                0.88167,                0.67178,                0.36314,                0.44131,                0.06642,               0.001208,               0.001208,               0.001208
                      9,                0.21863,                0.31393,                0.02287,                0.89833,                0.92126,                0.94052,                0.73744,                0.30057,                0.44042,                0.05112,               0.001076,               0.001076,               0.001076
                     10,                0.19899,                0.31918,                0.02027,                0.92729,                0.90662,                0.95382,                0.74725,                0.28541,                0.41862,                0.05069,               0.000944,               0.000944,               0.000944
                     11,                0.19149,                0.29054,                0.01839,                0.93207,                0.87786,                0.91686,                0.72911,                0.33976,                0.36661,                0.07494,               0.000812,               0.000812,               0.000812
                     12,                0.18418,                0.29003,                0.01774,                 0.9535,                0.88152,                0.95175,                0.75842,                0.27658,                0.38445,                0.05563,                0.00068,                0.00068,                0.00068
                     13,                0.17802,                0.27777,                0.01668,                0.92997,                0.90995,                0.95232,                0.73837,                 0.3282,                0.36911,                0.05744,               0.000548,               0.000548,               0.000548
                     14,                0.18159,                0.27983,                0.01562,                0.93873,                0.90767,                0.95267,                0.75503,                0.29919,                0.36899,                0.04737,               0.000416,               0.000416,               0.000416
                     15,                0.18225,                0.26972,                0.01569,                0.94296,                0.90095,                0.95177,                0.75814,                 0.2994,                0.37109,                0.04715,               0.000284,               0.000284,               0.000284
