                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98234,                 8.0227,                0.92584,                0.92105,                0.82938,                0.89266,                0.68333,                 1.0013,                 3.8957,                0.98983,             0.00066545,             0.00066545,             0.00066545
                      2,                 1.0102,                  4.812,                  0.969,                0.90566,                0.68246,                0.80604,                 0.6303,                 1.0313,                 3.4077,                0.98322,              0.0012882,              0.0012882,              0.0012882
                      3,                0.91881,                 3.7363,                 0.9498,                0.92876,                0.83412,                0.90222,                0.69531,                0.97875,                 2.6641,                0.97683,              0.0018669,              0.0018669,              0.0018669
                      4,                0.97005,                 2.7433,                0.93586,                0.98087,                0.85071,                0.92337,                0.71528,                0.99607,                 2.0915,                0.97992,               0.001802,               0.001802,               0.001802
                      5,                0.92802,                 2.1241,                0.94715,                   0.95,                0.85545,                0.91321,                0.71317,                 1.0223,                 1.6447,                 1.0139,               0.001802,               0.001802,               0.001802
                      6,                0.92745,                 1.6538,                0.95023,                      1,                0.70379,                0.85186,                0.67671,                0.99621,                 1.6047,                 1.0012,               0.001736,               0.001736,               0.001736
                      7,                0.88372,                  1.402,                0.91959,                0.95109,                0.82938,                0.90217,                0.72442,                0.96426,                 1.1815,                0.99159,                0.00167,                0.00167,                0.00167
                      8,                0.85144,                   1.15,                0.91221,                0.96774,                0.85308,                0.91988,                0.73248,                0.93698,                 1.1121,                 1.0039,               0.001604,               0.001604,               0.001604
                      9,                0.87839,                 1.0608,                0.93066,                0.98817,                0.79147,                0.89311,                0.71625,                0.91745,                 1.0229,                0.95646,               0.001538,               0.001538,               0.001538
                     10,                0.79689,                0.90697,                0.88975,                0.96364,                0.87915,                0.93257,                0.75171,                0.87538,                0.90152,                0.94354,               0.001472,               0.001472,               0.001472
                     11,                0.85346,                0.81903,                0.90183,                 0.9697,                0.83412,                0.90862,                0.74271,                0.91244,                0.91904,                0.96081,               0.001406,               0.001406,               0.001406
                     12,                0.79111,                0.76045,                0.88403,                0.96316,                 0.8673,                0.92344,                0.74325,                0.94368,                0.94115,                0.97503,                0.00134,                0.00134,                0.00134
                     13,                0.77448,                0.71522,                0.88746,                0.93079,                0.92417,                0.95022,                0.76861,                0.90505,                0.76084,                0.96242,               0.001274,               0.001274,               0.001274
                     14,                0.78574,                0.68322,                 0.8834,                0.95455,                0.89573,                0.93952,                0.75929,                0.94269,                0.76648,                0.97334,               0.001208,               0.001208,               0.001208
                     15,                0.83905,                0.69705,                0.88948,                0.97911,                0.88863,                0.93868,                0.76709,                 0.9411,                0.78846,                0.97429,               0.001142,               0.001142,               0.001142
                     16,                0.77057,                 0.6464,                0.89486,                0.95539,                 0.9135,                 0.9503,                0.78289,                0.86919,                0.70062,                0.94386,               0.001076,               0.001076,               0.001076
                     17,                0.72442,                0.61338,                0.86814,                0.96345,                0.87441,                0.93087,                0.74964,                0.91486,                0.78125,                0.95674,                0.00101,                0.00101,                0.00101
                     18,                0.71325,                0.58638,                0.86434,                0.97534,                 0.8436,                0.91674,                0.76105,                 0.8658,                0.76115,                 0.9469,               0.000944,               0.000944,               0.000944
                     19,                0.68797,                0.56597,                0.85839,                0.96296,                0.86256,                0.92482,                0.76772,                 0.8554,                0.72339,                0.93963,               0.000878,               0.000878,               0.000878
                     20,                0.70624,                0.56104,                0.87719,                0.94416,                0.88152,                0.93412,                0.77659,                0.85218,                0.79909,                0.94768,               0.000812,               0.000812,               0.000812
                     21,                0.67604,                0.53745,                0.85333,                0.95074,                0.91469,                0.94756,                0.77932,                0.84914,                0.77218,                0.94411,               0.000746,               0.000746,               0.000746
                     22,                0.63522,                0.50125,                  0.843,                0.97458,                0.81754,                0.90524,                0.75344,                0.88126,                 0.8772,                0.95139,                0.00068,                0.00068,                0.00068
                     23,                  0.602,                0.46885,                 0.8313,                0.97632,                0.87915,                0.93527,                0.76626,                0.86599,                0.80305,                0.94238,               0.000614,               0.000614,               0.000614
                     24,                0.59678,                0.46708,                0.82747,                0.97606,                0.86967,                0.93013,                0.77763,                0.85741,                0.76908,                0.94594,               0.000548,               0.000548,               0.000548
                     25,                0.55378,                0.44293,                0.81998,                 0.9709,                0.86967,                0.93134,                0.77445,                0.84798,                0.78822,                0.95368,               0.000482,               0.000482,               0.000482
                     26,                0.52704,                0.42003,                0.81516,                0.98138,                0.87441,                0.93513,                0.78077,                0.83646,                0.78091,                0.94162,               0.000416,               0.000416,               0.000416
                     27,                  0.506,                0.40349,                0.80789,                0.98143,                0.87678,                0.93569,                0.77997,                0.84212,                0.74664,                0.94334,                0.00035,                0.00035,                0.00035
                     28,                0.48201,                0.38748,                0.80709,                0.98387,                 0.8673,                 0.9315,                0.78026,                0.84259,                0.80804,                0.95016,               0.000284,               0.000284,               0.000284
                     29,                0.46343,                0.37279,                0.80086,                0.98072,                 0.8436,                0.91939,                0.77041,                0.85216,                0.83387,                0.95264,               0.000218,               0.000218,               0.000218
                     30,                0.44061,                0.35781,                0.79756,                0.97861,                 0.8673,                0.93097,                0.78295,                0.83137,                0.77786,                0.94506,               0.000152,               0.000152,               0.000152
