epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.858,0.99744,8.22316,0.93497,0.96988,0.76303,0.87319,0.65928,1.0213,2.53918,0.97706,0.000665448,0.000665448,0.000665448
2,298.705,1.01426,4.9917,0.97176,0.98425,0.59242,0.78917,0.63792,0.99527,1.60038,0.98668,0.00128815,0.00128815,0.00128815
3,447.263,0.93131,3.63635,0.95848,0.99585,0.56872,0.7829,0.60112,1.05407,1.58635,1.02337,0.00186686,0.00186686,0.00186686
4,596.907,0.95124,2.72318,0.95997,1,0.54502,0.77248,0.58637,1.03686,1.57622,1.01395,0.001802,0.001802,0.001802
5,745.847,0.90447,2.07918,0.9441,0.98997,0.70142,0.84619,0.67727,0.95929,0.80114,0.95524,0.001736,0.001736,0.001736
6,892.416,0.87605,1.60764,0.93101,0.98403,0.72986,0.86054,0.66799,0.94439,0.77958,0.97698,0.00167,0.00167,0.00167
7,1041.21,0.85688,1.38212,0.91103,0.96364,0.75355,0.86144,0.68128,0.94861,0.72157,0.97239,0.001604,0.001604,0.001604
8,1191.34,0.83219,1.13122,0.89865,0.97126,0.80095,0.89037,0.71834,0.92567,0.73935,0.97859,0.001538,0.001538,0.001538
9,1340.74,0.82795,1.00832,0.91176,0.98355,0.70853,0.85057,0.67533,0.94944,0.83308,0.97539,0.001472,0.001472,0.001472
10,1487.81,0.81041,0.90533,0.89409,0.97067,0.78436,0.88634,0.69869,0.93307,0.67031,0.96137,0.001406,0.001406,0.001406
11,1637.28,0.84079,0.84941,0.90079,0.98485,0.61611,0.80307,0.65659,0.95657,0.73601,0.9679,0.00134,0.00134,0.00134
12,1787.62,0.8025,0.79966,0.88735,0.97376,0.79147,0.88781,0.73343,0.88679,0.65396,0.95055,0.001274,0.001274,0.001274
13,1931.53,0.76084,0.73186,0.88792,0.98131,0.74645,0.86338,0.7037,0.91187,0.67308,0.96151,0.001208,0.001208,0.001208
14,2074.56,0.76301,0.70739,0.87226,0.95775,0.80569,0.89243,0.73024,0.88209,0.6352,0.9382,0.001142,0.001142,0.001142
15,2218.41,0.75895,0.68612,0.86225,0.9746,0.72749,0.85251,0.70649,0.86492,0.62579,0.92472,0.001076,0.001076,0.001076
16,2362.7,0.73602,0.6609,0.88747,0.96386,0.75829,0.86376,0.68447,0.88954,0.70029,0.93233,0.00101,0.00101,0.00101
17,2506.18,0.71349,0.6382,0.85878,0.95845,0.81991,0.89621,0.7253,0.87299,0.64472,0.93602,0.000944,0.000944,0.000944
18,2650.76,0.70268,0.60861,0.86144,0.96694,0.83175,0.90384,0.74569,0.86673,0.62081,0.94768,0.000878,0.000878,0.000878
19,2796.09,0.70237,0.57211,0.85965,0.96373,0.88152,0.93147,0.75065,0.86041,0.60182,0.92688,0.000812,0.000812,0.000812
20,2942.22,0.69304,0.56144,0.86673,0.98251,0.79858,0.89602,0.73621,0.84219,0.58585,0.93049,0.000746,0.000746,0.000746
21,3065.23,0.67415,0.54731,0.8478,0.97802,0.8436,0.91714,0.74983,0.86202,0.57906,0.94258,0.00068,0.00068,0.00068
22,3186.07,0.63863,0.51995,0.83732,0.98542,0.80095,0.89578,0.74404,0.8738,0.65979,0.95519,0.000614,0.000614,0.000614
23,3306.05,0.59368,0.4885,0.82569,0.97382,0.88152,0.93105,0.75876,0.86164,0.56513,0.94672,0.000548,0.000548,0.000548
24,3425.78,0.5737,0.4599,0.82067,0.98266,0.80569,0.89677,0.74968,0.84032,0.58665,0.93678,0.000482,0.000482,0.000482
25,3543.88,0.54565,0.44382,0.81631,0.9697,0.83412,0.9105,0.76251,0.84093,0.58977,0.94456,0.000416,0.000416,0.000416
26,3662.22,0.51389,0.42123,0.80947,0.97514,0.83649,0.91161,0.75367,0.83566,0.58748,0.93852,0.00035,0.00035,0.00035
27,3778.69,0.49963,0.41108,0.8057,0.97003,0.8436,0.91538,0.75585,0.85582,0.5652,0.94795,0.000284,0.000284,0.000284
28,3895.12,0.48479,0.3969,0.80404,0.97486,0.82701,0.90832,0.75126,0.8463,0.59908,0.94929,0.000218,0.000218,0.000218
29,4007.69,0.46756,0.38566,0.80009,0.97472,0.82227,0.90519,0.74919,0.85261,0.6259,0.95088,0.000152,0.000152,0.000152
30,4128.23,0.44991,0.37777,0.7968,0.97238,0.83412,0.91082,0.75994,0.83791,0.57824,0.94603,8.6e-05,8.6e-05,8.6e-05
