                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63954,                 1.5606,                0.16894,                 0.7943,                0.73204,                 0.7731,                0.59133,                0.36708,                0.62696,                0.06104,             0.00066545,             0.00066545,             0.00066545
                      2,                0.43297,                0.71558,                0.07807,                0.66696,                0.67536,                 0.6062,                0.39002,                0.46287,                0.81431,                0.07322,              0.0013101,              0.0013101,              0.0013101
                      3,                0.43998,                0.82776,                0.05898,                 0.7106,                 0.2793,                 0.3569,                0.24406,                0.86369,                0.77143,                0.28224,              0.0019328,              0.0019328,              0.0019328
                      4,                0.44318,                0.80909,                0.07561,                0.82431,                  0.609,                 0.7224,                0.51684,                0.34131,                0.75247,                0.04826,               0.001901,               0.001901,               0.001901
                      5,                0.41878,                0.53591,                0.07616,                0.87285,                0.61813,                0.73969,                0.47171,                0.47247,                 0.6967,                0.09747,               0.001901,               0.001901,               0.001901
                      6,                0.41351,                0.52506,                0.06479,                0.83662,                0.71327,                0.77584,                0.54851,                 0.4147,                0.75752,                0.07242,               0.001868,               0.001868,               0.001868
                      7,                0.38305,                0.51498,                0.06003,                 0.8332,                0.78125,                0.78322,                0.57664,                0.36695,                 0.6433,                0.04564,               0.001835,               0.001835,               0.001835
                      8,                 0.3456,                0.52803,                0.05412,                 0.8865,                0.70616,                0.76105,                0.56384,                0.50663,                 0.5335,                0.11736,               0.001802,               0.001802,               0.001802
                      9,                0.33952,                0.48908,                0.04992,                0.88223,                0.63981,                0.76003,                0.54227,                0.51164,                 0.5602,                0.08684,               0.001769,               0.001769,               0.001769
                     10,                0.33552,                0.46895,                0.04552,                0.88268,                0.73101,                 0.8136,                0.60765,                0.38799,                0.56972,                0.06962,               0.001736,               0.001736,               0.001736
                     11,                0.35435,                 0.4882,                0.05303,                0.64037,                0.14929,                0.17272,                0.11878,                  2.012,                0.47485,                0.57372,               0.001703,               0.001703,               0.001703
                     12,                0.34786,                0.53802,                0.05485,                0.70394,                0.24408,                0.24185,                0.17472,                  1.393,                0.41396,                0.29901,                0.00167,                0.00167,                0.00167
                     13,                0.34098,                 0.5025,                0.04543,                0.65369,                0.33101,                0.34975,                0.26828,                 2.0791,                0.33703,                  1.292,               0.001637,               0.001637,               0.001637
                     14,                0.33308,                0.47764,                0.05504,                0.90608,                0.54864,                0.59003,                0.44466,                 1.1782,                0.39812,                0.50652,               0.001604,               0.001604,               0.001604
                     15,                0.32266,                0.44699,                0.04444,                0.80893,                 0.6872,                0.69598,                0.51932,                 0.6401,                0.48124,                0.12914,               0.001571,               0.001571,               0.001571
                     16,                0.30111,                0.41393,                 0.0401,                0.85707,                0.34123,                0.36697,                0.28359,                 1.3511,                0.27818,                0.30251,               0.001538,               0.001538,               0.001538
                     17,                0.27301,                0.40408,                0.03242,                0.85781,                0.36967,                0.38907,                0.30272,                 1.7826,                0.20725,                0.53963,               0.001505,               0.001505,               0.001505
                     18,                0.28483,                0.40775,                 0.0359,                0.85842,                0.48852,                0.51357,                0.37529,                 1.2474,                0.36817,                0.26877,               0.001472,               0.001472,               0.001472
                     19,                0.34016,                0.42501,                0.04327,                0.84802,                0.64455,                0.68077,                0.51985,                0.60235,                0.51392,                0.11047,               0.001439,               0.001439,               0.001439
                     20,                0.28496,                0.43188,                0.03914,                0.88577,                 0.4455,                0.49686,                0.37892,                 0.8967,                0.54303,                0.25035,               0.001406,               0.001406,               0.001406
                     21,                0.29638,                0.39788,                0.03887,                0.79801,                0.38863,                0.39235,                0.31073,                 1.2386,                0.37271,                0.28091,               0.001373,               0.001373,               0.001373
                     22,                 0.2668,                0.41984,                0.03645,                0.88733,                0.40284,                 0.4343,                0.33761,                 1.2019,                0.34552,                0.25331,                0.00134,                0.00134,                0.00134
                     23,                0.31186,                0.42849,                0.04275,                0.91069,                0.53081,                0.61253,                0.47829,                0.75973,                0.43267,                 0.1683,               0.001307,               0.001307,               0.001307
                     24,                0.28404,                0.40765,                0.04091,                0.90945,                0.59005,                0.59868,                0.47899,                 1.0164,                0.37265,                0.29805,               0.001274,               0.001274,               0.001274
