                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0462,                 3.2622,                 1.0302,                 1.0033,                 12.403,                0.97074,                0.77759,                0.61848,                0.68052,                0.45361,                 1.4184,                  1.859,                 1.3148,                 1.3994,                 2.3098,                 1.2895,             0.00066545,             0.00066545,             0.00066545
                      2,                 1.3171,                 1.6218,                 1.2593,                 1.2855,                 1.7191,                 1.1788,                0.56696,                0.53984,                0.51381,                 0.3275,                 1.4978,                 2.7762,                 1.7207,                  1.657,                 2.3965,                 1.6079,              0.0013101,              0.0013101,              0.0013101
                      3,                 1.2276,                 1.3681,                 1.2093,                 1.2418,                 1.7515,                 1.1823,                0.71946,                0.57583,                0.65632,                0.41237,                 1.5386,                 1.7028,                 1.4995,                 1.6135,                 2.6678,                  1.533,              0.0019328,              0.0019328,              0.0019328
                      4,                 1.3487,                 1.3545,                 1.2397,                 1.3842,                 1.3832,                 1.2324,                 0.8431,                0.63668,                 0.7357,                 0.4965,                 1.3412,                 1.3832,                 1.3102,                  1.447,                 1.5315,                 1.3688,               0.001901,               0.001901,               0.001901
                      5,                 1.1636,                 1.0848,                 1.1868,                 1.1934,                 1.1563,                 1.1777,                0.65348,                 0.7016,                0.69369,                0.45693,                 1.4378,                 1.3866,                 1.3573,                 1.3941,                 1.3893,                 1.3075,               0.001901,               0.001901,               0.001901
                      6,                 1.1964,                0.98329,                  1.165,                 1.1858,                0.98502,                 1.1347,                0.76744,                0.69905,                0.78083,                0.54247,                 1.1913,                 1.1418,                 1.2369,                  1.238,                 1.2193,                 1.2144,               0.001868,               0.001868,               0.001868
                      7,                 1.0533,                0.90174,                 1.0822,                 1.0953,                0.79812,                 1.0666,                0.69462,                0.69668,                0.74644,                0.50686,                 1.1995,                  1.233,                 1.2018,                 1.3158,                 1.3387,                 1.2628,               0.001835,               0.001835,               0.001835
                      8,                 1.0072,                0.78745,                 1.0527,                 1.0324,                0.72057,                  1.039,                0.79367,                0.68483,                0.78313,                0.53767,                 1.1461,                 1.1189,                 1.1718,                 1.2993,                 1.1292,                 1.2311,               0.001802,               0.001802,               0.001802
                      9,                 1.0237,                0.76181,                 1.0937,                 1.0607,                0.70026,                 1.0737,                0.88677,                0.68665,                0.81008,                0.56371,                 1.1986,                 1.0766,                 1.2388,                 1.2398,                 1.0692,                 1.2468,               0.001769,               0.001769,               0.001769
                     10,                0.99603,                 0.6993,                 1.0804,                   1.06,                0.59886,                 1.0738,                0.79277,                0.62322,                0.73091,                0.51654,                 1.2434,                 1.3845,                 1.3022,                 1.3618,                 1.4999,                 1.3143,               0.001736,               0.001736,               0.001736
                     11,                  1.035,                0.72333,                 1.0871,                 1.0554,                 0.6234,                 1.0647,                0.89664,                0.71947,                0.82776,                0.58688,                 1.1425,                0.98238,                 1.1884,                 1.2093,                 0.9976,                 1.2186,               0.001703,               0.001703,               0.001703
                     12,                0.94063,                0.70308,                 1.0241,                0.98813,                 0.6282,                 1.0169,                0.85784,                0.70065,                0.82547,                0.60004,                 1.1026,                0.98485,                  1.161,                 1.1653,                 1.0184,                 1.1883,                0.00167,                0.00167,                0.00167
                     13,                0.92831,                0.67496,                 1.0303,                0.96005,                0.56141,                 1.0065,                0.86126,                0.76493,                0.86598,                0.62138,                 1.1153,                0.87238,                 1.1585,                 1.2003,                0.80223,                 1.1987,               0.001637,               0.001637,               0.001637
                     14,                0.91862,                0.64297,                 1.0232,                0.95674,                0.56134,                 1.0066,                0.86182,                0.73223,                0.82015,                0.59796,                 1.0999,                0.98339,                 1.1668,                 1.1772,                 1.0006,                 1.1563,               0.001604,               0.001604,               0.001604
                     15,                0.94192,                 0.6562,                 1.0205,                0.94476,                0.53248,                0.98637,                0.85809,                 0.7654,                0.84758,                0.63266,                 1.0654,                0.99691,                  1.145,                  1.113,                 0.9678,                 1.1585,               0.001571,               0.001571,               0.001571
                     16,                0.89511,                0.61333,                 1.0201,                0.91347,                0.50715,                0.99236,                0.91439,                0.70868,                0.84816,                0.63235,                 1.0835,                 0.9494,                 1.1336,                 1.0779,                 0.9899,                 1.1379,               0.001538,               0.001538,               0.001538
                     17,                0.87037,                0.58096,                0.97941,                0.88031,                0.49565,                0.96314,                0.82231,                0.72749,                0.84354,                0.60582,                 1.0813,                0.93517,                 1.1568,                 1.1578,                0.93613,                 1.1947,               0.001505,               0.001505,               0.001505
