                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96993,                 8.1783,                0.91561,                0.93443,                0.81043,                0.88117,                0.66632,                 1.0032,                 4.0592,                0.98396,             0.00066545,             0.00066545,             0.00066545
                      2,                 1.0164,                 4.7072,                 0.9546,                0.98298,                0.54739,                0.76921,                0.62212,                   1.03,                 3.2318,                0.96262,              0.0013101,              0.0013101,              0.0013101
                      3,                0.97486,                 3.6492,                0.95371,                0.98625,                0.68009,                0.83485,                0.65619,                 1.0065,                 2.5097,                0.97939,              0.0019328,              0.0019328,              0.0019328
                      4,                  1.038,                 2.9353,                0.97256,                0.98842,                0.60664,                0.79717,                0.61011,                 1.0431,                 2.2198,                 1.0314,               0.001901,               0.001901,               0.001901
                      5,                0.93219,                 2.0464,                0.94917,                0.99035,                0.72986,                0.86282,                0.68533,                 1.0432,                 1.6392,                 1.0232,               0.001901,               0.001901,               0.001901
                      6,                0.92059,                 1.6376,                0.94309,                0.98833,                 0.6019,                0.79597,                0.65122,                0.96502,                 1.3711,                0.97686,               0.001868,               0.001868,               0.001868
                      7,                0.88738,                  1.367,                 0.9272,                  0.984,                0.58294,                0.78652,                0.64833,                0.95442,                 1.0969,                0.99299,               0.001835,               0.001835,               0.001835
                      8,                0.86368,                  1.111,                0.89848,                0.97756,                0.72275,                0.85601,                0.69791,                0.95351,                 1.0133,                0.98039,               0.001802,               0.001802,               0.001802
                      9,                0.86531,                 1.0012,                0.92361,                0.99248,                0.62559,                0.80824,                0.67207,                0.87868,                0.91514,                0.95863,               0.001769,               0.001769,               0.001769
                     10,                0.82451,                0.91094,                0.90008,                0.98256,                0.80095,                0.89286,                0.70688,                0.90643,                0.81923,                0.95965,               0.001736,               0.001736,               0.001736
                     11,                0.86269,                0.85855,                0.91723,                0.98773,                0.76303,                0.87774,                0.71607,                0.96774,                0.82159,                0.97376,               0.001703,               0.001703,               0.001703
                     12,                0.82825,                 0.7857,                0.89145,                0.98667,                0.70142,                0.84802,                0.69855,                0.98794,                0.85528,                0.97253,                0.00167,                0.00167,                0.00167
                     13,                0.80236,                0.74476,                0.89963,                0.97765,                0.82938,                0.91067,                0.73087,                0.94872,                0.74418,                0.97017,               0.001637,               0.001637,               0.001637
                     14,                0.81458,                0.69553,                0.89465,                0.98734,                0.73934,                 0.8669,                 0.6982,                 0.9443,                0.80076,                0.97739,               0.001604,               0.001604,               0.001604
                     15,                0.88435,                0.73358,                0.90657,                0.98328,                0.69668,                0.84497,                0.68154,                 1.0074,                0.85591,                 1.0004,               0.001571,               0.001571,               0.001571
                     16,                0.81605,                0.71137,                0.90592,                0.98148,                0.75355,                0.87149,                0.71102,                0.93615,                0.73176,                0.97299,               0.001538,               0.001538,               0.001538
                     17,                0.78519,                0.63718,                0.88246,                      1,                0.70616,                0.85304,                0.69473,                0.95755,                0.82646,                0.98877,               0.001505,               0.001505,               0.001505
