epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.398,0.98465,1.90239,1.03323,0.94637,0.7109,0.8388,0.62346,1.10662,1.00495,1.17178,0.000665448,0.000665448,0.000665448
2,339.386,1.05721,1.06422,1.10508,0.99237,0.61611,0.80655,0.60431,1.19599,1.01241,1.23351,0.00131013,0.00131013,0.00131013
3,501.408,1.08998,0.84814,1.13838,0.98585,0.49526,0.7421,0.57706,1.14097,0.93393,1.20807,0.00193282,0.00193282,0.00193282
4,665.924,1.04967,0.84184,1.09495,0.9537,0.73223,0.85189,0.65036,1.13601,0.91738,1.18569,0.001901,0.001901,0.001901
5,831.15,1.02798,0.86659,1.11643,0.89751,0.76777,0.85478,0.63479,1.21686,1.02583,1.25572,0.001868,0.001868,0.001868
6,996.129,0.9849,0.97059,1.08436,1,0.24882,0.6244,0.50845,1.1507,1.03046,1.18984,0.001835,0.001835,0.001835
7,1161.35,0.94658,0.72748,1.03465,0.96053,0.51896,0.74508,0.59468,1.14946,0.89958,1.21088,0.001802,0.001802,0.001802
8,1326.42,0.94194,0.65971,1.02187,0.99482,0.45498,0.72569,0.58287,1.0847,0.85545,1.18792,0.001769,0.001769,0.001769
9,1491.76,0.92559,0.65736,1.04552,0.96848,0.80095,0.88885,0.67273,1.08277,0.75911,1.15994,0.001736,0.001736,0.001736
10,1656.07,0.88317,0.6412,1.00847,1,0.49052,0.74526,0.60584,1.05992,0.8966,1.16476,0.001703,0.001703,0.001703
11,1819.36,0.93115,0.60883,1.03477,0.98507,0.46919,0.7289,0.59724,1.12928,1.02841,1.2033,0.00167,0.00167,0.00167
12,1983.81,0.88174,0.55637,0.98887,0.97959,0.56872,0.77822,0.61771,1.08335,0.86482,1.16263,0.001637,0.001637,0.001637
13,2147.59,0.86769,0.56491,1.00323,0.9802,0.70379,0.84516,0.66354,1.04817,0.77333,1.13902,0.001604,0.001604,0.001604
14,2311.41,0.84948,0.55118,0.98776,0.97464,0.63744,0.81093,0.64191,1.05023,0.92902,1.17124,0.001571,0.001571,0.001571
15,2475.15,0.85072,0.54598,0.98192,0.98221,0.65403,0.82199,0.65106,1.0298,0.80256,1.14538,0.001538,0.001538,0.001538
16,2635.52,0.83266,0.55112,0.9983,0.97909,0.66588,0.82694,0.66135,1.0608,0.84159,1.15941,0.001505,0.001505,0.001505
17,2793.88,0.79522,0.51748,0.94184,0.97578,0.66825,0.82587,0.66162,1.00337,0.83306,1.12906,0.001472,0.001472,0.001472
18,2954.73,0.80244,0.50889,0.96558,0.97078,0.70853,0.84658,0.66967,1.02257,0.83952,1.12662,0.001439,0.001439,0.001439
19,3111.91,0.79611,0.49813,0.96915,0.98855,0.61374,0.80209,0.66528,0.99062,0.84768,1.13258,0.001406,0.001406,0.001406
20,3268.47,0.78928,0.50094,0.97027,0.98447,0.75118,0.87168,0.69281,1.01666,0.90973,1.1509,0.001373,0.001373,0.001373
21,3430.27,0.82098,0.51009,0.95703,0.99029,0.72512,0.86071,0.70298,0.97492,0.83443,1.09041,0.00134,0.00134,0.00134
22,3594.89,0.77033,0.46297,0.92883,0.97859,0.75829,0.87385,0.70347,0.98281,0.77172,1.10739,0.001307,0.001307,0.001307
23,3757.41,0.76342,0.46242,0.93596,0.97935,0.78673,0.88669,0.71188,0.95875,0.88287,1.09421,0.001274,0.001274,0.001274
24,3919.67,0.75687,0.45718,0.92769,0.97661,0.79147,0.89025,0.72301,0.98399,0.75539,1.08971,0.001241,0.001241,0.001241
25,4083.19,0.74756,0.44708,0.92215,0.98366,0.71327,0.8533,0.693,0.9671,0.75477,1.1105,0.001208,0.001208,0.001208
26,4246.38,0.75099,0.45838,0.92772,0.96784,0.78436,0.88673,0.70796,0.97038,0.79395,1.11591,0.001175,0.001175,0.001175
27,4407.44,0.74391,0.44264,0.91753,0.96885,0.73697,0.86147,0.68755,0.97892,0.67863,1.10422,0.001142,0.001142,0.001142
28,4569.01,0.7595,0.44454,0.93895,0.98256,0.80095,0.89631,0.7283,0.9422,0.65352,1.08503,0.001109,0.001109,0.001109
29,4738.61,0.70235,0.42416,0.91715,0.98204,0.77725,0.88399,0.70944,0.9559,0.68396,1.09837,0.001076,0.001076,0.001076
30,4903.38,0.71434,0.43121,0.91968,0.97872,0.76303,0.87552,0.72039,0.93512,0.62729,1.06865,0.001043,0.001043,0.001043
31,5064.51,0.6847,0.41637,0.91059,0.96765,0.77962,0.88019,0.71684,0.93357,0.68542,1.08967,0.00101,0.00101,0.00101
32,5226.05,0.68508,0.41999,0.91088,0.97342,0.69431,0.83876,0.68212,0.95652,0.69174,1.10304,0.000977,0.000977,0.000977
33,5386.48,0.70209,0.4149,0.90736,0.96286,0.79858,0.89179,0.72056,0.94398,0.65884,1.10026,0.000944,0.000944,0.000944
34,5545.84,0.68764,0.41437,0.90292,0.98635,0.68483,0.83825,0.6844,0.96102,0.7503,1.1096,0.000911,0.000911,0.000911
35,5705.62,0.68338,0.40315,0.897,0.98762,0.75592,0.87557,0.71541,0.94134,0.71065,1.06685,0.000878,0.000878,0.000878
36,5866.15,0.65778,0.37737,0.88933,0.97222,0.82938,0.90632,0.73578,0.93582,0.63113,1.08638,0.000845,0.000845,0.000845
37,6026.7,0.65832,0.37196,0.87912,0.98246,0.79621,0.89224,0.72422,0.93974,0.73152,1.07531,0.000812,0.000812,0.000812
38,6190.87,0.65536,0.38827,0.87883,0.97983,0.80569,0.8976,0.7328,0.93411,0.68803,1.07873,0.000779,0.000779,0.000779
39,6352.7,0.66965,0.37648,0.89165,0.97892,0.77014,0.87964,0.72458,0.91102,0.73987,1.07349,0.000746,0.000746,0.000746
40,6514.35,0.64151,0.36904,0.88819,0.97661,0.79147,0.89018,0.72623,0.93463,0.68918,1.08035,0.000713,0.000713,0.000713
41,6677.58,0.64456,0.36933,0.88841,0.97085,0.7891,0.88605,0.73733,0.91124,0.64801,1.083,0.00068,0.00068,0.00068
42,6841.14,0.64266,0.37324,0.89611,0.97813,0.74171,0.86463,0.72608,0.90368,0.65987,1.06382,0.000647,0.000647,0.000647
43,7002.46,0.63116,0.36334,0.87593,0.98028,0.82464,0.90651,0.74623,0.9044,0.61797,1.0759,0.000614,0.000614,0.000614
44,7164.87,0.62462,0.35101,0.88559,0.97796,0.84123,0.91319,0.76168,0.8998,0.58896,1.08176,0.000581,0.000581,0.000581
45,7327.42,0.59929,0.3513,0.87377,0.96379,0.81991,0.89893,0.7441,0.90148,0.67494,1.08133,0.000548,0.000548,0.000548
46,7488.34,0.5897,0.34181,0.8592,0.97721,0.8128,0.89972,0.75313,0.89385,0.6241,1.06687,0.000515,0.000515,0.000515
47,7653.05,0.60336,0.34482,0.86793,0.97587,0.86256,0.9228,0.76348,0.90713,0.57117,1.08036,0.000482,0.000482,0.000482
48,7820.06,0.57183,0.32922,0.86693,0.97011,0.84597,0.91569,0.7489,0.89588,0.54586,1.0631,0.000449,0.000449,0.000449
49,7985.25,0.59596,0.33805,0.85789,0.95745,0.85308,0.91404,0.75541,0.91842,0.6058,1.08976,0.000416,0.000416,0.000416
50,8143.28,0.57197,0.32083,0.86836,0.95822,0.86967,0.92423,0.77051,0.88088,0.57235,1.06058,0.000383,0.000383,0.000383
51,8288.25,0.5387,0.30428,0.84303,0.9709,0.86967,0.92612,0.76721,0.89457,0.56014,1.08978,0.00035,0.00035,0.00035
52,8430.58,0.51591,0.29657,0.83522,0.9729,0.85071,0.91851,0.75086,0.89208,0.57639,1.07386,0.000317,0.000317,0.000317
53,8572.03,0.5142,0.29257,0.83011,0.97283,0.84834,0.91537,0.74858,0.90579,0.62277,1.08497,0.000284,0.000284,0.000284
