                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98097,                 1.8844,                 1.0222,                0.95714,                0.63507,                0.79656,                0.60553,                 1.1224,                  1.147,                 1.2079,             0.00066545,             0.00066545,             0.00066545
                      2,                 1.0644,                 1.1703,                 1.1349,                      1,                0.58057,                0.79028,                0.61188,                 1.2257,                 1.2301,                 1.2583,              0.0013156,              0.0013156,              0.0013156
                      3,                 1.0779,                0.94866,                 1.1383,                0.98785,                 0.5782,                0.78463,                0.62127,                 1.2363,                 1.2736,                 1.2623,              0.0019493,              0.0019493,              0.0019493
                      4,                 1.2113,                 1.0216,                  1.197,                      1,                0.19905,                0.59952,                0.48902,                 1.3199,                 1.1512,                 1.3515,              0.0019258,              0.0019258,              0.0019258
                      5,                 1.1415,                0.96275,                 1.1688,                0.95796,                0.75592,                0.86641,                0.64989,                 1.2287,                0.87169,                  1.261,              0.0019258,              0.0019258,              0.0019258
                      6,                 1.0402,                0.79125,                 1.1077,                      1,                0.26066,                0.63033,                0.53464,                 1.1558,                 1.3017,                  1.203,               0.001901,               0.001901,               0.001901
                      7,                 1.0184,                0.84721,                 1.0635,                0.97778,                0.52133,                0.75231,                0.61148,                 1.0977,                 1.0416,                  1.166,              0.0018763,              0.0018763,              0.0018763
                      8,                0.96714,                0.73154,                 1.0416,                0.89041,                0.77014,                0.84567,                0.65905,                 1.1242,                 1.0583,                 1.1954,              0.0018515,              0.0018515,              0.0018515
                      9,                0.96733,                0.68692,                 1.0715,                0.96899,                0.59242,                0.78718,                0.61211,                 1.1132,                0.86553,                 1.1982,              0.0018267,              0.0018267,              0.0018267
                     10,                 0.9819,                0.68378,                 1.0645,                      1,                0.48578,                0.74287,                0.61374,                 1.1527,                 1.0652,                 1.2182,               0.001802,               0.001802,               0.001802
                     11,                0.97836,                0.66686,                  1.042,                0.89723,                0.53791,                0.71547,                0.57967,                    1.1,                 1.0062,                  1.183,              0.0017772,              0.0017772,              0.0017772
                     12,                 0.9201,                0.63614,                 1.0172,                0.97758,                0.51659,                0.75033,                0.61247,                 1.0716,                0.81074,                 1.1481,              0.0017525,              0.0017525,              0.0017525
                     13,                0.88965,                0.61482,                 1.0201,                0.97619,                0.77725,                0.88319,                0.69983,                 1.0171,                 0.7152,                 1.1109,              0.0017278,              0.0017278,              0.0017278
                     14,                0.91433,                0.61028,                 1.0144,                0.96959,                0.68009,                0.83282,                0.66905,                 1.0548,                0.76462,                 1.1585,               0.001703,               0.001703,               0.001703
                     15,                0.94194,                0.59914,                 1.0124,                0.97131,                0.56161,                0.77201,                0.62392,                 1.0998,                 1.0242,                 1.1787,              0.0016783,              0.0016783,              0.0016783
                     16,                 0.8837,                0.61221,                 1.0306,                0.97134,                0.72275,                0.85312,                0.67973,                 1.0491,                0.86244,                 1.1473,              0.0016535,              0.0016535,              0.0016535
                     17,                0.85127,                0.56892,                0.97991,                0.98955,                0.67299,                0.83293,                0.68639,                 1.0287,                0.92238,                 1.1501,              0.0016287,              0.0016287,              0.0016287
                     18,                0.83037,                0.56182,                0.98566,                0.98905,                0.64218,                0.81723,                0.66072,                 1.0044,                0.88563,                 1.1079,               0.001604,               0.001604,               0.001604
                     19,                0.84245,                0.54043,                0.99383,                0.97049,                0.70142,                0.84385,                0.67611,                 1.0235,                   0.79,                 1.1208,              0.0015793,              0.0015793,              0.0015793
                     20,                0.85917,                0.55604,                0.99202,                0.97279,                0.67773,                0.82985,                0.68806,                 1.0188,                  1.406,                 1.1444,              0.0015545,              0.0015545,              0.0015545
                     21,                0.83754,                0.56203,                0.97436,                0.99597,                0.58531,                0.79094,                0.66227,                 1.0294,                0.93146,                 1.1232,              0.0015298,              0.0015298,              0.0015298
                     22,                0.78539,                0.50422,                0.94908,                 0.9633,                0.74645,                0.86584,                0.69946,                 0.9971,                  0.802,                 1.1242,               0.001505,               0.001505,               0.001505
                     23,                0.82343,                0.53681,                0.97229,                   0.99,                0.70379,                0.84984,                0.70404,                0.97856,                 1.0917,                   1.12,              0.0014803,              0.0014803,              0.0014803
                     24,                0.82959,                0.53564,                0.96411,                0.98355,                0.70853,                 0.8495,                0.68554,                 1.0429,                 0.8395,                 1.1421,              0.0014555,              0.0014555,              0.0014555
                     25,                0.79386,                0.49102,                 0.9567,                0.98457,                0.75592,                0.87483,                0.71702,                0.95861,                0.73687,                 1.0856,              0.0014307,              0.0014307,              0.0014307
                     26,                0.78068,                0.49169,                0.93324,                0.95616,                0.82701,                0.90259,                0.74515,                0.93906,                0.70706,                 1.0719,               0.001406,               0.001406,               0.001406
                     27,                0.77355,                0.46941,                0.93027,                0.98726,                 0.7346,                0.86418,                0.71483,                0.96211,                0.67325,                 1.0862,              0.0013813,              0.0013813,              0.0013813
                     28,                0.77947,                0.47834,                 0.9499,                0.98893,                0.63507,                0.81321,                0.66691,                0.98329,                0.83377,                 1.1144,              0.0013565,              0.0013565,              0.0013565
                     29,                0.75378,                0.46252,                0.93681,                0.97273,                0.76066,                0.87455,                0.71403,                0.95581,                0.62374,                  1.092,              0.0013318,              0.0013318,              0.0013318
                     30,                0.75142,                0.45755,                0.93869,                0.98689,                0.71327,                  0.852,                 0.7013,                 0.9653,                0.69002,                 1.1096,               0.001307,               0.001307,               0.001307
                     31,                0.72671,                0.46385,                0.93189,                0.95989,                0.79384,                0.88573,                0.72638,                0.98626,                0.72012,                 1.1171,              0.0012822,              0.0012822,              0.0012822
                     32,                0.71583,                0.44412,                0.92442,                 0.9848,                0.76777,                0.87865,                0.73507,                0.90198,                0.63504,                 1.0776,              0.0012575,              0.0012575,              0.0012575
                     33,                0.75737,                0.45506,                0.93804,                0.98371,                0.71564,                0.85305,                0.70331,                0.96611,                0.65188,                 1.1102,              0.0012328,              0.0012328,              0.0012328
                     34,                0.73066,                0.43856,                0.93314,                0.98142,                0.75118,                0.86991,                 0.7197,                 0.9368,                0.72129,                 1.0875,               0.001208,               0.001208,               0.001208
                     35,                0.72215,                0.42935,                0.91238,                0.97554,                0.75592,                0.87073,                0.71661,                0.94899,                 0.6704,                 1.0961,              0.0011833,              0.0011833,              0.0011833
                     36,                0.72558,                0.41889,                0.92003,                0.97806,                0.73934,                0.86416,                0.71748,                0.96483,                0.73379,                 1.1075,              0.0011585,              0.0011585,              0.0011585
                     37,                 0.7161,                0.42003,                0.90828,                0.97977,                0.80332,                0.89561,                0.74736,                0.91603,                0.62869,                 1.0687,              0.0011337,              0.0011337,              0.0011337
                     38,                0.70739,                0.42469,                0.89775,                0.97429,                0.80806,                0.89826,                0.74795,                0.91386,                0.65662,                 1.0765,               0.001109,               0.001109,               0.001109
                     39,                0.69069,                0.41529,                0.90542,                0.97953,                0.79384,                0.89153,                0.74702,                0.90398,                0.69426,                 1.0726,              0.0010842,              0.0010842,              0.0010842
                     40,                0.66738,                0.40038,                0.89349,                0.99042,                 0.7346,                0.86572,                0.72415,                0.92742,                 0.9169,                 1.0967,              0.0010595,              0.0010595,              0.0010595
                     41,                0.65023,                0.39594,                 0.8953,                0.97406,                0.80095,                0.89173,                0.73357,                0.90819,                0.70362,                 1.0667,              0.0010347,              0.0010347,              0.0010347
                     42,                0.66429,                0.40244,                0.90886,                0.97688,                0.80095,                0.89546,                0.75003,                0.90305,                0.66871,                  1.068,                0.00101,                0.00101,                0.00101
                     43,                0.65592,                0.40571,                0.89152,                0.98494,                0.77488,                0.88498,                0.74051,                0.92154,                0.68784,                 1.0657,             0.00098525,             0.00098525,             0.00098525
                     44,                0.66479,                0.39416,                0.90303,                0.98214,                0.78199,                0.88605,                0.74214,                0.92015,                0.65638,                 1.0758,              0.0009605,              0.0009605,              0.0009605
                     45,                0.64701,                0.38759,                0.88871,                0.98256,                0.80095,                0.89538,                0.75175,                0.89797,                0.66784,                 1.0638,             0.00093575,             0.00093575,             0.00093575
