                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97723,                 8.8109,                 0.9793,                0.96159,                 38.648,                0.92589,                0.60355,                0.60247,                0.63213,                0.42891,                 1.0998,                 4.9677,                  1.111,                 1.1177,                 24.504,                 1.0731,             0.00066545,             0.00066545,             0.00066545
                      2,                  1.023,                 5.7435,                 1.0376,                  0.961,                 25.527,                0.99274,                0.67528,                0.56161,                0.68831,                0.50266,                 1.0842,                 3.7159,                 1.1123,                  1.094,                 17.154,                  1.107,              0.0013156,              0.0013156,              0.0013156
                      3,                0.98001,                   4.29,                 1.0337,                 0.9248,                 17.385,                0.98775,                0.59545,                0.59242,                0.65249,                0.46668,                  1.061,                 2.9972,                 1.0867,                 1.0815,                 12.565,                 1.0985,              0.0019493,              0.0019493,              0.0019493
                      4,                 1.0597,                 3.4518,                 1.0571,                 1.0323,                 12.855,                 1.0175,                0.67083,                0.55054,                0.65403,                0.47202,                 1.0845,                  2.715,                 1.1039,                  1.085,                 9.6845,                 1.1057,              0.0019258,              0.0019258,              0.0019258
                      5,                  1.022,                 2.7341,                 1.0819,                0.97891,                 9.4031,                 1.0108,                0.76704,                0.60427,                0.75079,                0.54015,                 1.0694,                 2.0554,                 1.0969,                 1.0629,                 6.6113,                 1.0765,              0.0019258,              0.0019258,              0.0019258
                      6,                0.95391,                  1.957,                 1.0344,                0.96238,                 6.6309,                 1.0122,                0.71623,                0.71564,                0.79539,                0.56015,                 1.0636,                 1.5952,                 1.1172,                  1.176,                 4.8849,                 1.1702,               0.001901,               0.001901,               0.001901
                      7,                 0.9509,                 1.6743,                 1.0147,                 0.9586,                 4.8133,                 0.9988,                0.79042,                0.74177,                0.82035,                0.56511,                 1.0983,                 1.4553,                 1.1101,                 1.2235,                 3.7685,                  1.156,              0.0018763,              0.0018763,              0.0018763
                      8,                0.95406,                 1.3618,                0.99474,                0.95777,                 3.7157,                0.97033,                0.76908,                0.74645,                0.82576,                0.57823,                 1.0374,                 1.2588,                 1.1058,                 1.1566,                 2.9791,                 1.1516,              0.0018515,              0.0018515,              0.0018515
                      9,                0.95244,                 1.1882,                 1.0334,                0.92655,                 2.8809,                 1.0005,                0.74891,                0.67773,                 0.7586,                0.53527,                 1.0817,                 1.2959,                 1.1062,                 1.1168,                 2.6275,                 1.1441,              0.0018267,              0.0018267,              0.0018267
                     10,                0.88727,                 1.0498,                0.98984,                0.90955,                 2.2904,                0.97539,                0.78034,                0.77014,                0.82464,                0.60788,                0.98321,                 1.0066,                 1.0777,                 1.0442,                 1.9945,                 1.1117,               0.001802,               0.001802,               0.001802
                     11,                0.94919,                0.96148,                 1.0069,                 0.9339,                 1.8852,                0.97908,                0.70051,                0.78673,                0.80906,                 0.5859,                 1.0069,                 1.0215,                 1.0791,                 1.0812,                 1.7793,                 1.1082,              0.0017772,              0.0017772,              0.0017772
                     12,                0.87157,                0.87212,                0.96555,                0.87933,                  1.598,                0.94466,                0.81773,                 0.7548,                0.85589,                0.62889,                 1.0167,                0.99217,                 1.0709,                 1.0682,                 1.5085,                 1.1006,              0.0017525,              0.0017525,              0.0017525
                     13,                0.90535,                 0.8221,                0.98557,                0.93335,                 1.4268,                0.96565,                0.82622,                0.78673,                0.88056,                 0.6488,                  1.061,                0.87402,                  1.105,                 1.0853,                 1.3685,                 1.0965,              0.0017278,              0.0017278,              0.0017278
                     14,                0.86518,                0.75559,                0.97174,                0.92726,                 1.2773,                0.96713,                0.85217,                0.79147,                0.87132,                 0.6243,                 1.0112,                0.90753,                 1.0796,                 1.1021,                 1.3882,                 1.1126,               0.001703,               0.001703,               0.001703
                     15,                0.90706,                0.74651,                  0.968,                0.91767,                 1.1256,                0.94717,                0.85308,                0.70616,                 0.8505,                0.60988,                 1.0809,                0.91489,                 1.1009,                 1.1207,                 1.3425,                 1.1326,              0.0016783,              0.0016783,              0.0016783
                     16,                0.85176,                0.73267,                0.97906,                0.87732,                 1.0848,                0.96851,                0.85271,                0.74081,                0.83815,                0.60541,                 1.0311,                   1.05,                 1.1013,                 1.0976,                 1.3571,                 1.1167,              0.0016535,              0.0016535,              0.0016535
                     17,                0.82651,                0.71182,                0.94599,                0.84981,                 1.0154,                0.92574,                0.83665,                0.76303,                0.85778,                0.62145,                 1.0484,                0.93302,                 1.0998,                 1.1212,                 1.2063,                 1.1345,              0.0016287,              0.0016287,              0.0016287
                     18,                0.84557,                0.68932,                 0.9689,                0.86121,                0.94915,                 0.9466,                 0.8423,                0.76066,                0.85715,                0.61739,                 1.0421,                0.80578,                 1.0937,                  1.123,                 1.0976,                 1.1243,               0.001604,               0.001604,               0.001604
                     19,                0.83115,                 0.6757,                0.95404,                0.84765,                0.88494,                0.94093,                0.90544,                0.74877,                0.89287,                0.68221,                0.92884,                0.90132,                 1.0307,                0.94604,                 1.1176,                 1.0285,              0.0015793,              0.0015793,              0.0015793
                     20,                0.81204,                0.66712,                0.96324,                0.81508,                0.83734,                0.92867,                0.87454,                0.77634,                 0.8594,                0.63521,                 1.0514,                0.91529,                 1.1004,                 1.1003,                 1.1441,                  1.103,              0.0015545,              0.0015545,              0.0015545
                     21,                0.82185,                0.62913,                0.94409,                 0.8488,                0.77792,                0.93024,                0.84952,                0.77014,                0.86008,                0.64089,                  1.003,                0.93199,                 1.0711,                 1.0827,                 1.0937,                 1.0981,              0.0015298,              0.0015298,              0.0015298
                     22,                0.80239,                0.60158,                0.93891,                0.80675,                 0.7539,                0.91358,                0.87076,                0.76633,                0.85316,                0.63059,                0.97198,                0.77983,                 1.0556,                 1.0556,                 1.0103,                 1.0818,               0.001505,               0.001505,               0.001505
                     23,                0.80485,                0.58964,                0.93547,                0.81298,                0.71781,                0.91211,                0.85487,                0.81517,                0.86917,                 0.6578,                0.94313,                0.93189,                 1.0494,                0.99573,                 1.0296,                 1.0613,              0.0014803,              0.0014803,              0.0014803
                     24,                0.78798,                0.56618,                0.92741,                0.79753,                0.65382,                0.90475,                0.87802,                0.80164,                0.89041,                0.66207,                 1.0396,                0.87031,                 1.0881,                 1.0799,                0.94631,                 1.0943,              0.0014555,              0.0014555,              0.0014555
                     25,                0.75541,                0.53519,                0.91749,                0.78306,                0.60443,                 0.9072,                0.85146,                0.84597,                0.90278,                 0.6679,                0.97897,                0.78672,                 1.0506,                 1.0216,                0.86879,                 1.0594,              0.0014307,              0.0014307,              0.0014307
                     26,                0.75476,                0.52516,                0.91336,                0.77176,                0.60772,                 0.8946,                0.91316,                0.74171,                0.87751,                0.64862,                 1.0146,                0.84416,                  1.093,                 1.0888,                0.94659,                 1.1015,               0.001406,               0.001406,               0.001406
                     27,                0.75518,                0.53427,                0.91115,                0.77664,                0.60738,                0.89229,                0.89591,                0.80569,                0.91072,                 0.6833,                 0.9792,                0.68822,                 1.0752,                 1.0364,                0.77517,                  1.109,              0.0013813,              0.0013813,              0.0013813
                     28,                0.74238,                0.51132,                0.91501,                0.76895,                0.57804,                0.90885,                 0.9026,                0.79057,                0.91344,                0.69255,                0.92313,                0.67118,                 1.0459,                0.97137,                0.76093,                 1.0751,              0.0013565,              0.0013565,              0.0013565
                     29,                0.71744,                0.49489,                 0.8964,                0.75583,                0.51924,                0.90097,                0.88175,                0.74212,                0.83987,                0.64491,                0.95404,                0.90315,                 1.0645,                 1.0028,                 1.0501,                 1.0759,              0.0013318,              0.0013318,              0.0013318
                     30,                0.73729,                0.50671,                0.91404,                0.74899,                0.56258,                0.89638,                0.93299,                0.78199,                0.89875,                0.67393,                0.94821,                0.75861,                 1.0695,                0.99959,                0.87172,                 1.0898,               0.001307,               0.001307,               0.001307
                     31,                0.71578,                0.48923,                0.90291,                0.72948,                0.52903,                0.88973,                0.90404,                0.78199,                0.89898,                0.66849,                0.94255,                0.67551,                  1.041,                 1.0194,                0.78454,                 1.0672,              0.0012822,              0.0012822,              0.0012822
                     32,                0.70631,                0.47434,                0.89081,                0.74184,                0.50633,                 0.8828,                0.88712,                0.76303,                0.87306,                0.66518,                0.95452,                0.87613,                 1.0501,                0.98536,                0.88891,                 1.0663,              0.0012575,              0.0012575,              0.0012575
                     33,                0.76106,                0.48915,                0.90773,                0.77845,                0.49226,                0.89125,                0.87453,                0.85545,                0.93043,                0.67832,                 1.0055,                0.65502,                 1.0816,                 1.0608,                0.69093,                 1.0998,              0.0012328,              0.0012328,              0.0012328
                     34,                0.74906,                0.48082,                0.91478,                0.76927,                0.49353,                 0.8987,                0.82698,                0.83175,                0.88981,                0.67058,                0.99695,                 0.8112,                 1.0681,                 1.0312,                 0.8716,                 1.0713,               0.001208,               0.001208,               0.001208
                     35,                0.74786,                0.48865,                0.90878,                0.74715,                0.50308,                0.88577,                0.90702,                0.78199,                0.87912,                0.66767,                0.97387,                0.91605,                 1.0462,                 1.0062,                0.94276,                 1.0625,              0.0011833,              0.0011833,              0.0011833
                     36,                0.72964,                 0.4634,                0.91048,                0.74088,                0.46595,                0.89166,                0.87509,                0.82464,                0.90992,                0.69393,                 0.9479,                0.71491,                 1.0493,                 0.9873,                0.77068,                  1.055,              0.0011585,              0.0011585,              0.0011585
                     37,                0.71436,                0.45459,                0.89048,                0.73188,                0.44378,                0.87241,                0.84589,                0.80644,                0.89685,                0.69377,                0.93788,                0.81316,                 1.0436,                0.96646,                0.81744,                 1.0488,              0.0011337,              0.0011337,              0.0011337
                     38,                0.70737,                  0.463,                0.88681,                0.70901,                0.46025,                0.87145,                0.86275,                0.80095,                0.88582,                0.67822,                0.94316,                0.79358,                 1.0367,                 1.0043,                0.82932,                 1.0745,               0.001109,               0.001109,               0.001109
                     39,                 0.6898,                0.43686,                0.89043,                0.70841,                0.44767,                0.87805,                0.91576,                0.79855,                0.90733,                0.67879,                0.94798,                0.73575,                 1.0373,                 1.0014,                0.79337,                 1.0627,              0.0010842,              0.0010842,              0.0010842
                     40,                0.66862,                0.43958,                0.87883,                0.68654,                0.42794,                0.86993,                0.85151,                0.80095,                0.88447,                0.66984,                0.91581,                0.89239,                 1.0324,                 0.9867,                 0.9604,                 1.0663,              0.0010595,              0.0010595,              0.0010595
                     41,                0.66275,                 0.4429,                0.88153,                0.68211,                0.44727,                0.86591,                0.87794,                0.80332,                0.88594,                0.67174,                0.92079,                0.84676,                 1.0273,                0.98227,                0.87802,                 1.0522,              0.0010347,              0.0010347,              0.0010347
                     42,                0.67141,                0.43577,                 0.8927,                0.67487,                0.41453,                0.87842,                  0.944,                0.79892,                0.93027,                0.70914,                0.91557,                0.66014,                  1.046,                0.96366,                0.67808,                 1.0641,                0.00101,                0.00101,                0.00101
                     43,                0.64251,                0.41898,                0.86998,                0.64826,                0.41327,                0.85853,                0.85296,                  0.866,                0.91529,                0.71178,                0.90365,                0.73469,                 1.0328,                0.94623,                0.76824,                 1.0343,             0.00098525,             0.00098525,             0.00098525
                     44,                0.66058,                0.41526,                 0.8791,                0.66779,                0.39082,                0.86456,                0.90745,                 0.8132,                0.90435,                0.68847,                 0.9346,                0.82585,                 1.0464,                0.97493,                0.82334,                 1.0573,              0.0009605,              0.0009605,              0.0009605
                     45,                 0.6618,                0.42006,                0.88375,                 0.6818,                0.41267,                0.87085,                0.88668,                0.84123,                0.92521,                 0.7004,                0.93264,                0.64516,                 1.0415,                0.95381,                 0.6892,                 1.0415,             0.00093575,             0.00093575,             0.00093575
                     46,                0.63879,                0.39932,                0.86076,                0.65979,                0.38592,                0.84583,                0.89942,                 0.8688,                0.94529,                0.71564,                0.88153,                0.59467,                 1.0285,                 0.9415,                0.58024,                 1.0403,               0.000911,               0.000911,               0.000911
                     47,                0.66365,                0.41086,                0.87129,                0.68007,                0.37864,                0.85573,                0.90724,                0.85749,                0.93392,                0.71447,                0.89808,                0.64444,                 1.0381,                0.94629,                0.63663,                 1.0567,             0.00088625,             0.00088625,             0.00088625
                     48,                0.61555,                0.38989,                0.87621,                0.62186,                0.36777,                0.86153,                0.91311,                0.85308,                0.94368,                0.71922,                0.89382,                0.61512,                 1.0322,                0.94963,                0.58546,                 1.0488,              0.0008615,              0.0008615,              0.0008615
                     49,                 0.6259,                0.39263,                0.86106,                0.65102,                0.35937,                0.84682,                0.94319,                0.78436,                0.90949,                0.70293,                0.88628,                0.69203,                 1.0254,                0.93947,                0.76596,                 1.0399,             0.00083675,             0.00083675,             0.00083675
                     50,                0.61088,                0.37614,                 0.8736,                0.62732,                0.34819,                0.85751,                0.90713,                0.85644,                0.93556,                 0.7023,                0.91034,                 0.5969,                 1.0296,                 0.9621,                0.63207,                  1.045,               0.000812,               0.000812,               0.000812
                     51,                0.62388,                0.39506,                0.85956,                0.63796,                0.35838,                0.84681,                0.89835,                0.83765,                0.92471,                0.71341,                0.89326,                0.69912,                 1.0403,                0.94537,                0.69814,                 1.0491,             0.00078725,             0.00078725,             0.00078725
                     52,                 0.6255,                0.38072,                0.85777,                0.62746,                 0.3362,                0.84337,                 0.8719,                0.85071,                0.92756,                0.71872,                0.88746,                0.68066,                 1.0239,                0.93357,                0.67009,                 1.0403,              0.0007625,              0.0007625,              0.0007625
                     53,                0.60126,                0.38154,                0.86374,                0.62312,                0.35693,                0.84655,                0.91123,                0.82705,                0.92444,                 0.7192,                 0.8681,                0.66337,                 1.0065,                0.93463,                0.69113,                 1.0286,             0.00073775,             0.00073775,             0.00073775
                     54,                0.61319,                0.39021,                0.86792,                0.60987,                0.35532,                0.84732,                0.90416,                0.81517,                0.91438,                0.69338,                0.89663,                0.75018,                 1.0127,                 1.0044,                0.76711,                 1.0402,               0.000713,               0.000713,               0.000713
