                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99185,                 10.168,                0.91307,                 1.0018,                 35.565,                0.86638,                0.00538,                0.46836,                0.06497,                0.04221,                0.95119,                 8.2474,                 0.8941,                0.80912,                 34.093,                0.83466,             0.00027364,             0.00027364,             0.00027364
                      2,                 0.9622,                 8.4206,                0.92735,                 1.0006,                  32.86,                 0.8867,                0.64957,                0.08514,                0.14127,                 0.1008,                0.93213,                 7.7134,                0.96916,                0.94857,                 31.079,                0.91708,             0.00054221,             0.00054221,             0.00054221
                      3,                 0.9129,                  7.016,                0.92703,                 1.0105,                 29.082,                0.89384,                 0.5707,                0.26559,                0.25516,                0.18324,                0.94179,                 6.5144,                0.98453,                0.96502,                 26.463,                0.95191,             0.00080162,             0.00080162,             0.00080162
                      4,                0.89979,                 6.2004,                0.92187,                 1.0121,                 25.351,                0.88971,                 0.5013,                0.31918,                0.25381,                0.18447,                0.91224,                 5.8514,                0.97932,                0.97361,                 23.259,                0.98445,             0.00079177,             0.00079177,             0.00079177
                      5,                 0.8989,                 5.3813,                0.94551,                 1.0317,                 22.875,                0.91218,                0.50824,                0.37763,                0.35877,                0.25896,                0.94325,                 4.7893,                  1.002,                0.91302,                 20.196,                0.96476,             0.00079177,             0.00079177,             0.00079177
                      6,                0.87842,                 4.8445,                0.94308,                0.94975,                 20.358,                0.91486,                0.56604,                0.33248,                0.37678,                0.27628,                0.89767,                 4.3929,                0.99551,                 0.9772,                  17.98,                 1.0094,             0.00077802,             0.00077802,             0.00077802
                      7,                0.86787,                 4.1801,                0.93533,                 1.0046,                  17.26,                 0.9198,                0.55408,                0.38836,                0.41831,                0.31247,                0.88919,                 3.9442,                 1.0193,                0.98519,                 15.583,                0.98221,             0.00076428,             0.00076428,             0.00076428
                      8,                0.82916,                 3.5677,                0.92587,                0.95334,                 15.069,                0.92201,                0.62129,                0.48446,                0.48662,                0.35882,                0.87432,                 3.5848,                 1.0058,                0.96497,                 14.102,                0.99754,             0.00075053,             0.00075053,             0.00075053
                      9,                0.84794,                 3.3924,                0.92599,                0.97813,                 13.421,                0.91767,                0.70227,                0.44976,                0.49541,                0.36151,                0.91298,                 3.1837,                  1.005,                 0.9675,                 11.998,                0.98294,             0.00073679,             0.00073679,             0.00073679
                     10,                0.82392,                 2.9654,                0.92785,                0.95735,                 11.655,                0.92495,                  0.659,                0.49947,                0.51475,                0.37287,                0.86899,                 2.8609,                 1.0021,                 1.0202,                 10.827,                 1.0054,             0.00072304,             0.00072304,             0.00072304
