                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96387,                 10.356,                0.87408,                      0,                      0,                      0,                      0,                0.88233,                 8.0964,                0.86538,             0.00027364,             0.00027364,             0.00027364
                      2,                0.90618,                 8.1064,                0.87063,                0.24242,                0.02146,                0.13173,                0.11528,                0.86504,                 6.7548,                0.91349,             0.00054221,             0.00054221,             0.00054221
                      3,                0.87524,                 6.7264,                0.88891,                0.17233,                0.19685,                0.13745,                0.10665,                0.85983,                 6.0758,                0.92359,             0.00080162,             0.00080162,             0.00080162
                      4,                0.87454,                 5.8811,                0.88756,                 0.2886,                0.27152,                0.25913,                0.20919,                0.85919,                 5.5725,                0.93629,             0.00079177,             0.00079177,             0.00079177
                      5,                0.84072,                 5.3503,                0.88624,                0.33063,                0.45461,                0.39845,                 0.3138,                0.86775,                 5.0636,                0.95743,             0.00079177,             0.00079177,             0.00079177
                      6,                 0.8452,                 4.7697,                0.88561,                0.37541,                0.45572,                0.45127,                  0.372,                0.84513,                 4.6879,                0.93264,             0.00077802,             0.00077802,             0.00077802
                      7,                0.83238,                 4.1768,                0.89244,                 0.5852,                0.43401,                0.46334,                0.36686,                0.82522,                 4.2038,                0.91226,             0.00076428,             0.00076428,             0.00076428
                      8,                0.80699,                 3.5096,                0.88344,                0.59288,                0.49096,                0.57548,                0.44909,                0.86281,                  3.746,                0.94532,             0.00075053,             0.00075053,             0.00075053
                      9,                0.85367,                 3.3685,                0.90007,                0.60751,                0.52963,                0.59618,                0.47589,                0.83945,                 3.3572,                0.94125,             0.00073679,             0.00073679,             0.00073679
                     10,                0.80493,                 2.9662,                0.87956,                0.69628,                0.55884,                0.64752,                0.53474,                0.83552,                 2.8829,                0.93631,             0.00072304,             0.00072304,             0.00072304
                     11,                0.78921,                 2.5901,                0.87057,                0.65158,                0.61154,                0.67468,                0.55385,                0.84776,                 2.7158,                0.95319,              0.0007093,              0.0007093,              0.0007093
                     12,                 0.7842,                 2.2934,                0.87719,                0.58659,                0.61582,                0.65095,                 0.5339,                0.81302,                 2.5684,                0.93387,             0.00069556,             0.00069556,             0.00069556
                     13,                0.76031,                 1.9927,                0.86386,                 0.6238,                0.65166,                0.68728,                 0.5562,                0.80575,                 2.2609,                0.92486,             0.00068181,             0.00068181,             0.00068181
                     14,                0.75605,                 1.9307,                0.86633,                0.66603,                0.57741,                0.65244,                0.53545,                0.80608,                  2.257,                0.93907,             0.00066807,             0.00066807,             0.00066807
                     15,                0.75897,                 1.8373,                0.85527,                0.65475,                 0.6164,                0.66003,                0.53242,                0.81845,                  2.122,                0.94387,             0.00065432,             0.00065432,             0.00065432
                     16,                 0.7262,                 1.6864,                0.86461,                0.70882,                0.58643,                0.67103,                0.53936,                0.80579,                      2,                0.92855,             0.00064058,             0.00064058,             0.00064058
                     17,                0.75323,                 1.6033,                0.85971,                0.67137,                0.61767,                0.67348,                0.55237,                0.81008,                  2.004,                0.92665,             0.00062683,             0.00062683,             0.00062683
                     18,                0.71743,                 1.4913,                0.86244,                0.66676,                0.62388,                0.67804,                 0.5624,                0.80389,                 1.8375,                0.92969,             0.00061309,             0.00061309,             0.00061309
