                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93802,                 9.7663,                0.91111,                      0,                      0,                      0,                      0,                 0.8273,                  7.858,                0.85768,             0.00027364,             0.00027364,             0.00027364
                      2,                 0.9094,                 7.8089,                0.89956,                0.15756,                0.01422,                0.08588,                0.06349,                0.86935,                 6.7639,                0.89802,             0.00054449,             0.00054449,             0.00054449
                      3,                0.85683,                 6.5465,                0.89471,                0.15955,                 0.2769,                0.16729,                0.13367,                0.87854,                 5.7674,                0.91969,             0.00080846,             0.00080846,             0.00080846
                      4,                0.84121,                 5.5962,                0.90375,                0.32452,                0.32737,                0.30179,                0.23928,                 0.8451,                 5.2363,                0.91778,             0.00080207,             0.00080207,             0.00080207
                      5,                0.84533,                  5.226,                0.91734,                0.32603,                 0.2995,                0.31506,                0.24548,                0.87222,                 4.8189,                0.94917,             0.00080207,             0.00080207,             0.00080207
                      6,                 0.8194,                  4.789,                0.90437,                0.40799,                0.41603,                0.44579,                0.35902,                  0.886,                 4.2709,                0.95608,             0.00079177,             0.00079177,             0.00079177
                      7,                0.82382,                 4.0195,                0.91407,                0.50371,                 0.4461,                0.49515,                0.39624,                0.86458,                 3.8153,                0.97517,             0.00078146,             0.00078146,             0.00078146
                      8,                0.79812,                 3.4203,                 0.9095,                0.71779,                0.44574,                0.50287,                0.40518,                0.82908,                 3.4638,                0.94925,             0.00077115,             0.00077115,             0.00077115
                      9,                0.82408,                 3.2185,                0.92551,                0.59105,                0.47865,                0.53838,                0.44158,                0.84391,                 3.1361,                0.97004,             0.00076084,             0.00076084,             0.00076084
                     10,                 0.8011,                 2.8285,                0.91469,                0.61816,                0.50433,                0.57615,                0.46197,                0.84101,                 2.8111,                0.97647,             0.00075053,             0.00075053,             0.00075053
                     11,                0.76476,                 2.4764,                0.90404,                0.53652,                0.52817,                0.57435,                0.47487,                0.83594,                 2.7176,                 1.0082,             0.00074022,             0.00074022,             0.00074022
                     12,                0.78421,                 2.2386,                0.91092,                0.57995,                0.58676,                0.61664,                0.48964,                0.86774,                 2.5622,                 1.0058,             0.00072992,             0.00072992,             0.00072992
                     13,                0.75551,                 1.9552,                0.89089,                0.70677,                0.58529,                0.66507,                0.54268,                0.83594,                 2.3188,                0.99869,             0.00071961,             0.00071961,             0.00071961
