                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93743,                 9.7518,                0.91065,                      0,                      0,                      0,                      0,                0.84691,                 7.9414,                0.86742,             0.00027364,             0.00027364,             0.00027364
                      2,                0.89709,                 7.8445,                0.89807,                0.17134,                0.04846,                0.09902,                0.08309,                0.88497,                 6.5763,                0.91253,             0.00054221,             0.00054221,             0.00054221
                      3,                0.85282,                 6.5392,                0.90219,                 0.1495,                0.22075,                0.18873,                 0.1463,                0.82938,                 5.7013,                0.91681,             0.00080162,             0.00080162,             0.00080162
                      4,                0.84653,                 5.6224,                0.90334,                0.27173,                0.22391,                0.23676,                0.19005,                0.82882,                 5.1556,                0.92986,             0.00079177,             0.00079177,             0.00079177
                      5,                0.84113,                 5.1954,                0.92031,                0.45818,                0.33321,                0.40298,                0.31446,                0.87901,                 4.7425,                 0.9527,             0.00079177,             0.00079177,             0.00079177
                      6,                0.81979,                   4.79,                0.90908,                0.46488,                0.41308,                0.43989,                0.35326,                0.85618,                 4.2656,                0.94491,             0.00077802,             0.00077802,             0.00077802
                      7,                0.83037,                 4.0434,                0.92197,                0.47976,                0.42797,                0.46396,                0.37909,                0.83559,                 3.9519,                0.96135,             0.00076428,             0.00076428,             0.00076428
                      8,                0.80408,                 3.4209,                0.91742,                 0.5715,                0.47219,                0.53214,                0.43457,                0.85483,                 3.5635,                 0.9713,             0.00075053,             0.00075053,             0.00075053
                      9,                0.82245,                 3.2788,                0.92553,                0.52208,                0.54425,                0.57755,                0.47016,                0.83488,                 3.0211,                0.99816,             0.00073679,             0.00073679,             0.00073679
                     10,                0.78794,                  2.892,                0.91316,                0.54618,                0.52503,                0.56247,                0.45663,                0.83009,                  2.935,                0.97618,             0.00072304,             0.00072304,             0.00072304
                     11,                0.76722,                 2.5964,                 0.9043,                0.59584,                0.57943,                0.61435,                0.49879,                0.84716,                 2.7441,                0.99997,              0.0007093,              0.0007093,              0.0007093
                     12,                0.76701,                 2.2553,                0.90707,                0.60536,                 0.5915,                0.63672,                0.52225,                0.81782,                 2.4563,                0.99321,             0.00069556,             0.00069556,             0.00069556
                     13,                0.75443,                 1.9891,                0.89148,                0.60912,                 0.6072,                0.64182,                0.51863,                0.81018,                 2.2971,                0.99022,             0.00068181,             0.00068181,             0.00068181
                     14,                0.75683,                 1.9028,                0.90001,                0.64474,                0.62235,                0.66521,                0.54742,                0.79645,                 2.1788,                0.97285,             0.00066807,             0.00066807,             0.00066807
                     15,                0.75305,                 1.7804,                0.88586,                0.66586,                0.61368,                0.68079,                 0.5666,                0.81439,                 2.0959,                0.99257,             0.00065432,             0.00065432,             0.00065432
                     16,                0.72586,                 1.6495,                0.89947,                0.63448,                0.59033,                0.64518,                0.53934,                0.81909,                 2.0696,                 1.0037,             0.00064058,             0.00064058,             0.00064058
                     17,                0.75109,                  1.606,                0.89071,                0.61623,                0.59352,                0.64799,                0.52648,                0.83844,                  2.004,                0.99882,             0.00062683,             0.00062683,             0.00062683
                     18,                0.71685,                 1.4794,                0.88391,                 0.6722,                0.62162,                0.66226,                0.54633,                0.80807,                 1.8528,                0.99565,             0.00061309,             0.00061309,             0.00061309
                     19,                0.71994,                  1.406,                0.89133,                0.65026,                0.70594,                 0.7194,                0.57829,                0.80331,                 1.6142,                0.96237,             0.00059934,             0.00059934,             0.00059934
                     20,                0.74495,                 1.2751,                0.89145,                0.66675,                0.68843,                0.69406,                0.57234,                0.79267,                 1.5465,                0.96105,              0.0005856,              0.0005856,              0.0005856
                     21,                0.72116,                 1.1733,                  0.889,                0.65994,                0.69262,                0.70464,                0.57687,                 0.8026,                 1.4645,                0.99061,             0.00057185,             0.00057185,             0.00057185
                     22,                0.74592,                 1.1302,                 0.8888,                0.65181,                0.68029,                0.70794,                0.57034,                0.79603,                 1.4649,                0.97622,             0.00055811,             0.00055811,             0.00055811
                     23,                0.69382,                 1.0774,                0.87831,                0.68047,                0.61573,                0.66906,                0.55574,                0.81286,                 1.5594,                0.98206,             0.00054437,             0.00054437,             0.00054437
                     24,                 0.7023,                 1.0578,                0.87847,                0.71332,                0.61752,                0.68121,                0.55512,                0.83185,                  1.439,                 0.9842,             0.00053062,             0.00053062,             0.00053062
                     25,                0.69703,                 1.0057,                0.87619,                0.61239,                0.65467,                0.67706,                0.56224,                0.80098,                 1.4429,                0.97562,             0.00051688,             0.00051688,             0.00051688
                     26,                 0.6755,                 1.0064,                0.87643,                0.65855,                0.66564,                0.68886,                0.56859,                0.81747,                 1.3336,                0.99297,             0.00050313,             0.00050313,             0.00050313
                     27,                0.67104,                0.93675,                0.87105,                0.68605,                0.61046,                0.67037,                0.54937,                0.81709,                 1.3916,                0.99933,             0.00048939,             0.00048939,             0.00048939
                     28,                0.67365,                0.92953,                0.86731,                0.65623,                0.69284,                0.70551,                0.57211,                0.81967,                 1.3155,                0.99516,             0.00047564,             0.00047564,             0.00047564
                     29,                0.67267,                0.87655,                0.87926,                0.68244,                0.64248,                0.68638,                  0.582,                0.78556,                  1.243,                0.97523,              0.0004619,              0.0004619,              0.0004619
                     30,                0.64887,                0.84152,                0.87762,                0.73614,                0.62903,                 0.6972,                0.57924,                0.78084,                 1.1919,                0.96621,             0.00044815,             0.00044815,             0.00044815
                     31,                0.65956,                0.82679,                0.87231,                0.69075,                0.68128,                0.71092,                0.59836,                0.77565,                 1.1547,                0.97137,             0.00043441,             0.00043441,             0.00043441
                     32,                0.64119,                0.81525,                0.86246,                0.67513,                0.68337,                0.71129,                0.58022,                0.81889,                 1.1604,                 1.0023,             0.00042066,             0.00042066,             0.00042066
                     33,                 0.6431,                 0.8014,                0.84557,                0.69695,                0.70934,                0.72838,                0.59789,                0.81473,                 1.2085,                0.99238,             0.00040692,             0.00040692,             0.00040692
                     34,                0.64934,                0.78519,                0.85722,                0.68247,                0.68817,                0.73266,                0.60955,                0.78702,                  1.109,                0.97492,             0.00039318,             0.00039318,             0.00039318
                     35,                0.64811,                 0.7309,                0.85926,                0.66635,                0.73199,                0.74165,                0.61677,                 0.7884,                 1.0826,                0.98351,             0.00037943,             0.00037943,             0.00037943
                     36,                0.62699,                0.70644,                0.85033,                0.64484,                0.68584,                0.70087,                0.59144,                0.79296,                 1.1333,                0.98347,             0.00036569,             0.00036569,             0.00036569
                     37,                0.62154,                0.70845,                0.85148,                0.66814,                 0.6678,                0.70155,                0.58552,                0.80519,                 1.1129,                0.98274,             0.00035194,             0.00035194,             0.00035194
                     38,                0.63353,                0.69729,                0.85116,                0.67849,                0.71139,                0.72931,                0.60594,                 0.8069,                 1.0606,                0.98994,              0.0003382,              0.0003382,              0.0003382
                     39,                0.62901,                0.68474,                0.85435,                 0.7542,                0.63958,                0.72261,                0.60827,                0.79377,                 1.0714,                0.97963,             0.00032445,             0.00032445,             0.00032445
                     40,                0.61167,                0.65265,                0.84655,                0.67649,                0.69947,                0.70766,                0.58853,                0.79401,                 1.0619,                0.98483,             0.00031071,             0.00031071,             0.00031071
                     41,                0.65081,                0.68365,                0.86184,                 0.7004,                0.61475,                0.68955,                0.58006,                0.80758,                 1.1675,                 1.0022,             0.00029696,             0.00029696,             0.00029696
                     42,                0.61756,                0.65054,                0.85464,                0.74559,                0.62172,                0.71097,                0.58751,                0.81505,                 1.0913,                0.99979,             0.00028322,             0.00028322,             0.00028322
                     43,                0.61295,                0.62958,                0.86429,                0.65787,                0.63839,                0.68946,                0.57257,                0.79466,                 1.1315,                 0.9802,             0.00026948,             0.00026948,             0.00026948
                     44,                0.59153,                0.62145,                0.84253,                0.65787,                 0.6633,                0.70647,                 0.5896,                 0.7961,                 1.0729,                0.98275,             0.00025573,             0.00025573,             0.00025573
                     45,                0.59088,                 0.6237,                0.84691,                0.67331,                0.69635,                0.72096,                0.60022,                0.79936,                0.96483,                0.97665,             0.00024199,             0.00024199,             0.00024199
                     46,                0.60071,                0.59946,                0.84754,                0.71084,                0.62806,                 0.7023,                0.57722,                0.79605,                 1.0228,                0.97162,             0.00022824,             0.00022824,             0.00022824
                     47,                 0.5878,                0.60064,                 0.8444,                0.73051,                0.65723,                0.70935,                0.59519,                0.78996,                 0.9742,                0.98206,              0.0002145,              0.0002145,              0.0002145
                     48,                0.58719,                0.57801,                0.84314,                0.69912,                0.70167,                0.73624,                0.60991,                0.79232,                0.96197,                0.98025,             0.00020075,             0.00020075,             0.00020075
                     49,                 0.5953,                0.58742,                0.84774,                0.73324,                0.68705,                 0.7322,                0.60767,                0.78073,                0.96511,                 0.9669,             0.00018701,             0.00018701,             0.00018701
                     50,                0.56267,                0.56575,                0.83408,                0.69902,                0.68404,                0.71852,                0.59977,                0.78425,                0.96646,                0.96439,             0.00017326,             0.00017326,             0.00017326
                     51,                0.59045,                0.70195,                0.85769,                0.68227,                0.66609,                0.70225,                0.57611,                0.82249,                 1.0032,                0.98508,             0.00015952,             0.00015952,             0.00015952
                     52,                0.58324,                0.66151,                0.84883,                0.68104,                0.66154,                0.70399,                0.58478,                0.81227,                  0.987,                0.97205,             0.00014577,             0.00014577,             0.00014577
                     53,                0.57832,                0.64019,                0.84812,                0.70559,                0.65747,                0.71004,                0.58649,                0.79965,                0.94239,                0.97016,             0.00013203,             0.00013203,             0.00013203
                     54,                0.56894,                0.62801,                0.85062,                0.69849,                0.67902,                0.72357,                0.59825,                0.80696,                0.96002,                0.96845,             0.00011829,             0.00011829,             0.00011829
                     55,                0.56847,                0.63288,                0.84069,                0.67448,                0.67623,                 0.7146,                0.59153,                 0.7973,                0.97101,                0.96552,             0.00010454,             0.00010454,             0.00010454
                     56,                0.57233,                0.61093,                0.84393,                0.65157,                0.70069,                0.71987,                0.59455,                 0.8039,                0.95987,                0.96738,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     57,                0.56536,                0.60275,                0.84056,                0.66236,                0.69469,                0.72675,                0.60026,                0.79506,                0.93651,                0.96703,             7.7053e-05,             7.7053e-05,             7.7053e-05
                     58,                0.55023,                0.59798,                0.83298,                 0.6763,                0.68418,                0.72139,                0.60356,                0.79176,                0.93502,                0.96109,             6.3308e-05,             6.3308e-05,             6.3308e-05
                     59,                0.54709,                0.58845,                0.83547,                0.70057,                0.66334,                0.72039,                0.60397,                0.79758,                0.93267,                0.96558,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     60,                0.54093,                0.57759,                0.83384,                0.65684,                0.70131,                 0.7271,                0.60651,                0.80367,                0.90263,                0.96814,             3.5819e-05,             3.5819e-05,             3.5819e-05
