                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8611,                 22.823,                0.60931,                0.00199,                 0.1009,                0.00137,                0.00099,                0.67444,                 2.4906,                0.18925,             0.00027364,             0.00027364,             0.00027364
                      2,                 1.0056,                 1.3518,                0.33477,                 0.6237,                0.10491,                0.06856,                 0.0493,                0.73204,                  1.259,                0.31773,             0.00054449,             0.00054449,             0.00054449
                      3,                0.43546,                 1.3053,                0.06906,                0.19606,                0.19716,                0.05019,                0.03846,                0.40202,                 1.2506,                0.09516,             0.00080846,             0.00080846,             0.00080846
                      4,                0.38814,                 1.1387,                0.04379,                0.35641,                0.17311,                0.08479,                0.06412,                0.47363,                   1.09,                0.14907,             0.00080207,             0.00080207,             0.00080207
                      5,                0.33214,                 1.1655,                0.04391,                0.30739,                0.17244,                0.15872,                 0.1215,                0.27187,                 1.2846,                0.03886,             0.00080207,             0.00080207,             0.00080207
                      6,                0.33159,                 1.0379,                0.04207,                0.29447,                0.30045,                0.22024,                0.17897,                0.23508,                 1.0789,                0.02617,             0.00079177,             0.00079177,             0.00079177
                      7,                0.35121,                0.86947,                0.04103,                0.47811,                0.34024,                0.26504,                0.18049,                0.30325,                 1.0351,                0.03533,             0.00078146,             0.00078146,             0.00078146
                      8,                0.32527,                0.81705,                0.04262,                0.57322,                0.46587,                0.42067,                0.31857,                0.27866,                0.90035,                0.03312,             0.00077115,             0.00077115,             0.00077115
                      9,                0.32496,                0.72893,                 0.0411,                0.75421,                0.54455,                0.52968,                  0.406,                0.25697,                0.86793,                0.03128,             0.00076084,             0.00076084,             0.00076084
                     10,                0.29743,                 0.6867,                0.03308,                0.79142,                0.61965,                0.62605,                0.47825,                0.25727,                0.79597,                0.03333,             0.00075053,             0.00075053,             0.00075053
                     11,                0.28843,                0.61374,                0.03254,                0.84969,                0.65257,                0.67433,                0.52615,                0.27295,                 0.7248,                0.03764,             0.00074022,             0.00074022,             0.00074022
                     12,                 0.3169,                 0.6165,                0.03864,                0.85006,                0.63344,                0.65333,                0.51662,                0.25378,                0.70494,                0.03456,             0.00072992,             0.00072992,             0.00072992
                     13,                 0.3104,                0.61379,                 0.0312,                0.86042,                0.65219,                0.68157,                0.53821,                0.25461,                0.68208,                0.03064,             0.00071961,             0.00071961,             0.00071961
                     14,                0.30653,                0.54522,                0.03634,                0.78553,                0.63258,                0.64494,                0.51684,                0.24591,                0.70504,                0.03146,              0.0007093,              0.0007093,              0.0007093
                     15,                0.37736,                 0.5579,                0.04567,                0.76801,                0.64354,                0.65091,                0.51119,                0.29338,                0.69892,                0.04257,             0.00069899,             0.00069899,             0.00069899
                     16,                0.37164,                0.56363,                0.05592,                0.87461,                0.54919,                0.59253,                0.47618,                0.25923,                0.74804,                0.03283,             0.00068868,             0.00068868,             0.00068868
                     17,                0.34221,                0.59573,                0.04204,                0.81601,                0.67213,                  0.664,                0.51559,                0.28223,                0.68591,                0.04207,             0.00067837,             0.00067837,             0.00067837
                     18,                0.31287,                0.54517,                0.03943,                 0.8662,                0.70438,                0.72052,                0.56531,                 0.2603,                0.63235,                0.03271,             0.00066807,             0.00066807,             0.00066807
                     19,                0.32434,                0.54129,                0.04353,                0.83631,                 0.6626,                0.68541,                0.54342,                0.24833,                0.68543,                0.03074,             0.00065776,             0.00065776,             0.00065776
                     20,                0.29066,                0.56523,                0.03245,                0.67757,                0.63233,                0.66534,                0.51542,                 0.2807,                0.90083,                0.03929,             0.00064745,             0.00064745,             0.00064745
                     21,                0.30422,                0.57739,                0.03459,                0.89771,                0.66547,                0.69614,                0.54657,                0.27728,                0.65661,                0.03512,             0.00063714,             0.00063714,             0.00063714
                     22,                 0.3232,                0.59814,                0.04504,                0.86019,                 0.6679,                 0.6698,                0.53471,                0.25779,                0.78459,                0.03457,             0.00062683,             0.00062683,             0.00062683
                     23,                0.26764,                0.50331,                0.02946,                0.90112,                 0.6898,                0.71129,                0.56372,                0.26414,                0.63275,                0.03285,             0.00061652,             0.00061652,             0.00061652
                     24,                0.29524,                0.50584,                0.03956,                0.86844,                0.61199,                0.63487,                0.51536,                0.26141,                0.69968,                0.03064,             0.00060622,             0.00060622,             0.00060622
                     25,                0.28606,                0.47499,                0.03308,                0.89156,                0.64543,                0.67818,                0.54788,                0.25176,                0.73225,                0.03303,             0.00059591,             0.00059591,             0.00059591
                     26,                0.28433,                0.47457,                0.03582,                0.87457,                0.67033,                 0.6708,                0.52578,                0.24114,                 0.6874,                0.02671,              0.0005856,              0.0005856,              0.0005856
                     27,                0.28307,                0.43106,                0.03251,                0.87691,                0.69006,                0.70902,                0.56207,                0.24828,                0.63056,                0.03119,             0.00057529,             0.00057529,             0.00057529
                     28,                0.28181,                0.44003,                0.03043,                0.86793,                0.68163,                0.69591,                0.56052,                  0.241,                0.66492,                0.02686,             0.00056498,             0.00056498,             0.00056498
