                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98876,                 6.7902,                0.97082,                0.90134,                 23.991,                0.90042,                0.08085,                0.32304,                0.11265,                0.08578,                0.96175,                 3.8525,                 1.0047,                0.94189,                 12.726,                0.95569,             0.00027638,             0.00027638,             0.00027638
                      2,                 1.1026,                 4.3065,                 0.9911,                 1.0344,                 9.4642,                0.90534,                0.21685,                0.32687,                0.12642,                0.09045,                0.98806,                 3.1961,                0.97862,                 1.0613,                 7.8317,                0.98143,             0.00054947,             0.00054947,             0.00054947
                      3,                 1.2016,                 4.1021,                 1.0386,                 1.0547,                 6.0214,                0.93685,                0.45126,                0.13961,                0.13773,                 0.0799,                 1.5567,                 3.5114,                 1.1549,                 1.3492,                 5.1945,                 1.1288,             0.00081799,             0.00081799,             0.00081799
                      4,                  1.179,                 3.3377,                 1.0573,                 1.0988,                 4.3364,                 1.0077,                0.14166,                0.29485,                0.17507,                0.13372,                 1.0474,                 2.5911,                 1.0323,                 1.0501,                 3.8037,                 1.0394,             0.00081238,             0.00081238,             0.00081238
                      5,                 1.2749,                 3.6376,                 1.1166,                   1.14,                 3.9848,                0.99969,                0.21049,                0.23335,                0.15343,                0.10062,                 1.2088,                 62.476,                 1.0941,                 1.1159,                 7.9982,                 1.0525,             0.00081238,             0.00081238,             0.00081238
                      6,                 1.1601,                 2.8674,                 1.0842,                 1.0546,                 2.9759,                0.97587,                0.24967,                0.29676,                0.18177,                0.12624,                  1.091,                 2.3747,                 1.0458,                 1.0658,                 3.1303,                 1.0223,             0.00080551,             0.00080551,             0.00080551
                      7,                 1.2322,                 2.4282,                 1.0846,                 1.2178,                 2.4871,                  1.039,                0.45949,                0.34505,                0.25724,                0.19305,                0.96341,                 1.8654,                0.97534,                 1.0393,                 2.2715,                 1.0007,             0.00079864,             0.00079864,             0.00079864
                      8,                 1.1134,                 2.0801,                  1.038,                 1.0908,                 2.1423,                  0.972,                0.42661,                0.31617,                0.29505,                0.20714,                 1.0903,                 1.9798,                 1.0064,                 1.0352,                 2.1421,                0.96495,             0.00079177,             0.00079177,             0.00079177
                      9,                 1.0976,                 1.7638,                 1.0636,                 1.0604,                 1.8501,                 1.0274,                0.31657,                0.38489,                0.34621,                0.25868,                 1.0317,                  1.776,                 1.0128,                 1.0918,                 1.9375,                 1.0281,             0.00078489,             0.00078489,             0.00078489
                     10,                 1.1313,                 1.8896,                 1.0519,                 1.0599,                 1.9503,                0.96822,                0.31993,                0.38431,                0.30007,                0.21389,                 1.0609,                  1.934,                 1.0161,                 1.1736,                 2.1293,                 1.0374,             0.00077802,             0.00077802,             0.00077802
                     11,                 1.1058,                 1.7273,                 1.0525,                 1.0584,                 1.7607,                0.98684,                0.30706,                 0.3218,                0.34172,                0.26328,                0.94434,                 1.7026,                 1.0189,                  0.994,                 1.8761,                 1.0146,             0.00077115,             0.00077115,             0.00077115
                     12,                 1.0221,                 1.4653,                 1.0077,                 1.0087,                 1.5857,                0.95914,                 0.2311,                0.38187,                0.30038,                0.22314,                0.95249,                 1.7165,                 1.0125,                 1.0203,                 1.9707,                 1.0294,             0.00076428,             0.00076428,             0.00076428
                     13,                 1.0271,                 1.4935,                0.97894,                 1.0031,                 1.5118,                0.95303,                0.42072,                 0.3798,                0.36901,                0.26072,                 1.0032,                 1.6581,                 1.0445,                 1.1374,                 1.8748,                 1.0913,             0.00075741,             0.00075741,             0.00075741
                     14,                 1.0282,                  1.493,                 0.9804,                0.99617,                 1.4394,                0.93478,                0.41557,                0.47108,                0.37216,                0.28302,                0.88809,                 1.5435,                0.98634,                 0.9873,                  1.685,                 1.0091,             0.00075053,             0.00075053,             0.00075053
                     15,                0.98448,                 1.3968,                 0.9663,                0.97256,                 1.3666,                0.92987,                0.44783,                0.38197,                0.37425,                0.26881,                 1.0266,                  1.515,                  1.005,                 1.0589,                 1.6799,                 1.0354,             0.00074366,             0.00074366,             0.00074366
                     16,                 1.0388,                 1.3751,                0.97021,                 1.0054,                 1.2513,                0.92722,                0.41369,                0.43852,                0.45874,                0.34755,                 1.0494,                 1.3797,                 1.0039,                 1.0143,                  1.461,                 1.0047,             0.00073679,             0.00073679,             0.00073679
                     17,                0.99697,                 1.3158,                0.99029,                0.95299,                  1.222,                0.94929,                0.59664,                0.45052,                 0.4725,                0.36433,                0.94908,                 1.4316,                0.99165,                 1.0037,                 1.5775,                 1.0173,             0.00072992,             0.00072992,             0.00072992
                     18,                0.97111,                 1.2345,                0.98538,                0.94558,                 1.1396,                0.93398,                0.68651,                0.41953,                0.49337,                0.37263,                0.91794,                 1.4159,                0.99112,                0.96615,                 1.4678,                0.98339,             0.00072304,             0.00072304,             0.00072304
                     19,                 0.9665,                 1.2259,                0.99476,                0.92064,                 1.1591,                0.92492,                0.43875,                 0.4761,                0.50445,                0.38681,                 1.0056,                 1.3632,                0.99779,                 1.0407,                 1.3807,                0.99059,             0.00071617,             0.00071617,             0.00071617
                     20,                0.92682,                 1.0639,                0.94055,                0.90208,                 1.0191,                0.89759,                  0.482,                0.49349,                0.49997,                0.37272,                0.90071,                 1.2165,                0.96302,                0.99483,                 1.3104,                0.97662,              0.0007093,              0.0007093,              0.0007093
                     21,                0.95601,                 1.1087,                0.97908,                0.92315,                 1.0883,                 0.9262,                0.68641,                0.46584,                0.55302,                0.39777,                0.90072,                 1.1825,                0.98491,                 1.0353,                 1.2597,                0.99525,             0.00070243,             0.00070243,             0.00070243
                     22,                0.89435,                 1.0065,                0.92425,                0.92474,                0.98484,                0.88972,                0.76427,                0.50778,                0.52686,                0.40021,                0.94345,                 1.2341,                 1.0008,                 1.0145,                 1.2988,                0.99699,             0.00069556,             0.00069556,             0.00069556
                     23,                0.88952,                0.91405,                0.92049,                0.89982,                0.86547,                0.89947,                0.81435,                0.42875,                0.51328,                0.39964,                0.91392,                 1.1613,                0.99898,                0.92875,                  1.321,                0.98518,             0.00068868,             0.00068868,             0.00068868
                     24,                0.92955,                0.91778,                0.93651,                0.91096,                0.84805,                0.90252,                0.72003,                0.52734,                0.49351,                0.37757,                0.97051,                  1.217,                 1.0308,                 1.0116,                 1.2265,                 1.0286,             0.00068181,             0.00068181,             0.00068181
                     25,                0.91406,                0.99224,                 0.9521,                0.89098,                   0.87,                0.90482,                0.62433,                0.47886,                 0.5316,                0.39852,                0.99694,                 1.0331,                 1.0244,                 1.0431,                 1.0526,                 1.0243,             0.00067494,             0.00067494,             0.00067494
                     26,                0.85949,                 1.1628,                0.94357,                 0.8691,                0.92348,                0.91548,                0.64143,                  0.419,                0.52457,                0.40024,                0.91263,                 1.2994,                 0.9869,                0.98402,                 1.2988,                0.98655,             0.00066807,             0.00066807,             0.00066807
                     27,                0.92247,                 1.0016,                0.95976,                0.90167,                 0.8402,                0.91873,                0.77549,                0.52196,                0.54635,                0.42517,                  0.922,                 1.0807,                0.98502,                0.94093,                 1.1366,                0.99986,             0.00066119,             0.00066119,             0.00066119
                     28,                0.88824,                0.94608,                0.91599,                0.86979,                0.82525,                0.87626,                0.75064,                0.53576,                0.55259,                0.40714,                 1.0086,                 1.0828,                 1.0119,                 1.0826,                 1.0775,                 1.0155,             0.00065432,             0.00065432,             0.00065432
                     29,                0.87694,                0.93526,                0.95137,                0.87781,                0.80316,                0.90543,                0.84199,                0.50397,                0.61795,                0.48487,                0.88832,                 1.1347,                 0.9841,                0.94904,                  1.079,                0.99545,             0.00064745,             0.00064745,             0.00064745
                     30,                0.91228,                0.95036,                0.93588,                0.90657,                0.88726,                0.89855,                0.74309,                0.56354,                0.60324,                0.45672,                0.89999,                 1.1226,                0.97455,                0.95261,                 1.1693,                0.99215,             0.00064058,             0.00064058,             0.00064058
                     31,                0.88238,                0.97413,                0.93537,                0.88439,                  0.811,                0.90352,                0.77865,                0.56076,                0.59548,                0.46067,                0.86217,                 1.0959,                0.97916,                0.88666,                 1.1183,                0.97827,              0.0006337,              0.0006337,              0.0006337
                     32,                0.86531,                0.90153,                0.91959,                 0.8538,                0.78185,                0.89449,                0.71793,                0.57074,                0.56129,                0.43347,                0.90474,                  1.221,                  0.969,                0.93613,                 1.1773,                0.98536,             0.00062683,             0.00062683,             0.00062683
