                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96272,                 5.2093,                0.90632,                0.15625,                0.03625,                0.08453,                0.06958,                0.92879,                 3.4983,                0.92827,             0.00027638,             0.00027638,             0.00027638
                      2,                 1.0577,                 3.3431,                0.98537,                0.18333,                0.04068,                0.10994,                0.09311,                0.97077,                   2.58,                 0.9414,             0.00054947,             0.00054947,             0.00054947
                      3,                0.94949,                 2.8811,                0.94037,                0.11458,                 0.0625,                0.09068,                0.05999,                0.96696,                 2.3812,                 1.0016,             0.00081799,             0.00081799,             0.00081799
                      4,                0.96416,                 2.8049,                0.96654,                0.11458,                 0.0625,                0.09068,                0.05999,                0.90527,                 2.0851,                0.95855,             0.00081238,             0.00081238,             0.00081238
                      5,                 1.1167,                 2.5455,                 1.0005,                0.46006,                0.22582,                0.32471,                0.25027,                 1.1251,                 2.1133,                 1.0377,             0.00081238,             0.00081238,             0.00081238
                      6,                0.98372,                  2.013,                0.94279,                0.34524,                0.13778,                0.24073,                0.19859,                0.94388,                 1.9212,                 0.9883,             0.00080551,             0.00080551,             0.00080551
                      7,                 1.0289,                 1.8184,                   0.97,                0.38619,                0.09176,                0.17893,                0.15225,                0.99996,                 1.6205,                 1.0219,             0.00079864,             0.00079864,             0.00079864
                      8,                 0.9846,                 1.6613,                0.98246,                0.47019,                0.17963,                 0.3201,                 0.2422,                0.99856,                 1.6389,                 1.0051,             0.00079177,             0.00079177,             0.00079177
                      9,                0.96286,                  1.499,                0.99232,                0.46429,                0.22183,                0.34166,                0.27492,                0.88891,                  1.573,                0.97593,             0.00078489,             0.00078489,             0.00078489
                     10,                0.91864,                 1.4539,                0.94441,                0.41875,                0.21423,                0.31792,                0.25516,                0.92328,                 1.4844,                  1.006,             0.00077802,             0.00077802,             0.00077802
                     11,                0.89221,                 1.2985,                0.94563,                 0.4375,                0.17275,                0.30902,                0.24339,                0.98347,                 1.3561,                0.99404,             0.00077115,             0.00077115,             0.00077115
                     12,                0.94862,                 1.1505,                0.94769,                0.61111,                0.35057,                0.49401,                0.38596,                0.98171,                 1.3181,                0.97802,             0.00076428,             0.00076428,             0.00076428
                     13,                0.89529,                 1.1889,                0.90728,                0.53333,                0.26074,                0.40251,                 0.3306,                0.92543,                 1.3025,                 0.9547,             0.00075741,             0.00075741,             0.00075741
                     14,                0.88362,                 1.1437,                0.91712,                0.50938,                0.33282,                0.42971,                0.33468,                0.88807,                 1.1958,                0.94451,             0.00075053,             0.00075053,             0.00075053
                     15,                0.86259,                 1.0604,                0.91418,                0.58333,                0.26603,                0.42728,                0.33664,                0.90189,                 1.2348,                 0.9545,             0.00074366,             0.00074366,             0.00074366
                     16,                0.92003,                 1.0918,                0.92041,                0.61086,                0.23923,                0.43371,                0.34746,                0.93326,                 1.3095,                0.98849,             0.00073679,             0.00073679,             0.00073679
                     17,                0.89637,                 1.0146,                0.94448,                0.55437,                0.27084,                0.40806,                0.34461,                0.88356,                 1.2766,                0.97066,             0.00072992,             0.00072992,             0.00072992
                     18,                0.84814,                0.96646,                 0.9242,                0.64236,                0.44066,                 0.5466,                0.45987,                0.83853,                  1.095,                0.95356,             0.00072304,             0.00072304,             0.00072304
                     19,                0.82973,                0.96674,                0.92667,                0.64732,                0.28161,                0.45742,                0.37562,                0.88872,                 1.3708,                0.96012,             0.00071617,             0.00071617,             0.00071617
                     20,                0.85011,                0.90416,                0.90972,                0.53788,                0.31782,                0.41769,                0.32282,                0.88384,                 1.2476,                0.96229,              0.0007093,              0.0007093,              0.0007093
                     21,                0.84132,                0.93719,                0.92108,                 0.5119,                0.32382,                0.41559,                0.34452,                0.89607,                 1.1758,                0.98837,             0.00070243,             0.00070243,             0.00070243
                     22,                0.81638,                0.85225,                0.87619,                0.60755,                 0.3743,                0.48157,                0.39316,                0.88754,                 1.2697,                0.98741,             0.00069556,             0.00069556,             0.00069556
                     23,                0.79975,                0.80002,                0.87412,                0.61384,                0.37799,                0.48121,                 0.4052,                0.85482,                 1.1946,                 0.9608,             0.00068868,             0.00068868,             0.00068868
