                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98876,                 6.7902,                0.97082,                0.90134,                 23.991,                0.90042,                0.08085,                0.32304,                0.11265,                0.08578,                0.96175,                 3.8525,                 1.0047,                0.94189,                 12.726,                0.95569,             0.00027638,             0.00027638,             0.00027638
                      2,                 1.0906,                 4.2748,                0.99052,                 1.0466,                 9.4479,                 0.9125,                0.23683,                0.33025,                0.14184,                0.09927,                0.98285,                 3.1116,                0.98605,                 1.0683,                 8.0074,                      1,             0.00055039,             0.00055039,             0.00055039
                      3,                 1.1104,                 3.5327,                  1.006,                 1.0166,                 5.6296,                0.92528,                0.37432,                0.26315,                0.17545,                0.13095,                  1.093,                 2.9282,                  1.082,                 1.0396,                 4.5084,                 1.0752,             0.00082073,             0.00082073,             0.00082073
                      4,                 1.1608,                 3.5589,                 1.0452,                 1.0603,                 4.5755,                0.98512,                0.51393,                0.21784,                 0.1518,                0.10509,                 1.1203,                 3.2673,                 1.0163,                 1.1554,                 4.4113,                 1.0765,             0.00081651,             0.00081651,             0.00081651
                      5,                 1.3435,                 3.5747,                 1.1231,                 1.2155,                 3.8744,                 1.0089,                0.63665,                0.16881,                0.11744,                0.08095,                 1.0747,                 2.9006,                 1.0495,                 1.0691,                 3.7181,                 1.0385,             0.00081651,             0.00081651,             0.00081651
                      6,                 1.1089,                 2.5657,                 1.0186,                 1.0714,                 2.8503,                0.95711,                0.40344,                0.32448,                0.21986,                0.14947,                 1.0019,                 2.0405,                0.98953,                  1.056,                 2.7248,                0.98388,             0.00081101,             0.00081101,             0.00081101
                      7,                 1.1225,                 2.4145,                 1.0279,                 1.0501,                 2.4834,                0.93997,                0.19851,                0.04054,                0.05972,                0.04089,                 2.7911,                 541.65,                 1.9235,                 2.5377,                 1684.9,                  1.787,             0.00080551,             0.00080551,             0.00080551
                      8,                 1.0805,                 2.2031,                 1.0476,                 1.0467,                 2.3026,                0.98039,                0.17263,                 0.3316,                0.12548,                0.09271,                 1.1983,                 28.086,                 1.0781,                  1.224,                 172.27,                 1.1049,             0.00080001,             0.00080001,             0.00080001
                      9,                 1.1078,                 1.9046,                  1.078,                 1.1031,                 2.2793,                 1.0355,                0.48275,                0.27728,                0.21299,                 0.1587,                 1.3006,                 2.8349,                 1.2008,                 1.4541,                 4.3287,                 1.2247,             0.00079452,             0.00079452,             0.00079452
                     10,                  1.136,                 1.7441,                 1.0424,                 1.0412,                 1.9521,                 0.9676,                0.59451,                0.33237,                0.25196,                0.17118,                0.97454,                  1.843,                0.99757,                 1.1652,                 2.2112,                 1.0552,             0.00078902,             0.00078902,             0.00078902
                     11,                  1.026,                 1.6903,                 1.0186,                 1.0733,                 1.8011,                 0.9802,                0.61802,                0.37655,                 0.3032,                0.20827,                0.97807,                 1.6946,                0.98996,                 1.0907,                 2.2458,                 1.0348,             0.00078352,             0.00078352,             0.00078352
                     12,                0.96161,                 1.5029,                0.96787,                0.99604,                 1.6188,                0.94873,                0.49302,                0.39776,                0.28234,                0.20572,                0.88231,                 1.5643,                 0.9693,                0.97297,                 1.9505,                0.99789,             0.00077802,             0.00077802,             0.00077802
                     13,                 1.0071,                 1.5044,                0.96554,                0.97052,                 1.5215,                0.91667,                0.50756,                0.44386,                0.38169,                0.24279,                0.94445,                 1.6699,                 1.0096,                0.93795,                 1.8356,                 1.0056,             0.00077252,             0.00077252,             0.00077252
                     14,                0.98602,                 1.4666,                0.97088,                0.96209,                 1.5435,                0.92476,                0.62633,                 0.4373,                0.45975,                0.31667,                 1.0438,                 1.4239,                 1.0304,                 1.1017,                 1.6147,                 1.0518,             0.00076703,             0.00076703,             0.00076703
                     15,                 1.0122,                 1.4428,                 0.9629,                 1.0147,                 1.4064,                0.94161,                0.41667,                0.29649,                0.27277,                0.19231,                 1.3041,                 1.9663,                 1.1563,                  1.423,                  2.828,                 1.2511,             0.00076153,             0.00076153,             0.00076153
                     16,                 1.0033,                 1.3172,                0.95043,                 1.0102,                 1.3902,                0.92158,                0.63515,                0.41967,                0.44211,                0.31841,                 1.0727,                 1.4364,                 1.0394,                 1.1259,                 1.8417,                 1.0275,             0.00075603,             0.00075603,             0.00075603
                     17,                0.97628,                 1.2788,                0.97623,                0.97976,                 1.3307,                0.94291,                0.43874,                0.45199,                0.40938,                0.29572,                0.97934,                 1.3777,                 1.0287,                 1.0541,                   1.66,                 1.0307,             0.00075053,             0.00075053,             0.00075053
                     18,                 1.0174,                 1.3667,                0.99098,                0.97055,                 1.3126,                0.95949,                0.53921,                0.38462,                0.41051,                 0.3166,                0.92377,                 1.2585,                0.99297,                0.99351,                 1.5059,                0.98207,             0.00074504,             0.00074504,             0.00074504
                     19,                0.99726,                 1.2435,                 1.0013,                0.99397,                 1.1961,                0.95985,                0.53172,                 0.5108,                0.47326,                0.36081,                 0.9529,                 1.2623,                 1.0345,                 1.0161,                 1.4402,                 1.0115,             0.00073954,             0.00073954,             0.00073954
                     20,                0.93507,                 1.1128,                0.94517,                 0.9879,                 1.0569,                0.93237,                0.60674,                0.48184,                 0.4687,                0.34119,                 1.2098,                 1.6881,                  1.177,                 1.2618,                 1.8204,                 1.1142,             0.00073404,             0.00073404,             0.00073404
                     21,                0.98406,                 1.1894,                0.97863,                0.97332,                 1.1409,                 0.9355,                0.59261,                0.45428,                0.47926,                 0.3715,                0.90052,                 1.2326,                0.99121,                0.97693,                 1.3678,                0.99584,             0.00072854,             0.00072854,             0.00072854
                     22,                0.91791,                 1.0284,                0.92197,                0.88912,                 1.0319,                0.89669,                0.68415,                0.43516,                0.48279,                0.36857,                0.95756,                   1.23,                 1.0101,                0.98129,                 1.2772,                 1.0028,             0.00072304,             0.00072304,             0.00072304
                     23,                0.89954,                0.98894,                0.92022,                0.89706,                0.89772,                0.89548,                0.67173,                0.45741,                0.52392,                0.40605,                0.92249,                 1.0567,                 1.0018,                 1.0381,                  1.317,                 1.0484,             0.00071755,             0.00071755,             0.00071755
                     24,                 0.8897,                 1.0967,                0.92918,                0.91771,                 1.0819,                0.91535,                0.59845,                 0.5386,                0.51042,                0.39329,                 0.9062,                 1.2232,                0.98626,                0.94555,                 1.2471,                 1.0029,             0.00071205,             0.00071205,             0.00071205
                     25,                0.92302,                 1.0366,                0.94509,                0.87979,                0.93633,                0.89407,                0.83174,                 0.5246,                0.56172,                0.43394,                0.92256,                 1.1037,                 0.9822,                 0.9475,                 1.2194,                  1.007,             0.00070655,             0.00070655,             0.00070655
                     26,                0.89249,                 1.0942,                0.96895,                0.86101,                 1.0552,                0.91164,                0.80574,                0.41608,                0.52744,                0.41241,                0.86844,                 1.1176,                0.98559,                0.92927,                 1.2158,                 1.0061,             0.00070105,             0.00070105,             0.00070105
                     27,                0.95126,                 1.0588,                0.95822,                0.93536,                 1.0478,                0.91838,                0.75347,                0.50873,                 0.5374,                0.42276,                0.89456,                 1.1956,                0.98818,                0.93928,                 1.1716,                0.97519,             0.00069556,             0.00069556,             0.00069556
                     28,                0.88016,                0.97606,                0.91278,                0.82422,                0.89519,                0.86791,                0.71169,                0.58657,                0.54905,                0.42253,                 0.9312,                 1.0356,                0.97681,                0.98457,                 1.1122,                 1.0024,             0.00069006,             0.00069006,             0.00069006
                     29,                0.89045,                0.92657,                0.93828,                0.88497,                0.85956,                0.90911,                0.77637,                0.50813,                0.54707,                0.41995,                0.93907,                 0.9889,                0.98374,                 1.0138,                 1.1856,                 1.0275,             0.00068456,             0.00068456,             0.00068456
                     30,                 0.8978,                0.90177,                0.93869,                 0.8823,                 0.9602,                0.90974,                0.84051,                0.50019,                0.56327,                0.45056,                0.89434,                 1.0931,                  0.992,                0.94804,                 1.1364,                0.99764,             0.00067906,             0.00067906,             0.00067906
                     31,                0.89999,                0.97155,                0.95362,                0.90514,                0.97445,                0.92108,                 0.8602,                0.53024,                0.58283,                0.45858,                0.88165,                 1.0956,                0.98055,                0.92263,                 1.0309,                 0.9653,             0.00067356,             0.00067356,             0.00067356
                     32,                0.88353,                 0.8674,                0.93199,                0.88408,                0.80225,                0.90439,                0.80607,                0.54058,                0.54561,                0.41472,                0.89974,                  1.087,                0.97737,                0.94944,                 1.1821,                0.97988,             0.00066807,             0.00066807,             0.00066807
                     33,                0.81053,                0.81772,                0.90097,                0.80255,                0.78387,                0.87438,                 0.8502,                0.52804,                0.54616,                0.43366,                 0.8412,                 1.0959,                0.95018,                0.89257,                 1.1009,                0.97884,             0.00066257,             0.00066257,             0.00066257
                     34,                0.85347,                0.88908,                0.91878,                0.86103,                0.82354,                0.90214,                0.64551,                0.54256,                0.55035,                0.42711,                0.94676,                 1.0366,                0.97374,                0.99627,                 1.1179,                 0.9978,             0.00065707,             0.00065707,             0.00065707
                     35,                0.84802,                0.80637,                0.89754,                0.85375,                0.73972,                0.87404,                0.82935,                 0.5301,                0.56837,                0.42856,                 0.9005,                 1.0119,                0.95622,                0.98864,                 1.0684,                0.97615,             0.00065157,             0.00065157,             0.00065157
                     36,                0.86154,                0.78498,                 0.9092,                0.86333,                0.73203,                0.88688,                0.80883,                 0.5636,                0.55628,                0.43003,                0.88441,                0.97897,                0.97524,                0.95725,                 1.0159,                0.99789,             0.00064607,             0.00064607,             0.00064607
                     37,                0.81564,                0.86548,                0.88772,                0.80655,                0.75122,                0.86652,                 0.8155,                0.53416,                0.55717,                0.42078,                0.90547,                  1.026,                0.94839,                 1.0216,                0.97046,                0.98805,             0.00064058,             0.00064058,             0.00064058
                     38,                0.83699,                0.87913,                0.90466,                0.84423,                0.67279,                0.86389,                0.65342,                0.54991,                0.56921,                0.42761,                0.91064,                0.96328,                 0.9828,                 1.0738,                 1.0061,                 1.0294,             0.00063508,             0.00063508,             0.00063508
                     39,                0.77442,                 0.8794,                0.91789,                0.81871,                0.75112,                 0.8925,                0.80673,                0.59148,                0.57866,                0.44239,                0.91408,                  1.086,                 1.0125,                 1.0117,                 1.0188,                 1.0449,             0.00062958,             0.00062958,             0.00062958
                     40,                 0.7989,                0.83895,                 0.9081,                0.79893,                0.84114,                0.88849,                0.72552,                0.45918,                0.54725,                0.41587,                0.90031,                 1.0991,                0.97076,                 1.0005,                  1.163,                0.99361,             0.00062408,             0.00062408,             0.00062408
                     41,                 0.8059,                0.80987,                0.90149,                0.85785,                0.87682,                0.88209,                0.79466,                0.54804,                0.56804,                0.44602,                0.88705,                 1.0193,                0.97786,                0.95454,                 1.0328,                0.98514,             0.00061859,             0.00061859,             0.00061859
                     42,                0.80939,                 0.7903,                0.88247,                0.76415,                0.76917,                0.84824,                0.66664,                0.56498,                0.58542,                0.45851,                0.88552,                0.97893,                0.97832,                0.94071,                0.96773,                0.98389,             0.00061309,             0.00061309,             0.00061309
                     43,                0.79802,                0.73375,                0.87322,                0.79167,                0.67881,                0.84335,                0.83885,                0.57509,                0.60386,                0.47818,                0.88027,                0.93402,                0.97568,                0.96407,                0.90965,                 1.0031,             0.00060759,             0.00060759,             0.00060759
                     44,                0.81336,                0.77945,                0.87034,                0.78794,                0.66141,                0.82882,                0.75568,                 0.5664,                0.57007,                 0.4599,                0.86118,                0.99931,                 0.9713,                0.90375,                 1.0675,                 0.9946,             0.00060209,             0.00060209,             0.00060209
                     45,                0.74756,                 0.7064,                0.89053,                0.77248,                0.68958,                0.87121,                0.70352,                0.53352,                 0.5682,                 0.4575,                0.82737,                0.92435,                0.94332,                0.91495,                0.97224,                 0.9841,             0.00059659,             0.00059659,             0.00059659
                     46,                0.73998,                0.70608,                0.88253,                0.70324,                0.61116,                0.85003,                0.83255,                0.51273,                0.55957,                0.44893,                 0.7821,                0.99022,                0.91998,                0.87335,                 1.0101,                0.94649,              0.0005911,              0.0005911,              0.0005911
                     47,                0.71712,                0.67995,                 0.8732,                0.72644,                0.62614,                0.84871,                0.73628,                0.55721,                0.56612,                0.45103,                0.84224,                  1.023,                0.94094,                0.89748,                0.99831,                0.94702,              0.0005856,              0.0005856,              0.0005856
                     48,                0.71491,                 0.6784,                0.86843,                0.70247,                0.60613,                0.83682,                0.73596,                0.55513,                0.57055,                0.46053,                0.81024,                  1.012,                0.92879,                0.83832,                 1.0344,                0.93731,              0.0005801,              0.0005801,              0.0005801
                     49,                0.78668,                0.84274,                0.86573,                0.75575,                0.73306,                0.83975,                0.62191,                0.58912,                0.56116,                0.43607,                0.80197,                 1.0134,                0.94354,                0.91185,                 1.0641,                0.95444,              0.0005746,              0.0005746,              0.0005746
                     50,                 0.7226,                0.66769,                0.85882,                0.76807,                0.61578,                0.83836,                0.70275,                0.51483,                0.56625,                0.44608,                0.85173,                0.90306,                0.95552,                0.94429,                0.87753,                 0.9703,             0.00056911,             0.00056911,             0.00056911
                     51,                0.73526,                0.68478,                0.87599,                0.75473,                0.64333,                0.85821,                0.83386,                0.52598,                0.60491,                0.47773,                0.84854,                0.92958,                0.96632,                0.89967,                0.96293,                 0.9685,             0.00056361,             0.00056361,             0.00056361
                     52,                0.77714,                0.71752,                0.86286,                0.78684,                0.63608,                  0.848,                0.73178,                0.46259,                 0.5862,                0.46668,                0.84923,                0.88531,                0.94614,                0.86761,                 1.0748,                0.94967,             0.00055811,             0.00055811,             0.00055811
                     53,                0.71051,                0.63208,                0.84589,                0.68922,                0.57083,                0.82252,                0.66511,                0.55191,                0.58732,                0.47446,                0.80843,                0.92379,                0.94216,                0.83787,                0.94252,                0.94999,             0.00055261,             0.00055261,             0.00055261
                     54,                0.72364,                0.64602,                0.86756,                0.74293,                0.62108,                0.84985,                 0.6526,                0.53987,                0.58978,                0.47574,                0.82373,                0.93264,                0.94353,                0.88849,                 1.0163,                0.95775,             0.00054711,             0.00054711,             0.00054711
                     55,                0.69961,                0.61716,                0.85291,                0.69292,                0.52628,                0.82407,                0.66002,                0.54023,                0.58578,                  0.472,                0.81373,                0.89496,                0.93878,                0.87222,                 0.9719,                0.97027,             0.00054162,             0.00054162,             0.00054162
                     56,                0.72394,                0.66095,                0.86826,                0.72703,                0.60536,                0.84904,                0.67437,                0.54547,                0.60079,                0.48322,                0.82798,                 1.0116,                0.94872,                0.88926,                 0.9818,                 0.9829,             0.00053612,             0.00053612,             0.00053612
                     57,                0.70966,                0.63724,                0.86397,                0.70503,                0.57031,                0.84506,                 0.8339,                0.50277,                0.55777,                0.44156,                0.81517,                 1.0599,                0.93106,                0.88495,                 1.0853,                0.97121,             0.00053062,             0.00053062,             0.00053062
