                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96272,                 5.2093,                0.90632,                0.12864,                0.14252,                0.09861,                0.08461,                0.92879,                 3.4983,                0.92827,             0.00027638,             0.00027638,             0.00027638
                      2,                 1.0573,                 3.3284,                0.98705,                0.18458,                0.20588,                0.17051,                0.12724,                0.96003,                 2.5327,                0.93678,             0.00055039,             0.00055039,             0.00055039
                      3,                0.96396,                 3.0042,                0.93986,                0.34785,                0.14344,                0.20918,                0.13362,                 1.0661,                  2.789,                 1.0082,             0.00082073,             0.00082073,             0.00082073
                      4,                 1.0574,                 3.0248,                0.96333,                0.27386,                0.21242,                0.24201,                0.19334,                 1.0307,                 2.4724,                0.97093,             0.00081651,             0.00081651,             0.00081651
                      5,                 1.1474,                 3.0381,                 1.0063,                0.25112,                0.21685,                0.20673,                0.16282,                0.97378,                  2.557,                 1.0005,             0.00081651,             0.00081651,             0.00081651
                      6,                 1.0354,                 2.5464,                0.99905,                0.48212,                0.21157,                0.33417,                0.26966,                 0.8696,                 2.0399,                0.96908,             0.00081101,             0.00081101,             0.00081101
                      7,                 1.0555,                 1.9599,                 0.9989,                0.34275,                0.47506,                0.40796,                0.33239,                0.94121,                 1.7184,                 0.9974,             0.00080551,             0.00080551,             0.00080551
                      8,                0.95373,                 1.8646,                0.99121,                0.42573,                0.32312,                0.39309,                0.32468,                 0.8789,                 1.5998,                0.98183,             0.00080001,             0.00080001,             0.00080001
                      9,                0.93844,                 1.5224,                0.99924,                0.53498,                0.36107,                 0.3771,                0.29802,                 0.9175,                 1.6662,                0.96674,             0.00079452,             0.00079452,             0.00079452
                     10,                0.93456,                 1.4771,                0.94648,                0.45747,                0.45195,                0.45246,                0.35261,                 0.9635,                 1.4439,                 1.0009,             0.00078902,             0.00078902,             0.00078902
                     11,                0.94024,                 1.4261,                0.97503,                0.49097,                0.44807,                0.44663,                0.34986,                 1.0269,                 1.6074,                 1.0543,             0.00078352,             0.00078352,             0.00078352
                     12,                0.93888,                 1.2712,                0.94006,                0.50167,                0.46668,                0.47906,                0.37569,                0.97452,                 1.3463,                  1.006,             0.00077802,             0.00077802,             0.00077802
                     13,                0.91263,                  1.175,                0.93569,                0.48635,                0.52726,                0.53456,                0.42755,                0.92127,                 1.3578,                0.99087,             0.00077252,             0.00077252,             0.00077252
