                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.119,                 8.4824,                0.89194,                0.09375,                0.08543,                0.06302,                0.04816,                0.99365,                 6.9463,                0.86104,             0.00027638,             0.00027638,             0.00027638
                      2,                 1.0795,                 7.2914,                0.89171,                0.21851,                 0.1525,                0.13643,                0.11437,                0.97036,                 5.8536,                0.89792,              0.0005449,              0.0005449,              0.0005449
                      3,                 1.0176,                 6.7929,                0.87531,                0.19466,                0.06437,                0.11159,                0.08477,                 1.0323,                 5.3797,                0.91041,             0.00080426,             0.00080426,             0.00080426
                      4,                  1.104,                 6.2077,                0.90148,                0.12603,                0.14576,                0.12731,                0.09373,                 1.0895,                 5.1883,                0.92356,             0.00079177,             0.00079177,             0.00079177
                      5,                 1.1046,                 6.3061,                0.90724,                0.11142,                0.11159,                 0.0824,                0.05655,                 1.0306,                 4.9233,                0.89503,             0.00079177,             0.00079177,             0.00079177
                      6,                0.97203,                 5.6997,                0.86562,                0.10623,                0.23594,                0.10491,                0.08236,                0.93967,                 4.4762,                0.89241,             0.00077802,             0.00077802,             0.00077802
                      7,                 1.0343,                 5.3335,                0.88669,                 0.1654,                0.12798,                0.12134,                0.10433,                0.91742,                 4.2933,                0.91804,             0.00076428,             0.00076428,             0.00076428
                      8,                0.92063,                 5.0803,                0.86269,                0.14089,                0.24681,                0.12859,                 0.1064,                0.91034,                 4.2625,                 0.8798,             0.00075053,             0.00075053,             0.00075053
                      9,                0.91862,                 4.3184,                0.88059,                0.11815,                0.23321,                0.13248,                0.10811,                0.83255,                 4.1407,                0.88213,             0.00073679,             0.00073679,             0.00073679
                     10,                 0.8978,                  4.555,                0.86867,                0.10162,                0.11943,                0.08347,                0.06532,                0.85637,                 3.8826,                0.89079,             0.00072304,             0.00072304,             0.00072304
                     11,                0.88709,                 4.2827,                0.87155,                0.15152,                0.09807,                0.10728,                0.09268,                0.86283,                 3.7571,                0.89527,              0.0007093,              0.0007093,              0.0007093
                     12,                0.90039,                 4.0004,                0.85244,                0.23763,                0.20015,                0.18817,                0.15733,                0.86843,                  3.606,                0.88159,             0.00069556,             0.00069556,             0.00069556
                     13,                0.85577,                 4.2055,                0.84266,                0.24771,                0.12219,                0.17291,                0.15028,                0.87608,                 3.5504,                0.89795,             0.00068181,             0.00068181,             0.00068181
                     14,                0.88377,                 4.1185,                0.86211,                0.24664,                0.29993,                0.20732,                 0.1749,                0.80907,                  3.544,                0.89539,             0.00066807,             0.00066807,             0.00066807
                     15,                0.84352,                 3.7873,                0.85793,                0.21478,                 0.2211,                0.18759,                0.15409,                0.85294,                 3.4459,                0.89044,             0.00065432,             0.00065432,             0.00065432
                     16,                0.84054,                 3.6341,                0.84726,                0.20114,                 0.2005,                0.16121,                0.14207,                0.81664,                 3.3516,                0.88639,             0.00064058,             0.00064058,             0.00064058
                     17,                0.80079,                 3.6503,                0.85267,                0.28127,                0.26031,                0.22371,                0.19375,                0.81848,                   3.35,                0.88561,             0.00062683,             0.00062683,             0.00062683
                     18,                0.82387,                 3.6731,                0.85459,                0.24701,                0.30865,                0.26658,                0.22417,                0.89615,                 3.3319,                0.89133,             0.00061309,             0.00061309,             0.00061309
                     19,                0.80695,                 3.3904,                0.85548,                0.29749,                0.28508,                0.25226,                0.21321,                0.81648,                 3.1247,                0.89349,             0.00059934,             0.00059934,             0.00059934
                     20,                0.79745,                  3.262,                0.84168,                0.32518,                0.34882,                0.29304,                0.23529,                 0.8347,                 2.9405,                0.89798,              0.0005856,              0.0005856,              0.0005856
                     21,                0.82277,                 3.1965,                0.84075,                0.37859,                0.38397,                0.35503,                0.29217,                0.82012,                 2.9083,                0.89428,             0.00057185,             0.00057185,             0.00057185
                     22,                0.78548,                 3.1776,                0.83761,                0.32812,                0.41137,                0.34878,                0.29086,                0.81582,                 2.8712,                0.90091,             0.00055811,             0.00055811,             0.00055811
                     23,                0.76177,                 3.0937,                 0.8294,                0.43531,                0.34652,                0.37168,                0.30724,                0.80443,                 2.9456,                0.88447,             0.00054437,             0.00054437,             0.00054437
                     24,                0.77676,                 2.7335,                0.84793,                0.33294,                0.47407,                0.36594,                 0.3025,                0.80915,                 2.7848,                0.88409,             0.00053062,             0.00053062,             0.00053062
                     25,                0.76875,                 2.6992,                0.86007,                 0.3363,                0.34997,                0.33876,                0.29092,                0.80859,                 3.0016,                0.88511,             0.00051688,             0.00051688,             0.00051688
                     26,                0.75433,                  2.634,                0.84246,                0.46373,                0.39928,                0.42625,                0.36081,                0.78281,                 2.7252,                0.88467,             0.00050313,             0.00050313,             0.00050313
                     27,                0.80877,                 2.7044,                0.86609,                0.41656,                0.44076,                0.43101,                0.36371,                0.81124,                 2.6656,                0.88224,             0.00048939,             0.00048939,             0.00048939
                     28,                0.75993,                 2.6804,                0.82883,                0.48358,                0.41345,                0.47104,                0.38517,                0.88243,                 2.6327,                0.89847,             0.00047564,             0.00047564,             0.00047564
                     29,                0.73822,                 2.4952,                0.83611,                 0.4541,                0.46044,                0.48189,                0.39984,                0.84029,                 2.4639,                 0.8976,              0.0004619,              0.0004619,              0.0004619
                     30,                0.82074,                 2.3412,                0.84235,                0.53566,                 0.4104,                0.46506,                0.38653,                0.84817,                 2.4213,                 0.9083,             0.00044815,             0.00044815,             0.00044815
                     31,                 0.7641,                 2.2635,                0.84733,                0.51311,                0.50031,                0.50132,                0.41255,                0.83021,                 2.3204,                0.90178,             0.00043441,             0.00043441,             0.00043441
                     32,                0.73804,                 2.2458,                 0.8342,                0.46868,                0.51501,                 0.4997,                0.42362,                0.80798,                 2.2664,                  0.893,             0.00042066,             0.00042066,             0.00042066
                     33,                0.68853,                 2.1078,                0.82216,                0.44315,                0.53043,                0.48201,                0.40876,                0.77701,                 2.3672,                0.89743,             0.00040692,             0.00040692,             0.00040692
                     34,                0.74273,                 2.2472,                0.82626,                 0.4735,                0.45554,                0.47897,                0.41016,                0.77457,                 2.2456,                0.89091,             0.00039318,             0.00039318,             0.00039318
                     35,                0.71847,                 2.0819,                0.83107,                0.49751,                0.42742,                0.49321,                0.41844,                0.78407,                 2.2738,                0.89249,             0.00037943,             0.00037943,             0.00037943
                     36,                0.70748,                 1.9946,                   0.83,                0.58833,                 0.3974,                0.52507,                0.45459,                0.75992,                 2.1376,                0.88919,             0.00036569,             0.00036569,             0.00036569
                     37,                0.68676,                 2.0596,                0.82126,                 0.5176,                0.41626,                0.48467,                0.40753,                0.76879,                  2.169,                0.87954,             0.00035194,             0.00035194,             0.00035194
                     38,                0.69171,                 1.9874,                0.81783,                0.49811,                0.47996,                0.46618,                0.38618,                 0.7926,                 2.2173,                0.86869,              0.0003382,              0.0003382,              0.0003382
                     39,                0.68651,                 1.8699,                0.81776,                0.56043,                0.39706,                0.47709,                 0.4004,                0.79148,                 2.1433,                 0.8802,             0.00032445,             0.00032445,             0.00032445
                     40,                0.68355,                 1.8023,                 0.8314,                0.52468,                0.41068,                0.49226,                0.42314,                 0.7556,                 2.1742,                0.87945,             0.00031071,             0.00031071,             0.00031071
                     41,                0.65472,                 1.8138,                 0.8121,                0.52972,                0.44984,                0.48749,                0.41678,                0.74066,                 2.1556,                0.87337,             0.00029696,             0.00029696,             0.00029696
                     42,                0.68051,                 1.7988,                0.81567,                0.49485,                0.47143,                0.49875,                 0.4236,                0.76624,                 2.0605,                0.87107,             0.00028322,             0.00028322,             0.00028322
                     43,                0.67035,                 1.7875,                0.81272,                0.53933,                0.44733,                0.50294,                0.43593,                0.73322,                 2.0944,                0.86546,             0.00026948,             0.00026948,             0.00026948
                     44,                  0.687,                 1.8504,                0.80259,                0.54373,                 0.4457,                0.49296,                0.42567,                0.74415,                 2.2168,                0.86103,             0.00025573,             0.00025573,             0.00025573
                     45,                0.63935,                 1.5471,                  0.831,                0.57613,                0.47935,                0.52651,                0.44943,                0.75188,                 1.9657,                0.86537,             0.00024199,             0.00024199,             0.00024199
                     46,                0.62461,                 1.7276,                0.82254,                0.56139,                0.42795,                0.48434,                0.40831,                0.77972,                 2.1623,                 0.8722,             0.00022824,             0.00022824,             0.00022824
                     47,                0.62272,                 1.5777,                0.82487,                0.55952,                0.41404,                0.48573,                0.41688,                0.74255,                 2.0876,                0.87102,              0.0002145,              0.0002145,              0.0002145
                     48,                0.60776,                  1.604,                0.80094,                0.52779,                0.46355,                 0.4858,                0.41405,                0.74277,                 1.8978,                0.86602,             0.00020075,             0.00020075,             0.00020075
                     49,                0.65431,                 1.6861,                0.80562,                0.54279,                0.43187,                0.49162,                0.41398,                0.75643,                 1.9161,                0.87332,             0.00018701,             0.00018701,             0.00018701
                     50,                0.59221,                 1.5096,                0.80982,                0.53191,                0.44869,                0.48927,                0.42922,                0.72364,                 1.9752,                0.87554,             0.00017326,             0.00017326,             0.00017326
                     51,                0.60759,                 1.5989,                0.82309,                0.51344,                0.46876,                0.48608,                0.42313,                0.72913,                 2.1514,                0.87987,             0.00015952,             0.00015952,             0.00015952
                     52,                0.58706,                 1.5361,                0.81704,                0.47256,                0.56258,                0.51137,                0.44775,                0.73756,                 1.9808,                0.87435,             0.00014577,             0.00014577,             0.00014577
                     53,                  0.555,                 1.4653,                0.81308,                0.55454,                0.44195,                0.50504,                0.43614,                0.72923,                 1.8942,                0.87198,             0.00013203,             0.00013203,             0.00013203
                     54,                0.53939,                 1.4251,                0.80744,                0.45692,                0.55694,                0.51608,                0.44732,                0.71797,                 1.9052,                0.87261,             0.00011829,             0.00011829,             0.00011829
                     55,                0.51737,                 1.4054,                0.80564,                0.53336,                0.50932,                0.51652,                0.44504,                0.72766,                 1.9761,                0.87344,             0.00010454,             0.00010454,             0.00010454
                     56,                0.49419,                  1.408,                0.80422,                0.53294,                0.50548,                 0.5168,                0.44727,                0.72792,                 2.0096,                0.87795,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     57,                0.47327,                 1.3477,                0.80306,                0.49315,                0.50701,                0.50131,                0.43098,                0.73712,                 1.9971,                0.87639,             7.7053e-05,             7.7053e-05,             7.7053e-05
                     58,                0.46402,                 1.3022,                0.80003,                0.54715,                0.44058,                0.49909,                0.43302,                0.73667,                 1.9772,                0.87981,             6.3308e-05,             6.3308e-05,             6.3308e-05
                     59,                 0.4417,                 1.3021,                0.79725,                0.48534,                0.48715,                 0.4963,                0.43199,                0.73744,                 1.9761,                0.87977,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     60,                0.45087,                 1.2798,                0.79776,                0.47403,                0.49169,                0.49931,                 0.4309,                0.74084,                 2.0037,                0.88088,             3.5819e-05,             3.5819e-05,             3.5819e-05
