                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6639,                 52.957,                0.58783,                      0,                      0,                      0,                      0,                 2.2552,                 15.097,                0.91228,             0.00027638,             0.00027638,             0.00027638
                      2,                 1.1409,                 5.5175,                0.35125,                0.00101,                0.18523,                0.00176,                0.00085,                0.33397,                  2.581,                0.07548,              0.0005449,              0.0005449,              0.0005449
                      3,                0.55319,                  1.927,                0.11663,                0.00083,                0.19886,                0.00667,                0.00443,                 0.3148,                 2.2228,                0.04984,             0.00080426,             0.00080426,             0.00080426
                      4,                0.69015,                  1.719,                0.21988,                0.12599,                0.11364,                0.00378,                0.00262,                0.38843,                 1.9156,                 0.0491,             0.00079177,             0.00079177,             0.00079177
                      5,                0.58873,                  2.025,                0.15596,                0.12511,                  0.125,                0.00128,                0.00082,                0.28371,                 2.1169,                0.04132,             0.00079177,             0.00079177,             0.00079177
                      6,                0.34863,                 1.9908,                0.06706,                  9e-05,                  0.125,                0.00198,                0.00152,                  0.213,                 2.4387,                0.02858,             0.00077802,             0.00077802,             0.00077802
                      7,                0.31644,                 2.0045,                0.05214,                0.12709,                0.12864,                0.00531,                0.00386,                0.23877,                 2.3567,                0.04067,             0.00076428,             0.00076428,             0.00076428
                      8,                0.25615,                 2.1564,                0.03923,                0.00171,                0.11364,                0.01172,                0.00879,                0.24309,                 2.1566,                0.05608,             0.00075053,             0.00075053,             0.00075053
                      9,                0.29274,                 1.8852,                0.04457,                0.40286,                   0.11,                0.05831,                0.04122,                0.31299,                 1.6041,                 0.0438,             0.00073679,             0.00073679,             0.00073679
                     10,                0.40742,                 1.2564,                 0.0758,                0.41276,                  0.105,                0.09138,                0.05217,                0.32965,                 1.2792,                0.05074,             0.00072304,             0.00072304,             0.00072304
                     11,                 0.3265,                 1.3675,                0.05448,                 0.3136,                0.15483,                0.06234,                0.04674,                0.25975,                  1.302,                0.03772,              0.0007093,              0.0007093,              0.0007093
                     12,                 0.2974,                 1.2666,                0.04307,                0.39963,                0.09091,                0.05348,                0.04145,                0.28224,                 1.3537,                0.03694,             0.00069556,             0.00069556,             0.00069556
                     13,                0.28128,                 1.1981,                0.04777,                0.17198,                0.12145,                0.03861,                0.02863,                0.29331,                 1.4614,                 0.0513,             0.00068181,             0.00068181,             0.00068181
                     14,                0.28304,                 1.3029,                0.05214,                0.40182,                0.18382,                0.11906,                0.09092,                0.26757,                 1.2829,                0.04917,             0.00066807,             0.00066807,             0.00066807
                     15,                0.23418,                 1.3571,                0.03351,                0.48233,                0.12281,                0.07446,                0.06083,                0.23796,                 1.3086,                0.03709,             0.00065432,             0.00065432,             0.00065432
                     16,                0.26584,                 1.2372,                0.03725,                 0.3304,                0.19594,                0.14674,                0.10692,                0.25257,                 1.2435,                0.04266,             0.00064058,             0.00064058,             0.00064058
                     17,                0.26695,                  1.096,                0.03955,                0.11009,                0.22159,                0.12717,                0.10129,                0.24641,                 1.1969,                0.03723,             0.00062683,             0.00062683,             0.00062683
                     18,                 0.2804,                 1.1077,                0.04568,                0.08059,                0.16832,                0.09746,                0.07889,                0.24472,                 1.1893,                0.03682,             0.00061309,             0.00061309,             0.00061309
                     19,                0.28914,                  1.039,                0.05395,                 0.1288,                0.23934,                0.14845,                0.11661,                0.25839,                 1.1494,                0.04314,             0.00059934,             0.00059934,             0.00059934
                     20,                0.24675,                 1.0164,                0.03735,                0.12581,                 0.2642,                0.13838,                0.10732,                 0.2612,                 1.1623,                0.04196,              0.0005856,              0.0005856,              0.0005856
                     21,                0.28009,                 1.0009,                0.04041,                0.26737,                0.22088,                0.17267,                0.13337,                0.26495,                 1.0857,                0.04034,             0.00057185,             0.00057185,             0.00057185
                     22,                0.26937,                0.91603,                 0.0475,                0.25473,                0.27986,                0.24612,                 0.1916,                 0.2548,                 1.0436,                0.03858,             0.00055811,             0.00055811,             0.00055811
                     23,                0.24262,                0.94789,                0.03688,                0.21724,                0.31915,                0.19253,                0.15488,                 0.2362,                 1.0824,                0.03913,             0.00054437,             0.00054437,             0.00054437
                     24,                0.24594,                0.88141,                 0.0399,                0.36313,                 0.4412,                0.37897,                0.28567,                0.24835,                 1.1298,                0.03626,             0.00053062,             0.00053062,             0.00053062
                     25,                0.23626,                0.84396,                 0.0315,                0.36503,                0.32716,                0.28919,                0.22556,                 0.2348,                 1.0111,                0.03656,             0.00051688,             0.00051688,             0.00051688
                     26,                0.21424,                0.81235,                0.03096,                0.63509,                0.39347,                 0.4152,                0.31502,                0.25315,                 1.0228,                0.03636,             0.00050313,             0.00050313,             0.00050313
                     27,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00048939,             0.00048939,             0.00048939
                     28,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00047564,             0.00047564,             0.00047564
                     29,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,              0.0004619,              0.0004619,              0.0004619
                     30,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00044815,             0.00044815,             0.00044815
                     31,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00043441,             0.00043441,             0.00043441
                     32,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00042066,             0.00042066,             0.00042066
                     33,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00040692,             0.00040692,             0.00040692
                     34,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00039318,             0.00039318,             0.00039318
                     35,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00037943,             0.00037943,             0.00037943
                     36,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00036569,             0.00036569,             0.00036569
                     37,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00035194,             0.00035194,             0.00035194
                     38,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,              0.0003382,              0.0003382,              0.0003382
                     39,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00032445,             0.00032445,             0.00032445
                     40,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00031071,             0.00031071,             0.00031071
                     41,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00029696,             0.00029696,             0.00029696
                     42,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00028322,             0.00028322,             0.00028322
                     43,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00026948,             0.00026948,             0.00026948
                     44,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00025573,             0.00025573,             0.00025573
                     45,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00024199,             0.00024199,             0.00024199
                     46,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00022824,             0.00022824,             0.00022824
                     47,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,              0.0002145,              0.0002145,              0.0002145
                     48,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00020075,             0.00020075,             0.00020075
                     49,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00018701,             0.00018701,             0.00018701
                     50,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00017326,             0.00017326,             0.00017326
                     51,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00015952,             0.00015952,             0.00015952
                     52,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00014577,             0.00014577,             0.00014577
                     53,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00013203,             0.00013203,             0.00013203
                     54,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00011829,             0.00011829,             0.00011829
                     55,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             0.00010454,             0.00010454,             0.00010454
                     56,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     57,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             7.7053e-05,             7.7053e-05,             7.7053e-05
                     58,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             6.3308e-05,             6.3308e-05,             6.3308e-05
                     59,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     60,                    nan,                    nan,                    nan,                0.63509,                0.39347,                 0.4152,                0.31502,                    nan,                    nan,                    nan,             3.5819e-05,             3.5819e-05,             3.5819e-05
