                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0827,                 14.408,                0.99195,                0.98698,                 53.459,                0.85061,                0.78574,                 0.0406,                0.10794,                0.07897,                 1.0538,                 11.216,                 1.0436,                 1.0136,                  46.16,                0.90882,             0.00027638,             0.00027638,             0.00027638
                      2,                  1.109,                 13.422,                 1.0287,                0.94429,                  48.55,                0.88218,                0.67918,                0.11722,                0.09831,                 0.0646,                 1.1006,                 10.923,                 1.0196,                 1.0358,                 43.066,                0.95712,             0.00054719,             0.00054719,             0.00054719
                      3,                 1.1011,                 14.124,                0.99362,                0.95709,                 47.743,                0.86984,                0.47166,                0.13763,                 0.0969,                0.06879,                 1.1222,                 10.548,                 1.0583,                 1.0769,                 41.908,                0.97935,             0.00081112,             0.00081112,             0.00081112
                      4,                 1.0702,                 12.794,                 1.0233,                0.97785,                 43.993,                0.93905,                0.47372,                0.17224,                0.13806,                 0.0973,                 1.0312,                 9.8236,                 1.0495,                 1.0005,                 39.425,                0.99811,             0.00080207,             0.00080207,             0.00080207
                      5,                 1.2115,                  13.47,                 1.0844,                 1.0191,                 44.502,                0.97533,                0.62423,                 0.1296,                0.13267,                0.09632,                 1.0474,                 9.9979,                 1.0465,                0.96346,                 37.305,                 1.0301,             0.00080207,             0.00080207,             0.00080207
                      6,                 1.0386,                 13.439,                0.97586,                0.90891,                 41.018,                 0.9056,                0.51697,                0.19763,                0.12233,                0.09027,                 1.0921,                  9.308,                 1.0541,                 1.0282,                 35.987,                 1.0075,             0.00079177,             0.00079177,             0.00079177
                      7,                 1.0756,                 11.858,                 1.0238,                0.92905,                 38.076,                0.92807,                0.52448,                0.21082,                0.12744,                0.09205,                0.96938,                 8.6148,                 1.0518,                 1.0389,                 33.555,                0.98427,             0.00078146,             0.00078146,             0.00078146
                      8,                 1.0122,                 11.644,                 1.0084,                0.89017,                 37.638,                0.88654,                0.60501,                0.19027,                0.15137,                 0.1146,                  1.036,                 7.9055,                 1.0663,                0.95984,                 31.987,                0.98427,             0.00077115,             0.00077115,             0.00077115
                      9,                 1.0129,                 9.2623,                  1.026,                0.96089,                 33.887,                0.95504,                0.59755,                0.28216,                 0.1806,                0.12954,                 1.0024,                 7.6625,                 1.0119,                 1.1242,                 31.013,                 1.0164,             0.00076084,             0.00076084,             0.00076084
                     10,                 1.0153,                 9.7619,                 1.0545,                0.95406,                 34.152,                0.96099,                0.60267,                0.21432,                0.16543,                0.12128,                0.95338,                 7.3294,                 1.0448,                 1.0054,                 28.631,                 1.0772,             0.00075053,             0.00075053,             0.00075053
