                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89706,                 13.874,                0.76524,                      0,                      0,                      0,                      0,                0.87462,                 9.6373,                0.85553,             3.7759e-05,             3.7759e-05,             3.7759e-05
                      2,                0.85525,                 13.701,                0.73068,                      0,                      0,                      0,                      0,                0.85134,                 9.6714,                0.83975,             6.8259e-05,             6.8259e-05,             6.8259e-05
                      3,                0.84539,                 13.906,                0.73072,                      0,                      0,                      0,                      0,                0.85202,                 9.6604,                0.84002,             9.1235e-05,             9.1235e-05,             9.1235e-05
                      4,                0.87412,                 14.141,                0.73146,                0.13978,                0.02269,                0.08192,                0.06756,                0.85931,                 9.6872,                0.83556,             8.0142e-05,             8.0142e-05,             8.0142e-05
                      5,                0.85913,                 13.964,                0.71904,                0.12413,                0.16754,                0.10835,                 0.0884,                0.85935,                 9.5271,                0.83709,             8.0142e-05,             8.0142e-05,             8.0142e-05
                      6,                 0.8586,                 13.497,                0.72934,                0.12653,                0.19372,                 0.1186,                0.09674,                0.84438,                 9.2592,                0.83797,             6.8856e-05,             6.8856e-05,             6.8856e-05
                      7,                0.82576,                 13.114,                 0.7204,                0.12796,                0.20768,                 0.1215,                0.09924,                0.83841,                  8.845,                 0.8378,              5.757e-05,              5.757e-05,              5.757e-05
                      8,                  0.802,                 12.509,                0.71686,                0.13167,                0.13787,                0.11047,                0.09369,                0.82572,                 8.4088,                0.84133,             4.6284e-05,             4.6284e-05,             4.6284e-05
                      9,                0.80036,                 12.021,                0.72511,                0.15741,                0.11867,                0.12201,                 0.1054,                 0.8184,                 8.2223,                0.84162,             3.4998e-05,             3.4998e-05,             3.4998e-05
                     10,                0.78473,                 11.654,                0.71599,                0.18234,                0.11169,                 0.1313,                0.11122,                0.81421,                 8.0185,                0.84298,             2.3712e-05,             2.3712e-05,             2.3712e-05
