                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72159,                 24.571,                0.70991,                0.68684,                 96.979,                0.66016,                0.21915,                0.14433,                0.10095,                0.08307,                0.86748,                 6.8026,                0.90901,                0.81055,                 36.356,                0.85753,             0.00041403,             0.00041403,             0.00041403
                      2,                 0.8203,                 8.4435,                0.77508,                 0.6838,                 34.696,                0.70942,                0.38058,                0.04936,                0.07312,                0.05934,                 1.0542,                 11.402,                 1.0004,                0.94073,                 20.219,                0.92701,             0.00078958,             0.00078958,             0.00078958
                      3,                 1.0886,                 7.5742,                0.88989,                0.84798,                 17.181,                0.78487,                0.48784,                0.12777,                0.13734,                0.10674,                 1.0711,                 5.7435,                  0.999,                0.89247,                 15.488,                0.94543,              0.0011239,              0.0011239,              0.0011239
                      4,                 1.1871,                 5.9596,                0.86196,                  0.925,                  11.02,                0.75001,                0.57513,                0.22039,                0.18372,                0.13315,                 1.1577,                 4.4957,                0.99946,                 1.0375,                 9.5322,                0.95317,              0.0010644,              0.0010644,              0.0010644
                      5,                  1.061,                 4.1622,                0.83945,                0.85953,                 6.7699,                0.74769,                0.53492,                0.20598,                0.17231,                0.12482,                 1.2252,                 3.5254,                 1.0018,                 1.0616,                 7.3024,                0.95998,              0.0010644,              0.0010644,              0.0010644
                      6,                0.92765,                 2.7925,                0.80958,                0.81449,                 4.8288,                0.73335,                0.26058,                 0.2383,                0.20646,                0.15246,                 1.1038,                 2.6633,                0.98606,                0.99477,                 4.3185,                0.94867,              0.0010025,              0.0010025,              0.0010025
                      7,                0.97013,                 2.4202,                0.85569,                0.81651,                 3.7566,                0.78024,                0.30743,                0.24434,                0.23259,                0.16992,                 1.2801,                 2.7382,                 1.1259,                 1.1196,                 3.7821,                 1.0595,             0.00094062,             0.00094062,             0.00094062
                      8,                0.98866,                 2.3654,                0.81886,                  0.854,                 3.6341,                0.75523,                0.28021,                0.34829,                0.23521,                0.16685,                 1.1367,                 2.5462,                  1.077,                 1.1598,                    5.3,                 1.0352,             0.00087875,             0.00087875,             0.00087875
                      9,                0.83946,                 1.8202,                0.77284,                0.75929,                  2.392,                0.71725,                0.30816,                0.32512,                0.26582,                0.19939,                 1.0866,                 2.4239,                 1.0618,                 1.0516,                 3.3425,                 1.0296,             0.00081688,             0.00081688,             0.00081688
                     10,                0.92302,                 1.8699,                0.85908,                0.89348,                 2.2339,                0.81111,                0.28483,                0.44639,                 0.2737,                0.20459,                 1.0297,                 2.1003,                 1.0439,                 1.0857,                 2.9943,                 1.0241,               0.000755,               0.000755,               0.000755
                     11,                0.81445,                 1.6133,                0.78644,                 0.7534,                   2.37,                 0.6754,                0.20416,                0.32006,                0.15162,                0.11141,                 1.1251,                 2.4255,                 1.0851,                 1.0836,                 4.1295,                 1.0366,             0.00069313,             0.00069313,             0.00069313
                     12,                0.76324,                 1.5447,                0.75805,                0.72957,                 1.7469,                0.66957,                  0.251,                0.35825,                0.28391,                0.20859,                 1.0023,                 2.0069,                  1.055,                 1.1162,                 2.5064,                 1.0852,             0.00063125,             0.00063125,             0.00063125
                     13,                0.70493,                 1.2952,                0.73665,                0.64588,                 1.6108,                0.65869,                0.33451,                0.37786,                0.30517,                0.23282,                0.98007,                 2.0482,                 1.0392,                 1.0315,                 2.5234,                 0.9982,             0.00056938,             0.00056938,             0.00056938
                     14,                0.69121,                 1.2039,                 0.7377,                0.62617,                 1.3949,                0.65879,                0.28499,                0.43639,                0.33802,                0.26324,                0.92237,                 1.8741,                 1.0132,                0.99777,                 2.2034,                 1.0056,              0.0005075,              0.0005075,              0.0005075
                     15,                0.69345,                 1.1885,                0.76183,                0.60189,                 1.3708,                0.67794,                0.24947,                0.47145,                0.31471,                0.24298,                0.99257,                 1.9267,                 1.0339,                0.97228,                 2.4144,                0.99227,             0.00044563,             0.00044563,             0.00044563
                     16,                0.67665,                 1.1256,                0.74246,                0.59059,                 1.2535,                0.67087,                0.31437,                0.46771,                0.33861,                 0.2694,                0.92736,                 1.8034,                 1.0051,                 0.9396,                 2.2566,                0.97751,             0.00038375,             0.00038375,             0.00038375
                     17,                0.63922,                 1.0651,                0.73578,                 0.6606,                 1.1889,                 0.6702,                0.26789,                0.48725,                 0.3427,                0.27547,                0.89509,                 1.7844,                 1.0096,                0.91632,                 2.1647,                0.95811,             0.00032188,             0.00032188,             0.00032188
                     18,                0.63806,                 1.0386,                0.74555,                0.62316,                 1.1708,                0.67408,                 0.3459,                0.45355,                0.37209,                0.29987,                0.88413,                 1.7176,                 1.0011,                0.90341,                  2.105,                0.95506,                0.00026,                0.00026,                0.00026
                     19,                0.60535,                0.98006,                0.72163,                0.57256,                 1.1152,                0.67058,                0.36435,                0.46626,                0.40046,                0.31976,                0.86536,                 1.6183,                0.99403,                0.90704,                 1.9684,                0.95643,             0.00019813,             0.00019813,             0.00019813
                     20,                0.59125,                0.90415,                 0.7207,                0.56063,                 1.0061,                0.64875,                0.35541,                0.48791,                0.40913,                0.32908,                0.85646,                 1.6614,                0.98976,                0.89077,                 1.9289,                0.95015,             0.00013625,             0.00013625,             0.00013625
