                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61508,                 10.495,                0.75284,                 0.6026,                 31.334,                0.71142,                0.54177,                0.29108,                0.16845,                0.14256,                0.63463,                 6.9113,                0.84262,                0.61132,                 25.635,                0.81603,             3.7759e-05,             3.7759e-05,             3.7759e-05
                      2,                0.54983,                 8.2023,                0.74395,                0.51714,                 25.885,                0.69977,                0.55154,                0.34264,                0.27334,                0.23222,                 0.6365,                 5.6983,                0.83981,                0.62248,                 21.489,                0.81299,             7.2009e-05,             7.2009e-05,             7.2009e-05
                      3,                0.54711,                 7.0141,                0.74422,                0.53147,                 21.628,                0.71697,                0.26372,                0.62025,                0.32188,                0.27953,                 0.6065,                 5.2045,                0.83718,                0.59228,                 19.175,                0.81174,              0.0001025,              0.0001025,              0.0001025
                      4,                0.64718,                 6.8442,                0.75369,                0.56326,                 20.259,                0.70071,                0.31787,                0.50696,                0.38197,                0.32067,                0.68157,                 4.9612,                0.85771,                0.66919,                 16.309,                0.83219,             9.7071e-05,             9.7071e-05,             9.7071e-05
                      5,                 0.5832,                 5.4494,                 0.7672,                0.56717,                 17.068,                0.72771,                0.38607,                0.55537,                0.45319,                0.38066,                0.65605,                 4.9548,                0.85137,                0.64801,                  14.95,                0.82972,             9.7071e-05,             9.7071e-05,             9.7071e-05
                      6,                0.55975,                 6.2488,                0.70319,                0.51468,                 15.739,                0.65621,                0.34213,                0.65399,                0.45146,                0.38135,                0.66402,                 4.3518,                0.84986,                0.68039,                 13.421,                0.83582,             9.1428e-05,             9.1428e-05,             9.1428e-05
                      7,                0.53393,                 4.6331,                0.72446,                0.52301,                 13.709,                0.69199,                0.37186,                0.72869,                0.53926,                0.46417,                0.64017,                 3.9398,                0.84651,                0.65334,                 12.309,                0.83253,             8.5785e-05,             8.5785e-05,             8.5785e-05
                      8,                0.55457,                 4.2148,                0.77752,                 0.5348,                 12.555,                0.74022,                0.41324,                0.65784,                0.54365,                 0.4732,                0.62542,                 4.1993,                0.83975,                0.66278,                 11.328,                0.82784,             8.0142e-05,             8.0142e-05,             8.0142e-05
                      9,                0.49891,                 4.9715,                0.68548,                0.50774,                 11.536,                0.65754,                0.48692,                0.59792,                0.50133,                0.43437,                0.63799,                 3.9198,                0.84147,                 0.6465,                 10.614,                0.82515,             7.4499e-05,             7.4499e-05,             7.4499e-05
                     10,                 0.5258,                 4.2686,                0.74814,                 0.5238,                 10.773,                0.71207,                0.47504,                0.64875,                0.54246,                0.47902,                0.61162,                 3.6006,                0.84074,                0.62545,                 10.186,                0.82489,             6.8856e-05,             6.8856e-05,             6.8856e-05
                     11,                0.49702,                 4.8594,                0.67998,                 0.4622,                 12.263,                0.62791,                0.43577,                0.64069,                0.52587,                0.45305,                0.65006,                 3.4244,                0.85261,                0.66612,                 9.4284,                0.83567,             6.3213e-05,             6.3213e-05,             6.3213e-05
                     12,                0.48234,                 4.5877,                0.67853,                0.45944,                 11.485,                0.62813,                0.52634,                0.60081,                0.56295,                0.48894,                0.62516,                 3.1632,                0.85042,                0.64605,                 8.7133,                 0.8362,              5.757e-05,              5.757e-05,              5.757e-05
                     13,                0.46084,                 4.2452,                0.68365,                0.42057,                 10.796,                0.63696,                0.51489,                0.63851,                0.58317,                0.50868,                0.61195,                 3.1949,                 0.8452,                0.63001,                 8.5511,                0.83234,             5.1927e-05,             5.1927e-05,             5.1927e-05
                     14,                0.46702,                 4.0095,                0.68584,                0.43027,                 10.192,                0.63947,                0.48543,                0.64246,                0.59614,                 0.5246,                0.60822,                 3.1971,                0.84027,                0.62289,                 8.4082,                0.82705,             4.6284e-05,             4.6284e-05,             4.6284e-05
                     15,                0.44761,                 3.9042,                0.65897,                0.42382,                 9.7095,                0.61523,                0.58736,                0.57876,                0.61632,                0.53908,                0.61449,                 3.0549,                0.83996,                0.63352,                 7.9815,                0.82207,             4.0641e-05,             4.0641e-05,             4.0641e-05
                     16,                0.45325,                 3.6882,                0.68556,                0.43096,                 9.4021,                0.63981,                0.54294,                0.63739,                 0.6107,                0.53172,                0.62387,                 3.0488,                0.84388,                0.64109,                 7.7253,                0.82384,             3.4998e-05,             3.4998e-05,             3.4998e-05
                     17,                0.43495,                 3.6515,                 0.6601,                0.39625,                 8.9774,                0.61721,                0.57088,                0.58883,                0.58669,                0.50904,                0.62388,                 3.0153,                0.84454,                0.63306,                  7.474,                0.82375,             2.9355e-05,             2.9355e-05,             2.9355e-05
                     18,                0.43586,                 3.5774,                0.66874,                0.40847,                 8.7312,                0.62832,                0.53992,                0.61108,                0.57314,                 0.5003,                0.61162,                 2.9963,                0.84302,                0.61557,                 7.3366,                0.82181,             2.3712e-05,             2.3712e-05,             2.3712e-05
                     19,                0.42413,                 3.4793,                 0.6761,                 0.3934,                 8.5792,                0.63499,                0.54875,                0.60788,                0.56671,                0.49634,                0.60642,                 3.0026,                0.84189,                0.60804,                 7.2006,                0.82104,             1.8069e-05,             1.8069e-05,             1.8069e-05
                     20,                0.40908,                 3.3825,                0.66737,                0.38055,                 8.3815,                0.62687,                0.55533,                0.61446,                0.56341,                0.49382,                0.60082,                 2.9972,                0.84055,                 0.6057,                 7.1285,                0.81989,             1.2426e-05,             1.2426e-05,             1.2426e-05
