                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76321,                 14.845,                 0.7923,                0.10721,                0.15333,                0.07373,                0.06904,                0.63434,                 10.049,                0.83179,             3.7759e-05,             3.7759e-05,             3.7759e-05
                      2,                0.61628,                 9.9403,                 0.7443,                0.14228,                0.24433,                0.18367,                0.15703,                0.65711,                 7.3014,                0.85241,             7.2009e-05,             7.2009e-05,             7.2009e-05
                      3,                0.59631,                 9.1392,                0.75889,                0.24061,                0.21191,                0.22533,                0.19536,                0.65845,                 6.7953,                0.85985,              0.0001025,              0.0001025,              0.0001025
                      4,                0.65233,                  8.963,                0.76444,                0.42075,                0.32206,                0.27857,                0.25005,                0.67818,                 6.6737,                0.86692,             9.7071e-05,             9.7071e-05,             9.7071e-05
                      5,                0.66523,                 7.4024,                0.78572,                0.26131,                0.20649,                0.23243,                0.20021,                0.67596,                 5.9529,                0.87243,             9.7071e-05,             9.7071e-05,             9.7071e-05
                      6,                0.59266,                 8.3614,                0.71756,                0.17702,                0.16405,                0.16073,                0.13723,                0.66494,                 5.6746,                0.87112,             9.1428e-05,             9.1428e-05,             9.1428e-05
                      7,                0.57912,                 6.4772,                0.75507,                0.60974,                0.29799,                0.41645,                0.35352,                0.65696,                 5.3956,                0.86721,             8.5785e-05,             8.5785e-05,             8.5785e-05
                      8,                0.60333,                 5.8522,                0.79782,                0.48846,                0.23795,                0.31959,                0.28125,                0.64653,                 5.1061,                0.86437,             8.0142e-05,             8.0142e-05,             8.0142e-05
                      9,                 0.5183,                 6.6883,                0.70355,                0.34979,                0.10687,                0.22207,                 0.1948,                0.63714,                 4.8128,                0.86367,             7.4499e-05,             7.4499e-05,             7.4499e-05
                     10,                0.58261,                 5.8056,                0.76703,                0.64426,                0.19241,                0.40916,                0.36913,                0.62838,                 4.6223,                0.86373,             6.8856e-05,             6.8856e-05,             6.8856e-05
                     11,                0.53847,                 6.9472,                0.69239,                0.55991,                0.23262,                0.37007,                0.33287,                0.64242,                 4.5431,                0.86629,             6.3213e-05,             6.3213e-05,             6.3213e-05
                     12,                0.54169,                    6.5,                0.69412,                 0.5411,                 0.3751,                0.42617,                0.38086,                0.65333,                 4.2878,                0.86735,              5.757e-05,              5.757e-05,              5.757e-05
                     13,                  0.531,                 6.2114,                 0.7024,                0.58605,                0.34786,                0.42858,                0.38312,                0.66183,                 4.2127,                0.86771,             5.1927e-05,             5.1927e-05,             5.1927e-05
                     14,                0.53608,                 5.9622,                0.70493,                0.52029,                0.42328,                 0.4246,                 0.3881,                 0.6499,                 4.1679,                0.86654,             4.6284e-05,             4.6284e-05,             4.6284e-05
                     15,                0.48956,                 5.7996,                0.67432,                0.50804,                0.41692,                0.42435,                0.38906,                0.65858,                   4.08,                0.86811,             4.0641e-05,             4.0641e-05,             4.0641e-05
                     16,                 0.5236,                 5.6987,                0.70599,                0.52351,                0.35092,                0.40482,                0.36474,                0.66225,                 4.0392,                0.86808,             3.4998e-05,             3.4998e-05,             3.4998e-05
                     17,                0.50741,                 5.7732,                0.67987,                0.60525,                0.39193,                0.46197,                0.41112,                0.65131,                   3.96,                0.86742,             2.9355e-05,             2.9355e-05,             2.9355e-05
                     18,                0.49864,                 5.5777,                0.68885,                0.49212,                0.46198,                0.44236,                0.39168,                0.64267,                 3.9106,                0.86629,             2.3712e-05,             2.3712e-05,             2.3712e-05
                     19,                0.50692,                 5.4825,                0.69899,                0.58048,                0.42085,                0.46318,                0.40832,                0.64045,                 3.8627,                0.86866,             1.8069e-05,             1.8069e-05,             1.8069e-05
                     20,                0.49184,                 5.3929,                0.68808,                0.61549,                0.37982,                0.46647,                0.41256,                0.64271,                  3.879,                0.87159,             1.2426e-05,             1.2426e-05,             1.2426e-05
