                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62203,                 10.621,                0.75311,                0.25113,                0.23394,                0.17287,                 0.1573,                 0.6516,                 7.3154,                0.83714,             3.7759e-05,             3.7759e-05,             3.7759e-05
                      2,                0.56671,                 8.2094,                0.74026,                0.53945,                 0.2164,                0.30983,                0.28147,                0.61807,                 6.2009,                0.84076,             7.2009e-05,             7.2009e-05,             7.2009e-05
                      3,                0.53256,                 7.4787,                0.74081,                0.50718,                0.24736,                0.31142,                0.29368,                0.61051,                 5.7885,                 0.8436,              0.0001025,              0.0001025,              0.0001025
                      4,                0.63017,                  7.344,                0.74074,                0.41446,                0.40393,                0.33797,                 0.3024,                0.64289,                 5.1483,                0.84212,             9.7071e-05,             9.7071e-05,             9.7071e-05
                      5,                0.59637,                 6.0297,                0.75687,                 0.5492,                0.21906,                0.37746,                0.31582,                0.64127,                 4.7901,                0.83929,             9.7071e-05,             9.7071e-05,             9.7071e-05
                      6,                 0.5642,                  6.943,                0.69732,                0.56726,                0.29386,                0.39372,                0.34877,                0.65241,                 4.9397,                0.84476,             9.1428e-05,             9.1428e-05,             9.1428e-05
                      7,                0.52531,                 5.4719,                0.72281,                0.56391,                0.26886,                0.38115,                0.34319,                0.63924,                 4.6388,                0.84564,             8.5785e-05,             8.5785e-05,             8.5785e-05
                      8,                0.57064,                 5.0901,                0.77181,                0.48028,                0.46346,                0.43194,                0.38697,                 0.6435,                 4.5726,                0.84869,             8.0142e-05,             8.0142e-05,             8.0142e-05
                      9,                0.46988,                 5.7829,                0.68151,                0.57283,                0.43996,                0.45729,                0.40549,                0.68112,                 4.3806,                0.85867,             7.4499e-05,             7.4499e-05,             7.4499e-05
                     10,                 0.5688,                 5.1102,                0.75814,                0.61642,                0.34013,                0.46826,                0.42144,                0.63505,                 4.0905,                0.85504,             6.8856e-05,             6.8856e-05,             6.8856e-05
                     11,                0.49045,                 5.9618,                 0.6784,                0.57276,                0.37245,                0.44026,                0.39862,                0.64833,                 3.9147,                0.85258,             6.3213e-05,             6.3213e-05,             6.3213e-05
                     12,                0.49868,                 5.7027,                 0.6778,                 0.5746,                0.42731,                0.46499,                0.42433,                0.65658,                 3.8271,                0.85196,              5.757e-05,              5.757e-05,              5.757e-05
                     13,                0.49415,                 5.3627,                0.68779,                0.59444,                0.44626,                 0.4923,                 0.4457,                0.66882,                 3.7499,                0.85083,             5.1927e-05,             5.1927e-05,             5.1927e-05
                     14,                0.48957,                 5.1186,                0.68833,                0.63053,                 0.4408,                0.52236,                0.47621,                0.65187,                 3.7341,                0.85088,             4.6284e-05,             4.6284e-05,             4.6284e-05
                     15,                0.47433,                 4.9893,                0.66026,                0.61084,                0.48541,                0.54068,                0.49021,                0.65373,                 3.5218,                0.85117,             4.0641e-05,             4.0641e-05,             4.0641e-05
                     16,                0.49526,                 4.7275,                 0.6882,                0.62016,                0.51339,                0.55179,                 0.4981,                0.65052,                 3.4209,                0.85095,             3.4998e-05,             3.4998e-05,             3.4998e-05
                     17,                0.45713,                 4.7133,                0.66281,                0.66118,                0.43032,                0.53588,                0.48963,                0.65114,                 3.4742,                0.85012,             2.9355e-05,             2.9355e-05,             2.9355e-05
                     18,                0.43747,                 4.5904,                0.67389,                0.65407,                0.45974,                0.54649,                0.49881,                0.64908,                 3.4494,                0.85086,             2.3712e-05,             2.3712e-05,             2.3712e-05
                     19,                0.42414,                 4.4586,                0.68124,                0.68714,                0.43283,                0.55829,                0.50951,                 0.6458,                  3.475,                0.84988,             1.8069e-05,             1.8069e-05,             1.8069e-05
                     20,                0.44112,                  4.447,                0.67389,                 0.6892,                0.43458,                0.56257,                0.51438,                0.64207,                 3.4419,                0.85002,             1.2426e-05,             1.2426e-05,             1.2426e-05
