                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66171,                  17.91,                0.74626,                0.62594,                 63.725,                 0.7135,                0.68543,                0.09524,                0.02266,                0.02049,                0.61794,                  11.39,                0.80796,                0.68126,                 44.131,                0.80469,             3.7759e-05,             3.7759e-05,             3.7759e-05
                      2,                0.62776,                 12.053,                0.72414,                0.58976,                 40.444,                 0.6947,                0.12833,                0.47776,                0.16427,                0.14559,                0.63958,                 7.3335,                0.81609,                0.64779,                 32.551,                0.79879,             7.3884e-05,             7.3884e-05,             7.3884e-05
                      3,                 0.5932,                 8.8848,                0.74464,                0.57233,                 32.571,                0.72352,                0.30391,                0.23937,                0.19847,                0.17117,                0.64864,                 6.8373,                0.82277,                0.65852,                 29.327,                0.80294,             0.00010813,             0.00010813,             0.00010813
                      4,                0.68603,                 8.9003,                0.74013,                0.62526,                 29.878,                0.69007,                0.10604,                0.61664,                0.24442,                0.20285,                0.67356,                 6.0327,                0.83348,                 0.7264,                 25.962,                0.80476,             0.00010554,             0.00010554,             0.00010554
                      5,                0.67576,                 7.0169,                0.75894,                0.66159,                 25.502,                0.71552,                0.58625,                0.27258,                0.26381,                0.22115,                0.68481,                  5.636,                 0.8323,                 0.7328,                 22.661,                0.80238,             0.00010554,             0.00010554,             0.00010554
                      6,                 0.6209,                 7.7462,                0.69614,                0.59348,                 23.473,                0.65706,                0.37924,                0.35195,                0.31796,                0.27172,                0.68981,                 5.3014,                 0.8366,                0.74386,                 20.213,                0.81116,             0.00010271,             0.00010271,             0.00010271
                      7,                0.59501,                 5.8577,                0.73177,                0.62058,                 20.153,                0.70116,                0.48531,                0.27882,                0.33914,                0.28712,                0.68713,                 4.9575,                0.83653,                0.75008,                 18.628,                 0.8148,             9.9893e-05,             9.9893e-05,             9.9893e-05
                      8,                0.65263,                 5.0897,                0.77448,                0.60434,                 18.286,                0.73618,                0.31534,                0.42409,                0.29621,                0.24861,                0.71974,                 4.5652,                0.84025,                0.74825,                 16.936,                 0.8196,             9.7071e-05,             9.7071e-05,             9.7071e-05
                      9,                0.54229,                 5.9813,                0.69134,                0.49641,                 16.684,                0.66494,                0.31101,                0.45259,                0.32496,                0.27964,                0.65455,                 4.3512,                0.83126,                0.67639,                 15.568,                0.81313,              9.425e-05,              9.425e-05,              9.425e-05
                     10,                0.58206,                 5.0662,                0.74937,                0.53397,                 15.305,                0.70883,                0.36647,                0.43877,                0.37467,                0.31888,                0.67417,                 4.2106,                0.83511,                 0.7082,                  14.29,                0.81519,             9.1428e-05,             9.1428e-05,             9.1428e-05
                     11,                0.52122,                 5.0383,                0.68158,                0.48861,                 13.983,                0.65905,                0.33225,                 0.4151,                0.36135,                0.31002,                0.65623,                 4.1565,                0.83044,                0.67918,                 13.556,                0.81103,             8.8607e-05,             8.8607e-05,             8.8607e-05
                     12,                0.56636,                 4.2683,                0.75262,                 0.5076,                 13.018,                   0.72,                0.53209,                0.38947,                0.43672,                0.37851,                0.63324,                 3.9523,                0.82604,                0.65537,                 12.365,                0.80875,             8.5785e-05,             8.5785e-05,             8.5785e-05
                     13,                0.46932,                 4.4286,                0.69739,                0.47101,                 12.194,                0.67203,                 0.4334,                0.45701,                0.45229,                0.39238,                0.64622,                 3.8757,                0.82983,                0.66646,                 11.756,                0.81215,             8.2964e-05,             8.2964e-05,             8.2964e-05
                     14,                0.53123,                 4.2242,                0.71769,                0.50947,                 11.797,                0.67833,                0.38585,                0.54249,                0.44846,                0.39151,                0.64541,                 3.6972,                0.82683,                0.64928,                  11.35,                0.80656,             8.0142e-05,             8.0142e-05,             8.0142e-05
                     15,                0.50908,                 3.9276,                0.72257,                0.47388,                 11.414,                 0.6895,                0.36486,                0.43299,                 0.4046,                0.36163,                0.66424,                 4.0798,                0.83821,                0.65932,                 11.071,                0.81256,             7.7321e-05,             7.7321e-05,             7.7321e-05
                     16,                0.49722,                 3.7818,                0.70601,                 0.4866,                 10.113,                0.67746,                0.51902,                0.39567,                0.43668,                0.39043,                0.64484,                  3.863,                0.82927,                0.64235,                 10.489,                0.80474,             7.4499e-05,             7.4499e-05,             7.4499e-05
                     17,                0.48248,                 3.5406,                0.71078,                0.45342,                 9.9755,                0.68141,                0.37901,                0.49818,                0.46091,                0.40857,                 0.6566,                 3.5307,                0.82931,                 0.6458,                  9.767,                0.80364,             7.1678e-05,             7.1678e-05,             7.1678e-05
                     18,                 0.4859,                 3.4019,                0.69824,                0.45106,                 8.8782,                0.67151,                 0.4608,                0.51281,                0.49937,                0.43694,                0.64007,                  3.279,                0.82925,                0.66267,                 9.3122,                0.80605,             6.8856e-05,             6.8856e-05,             6.8856e-05
                     19,                0.48172,                 3.1526,                0.71998,                0.47236,                 8.7396,                0.68947,                0.53549,                0.46685,                0.49722,                 0.4291,                0.64286,                 3.2459,                0.83631,                0.66316,                  8.889,                0.81697,             6.6034e-05,             6.6034e-05,             6.6034e-05
                     20,                0.45126,                 3.2723,                0.68837,                0.41429,                 8.3232,                0.65956,                0.41125,                0.57069,                0.49697,                0.43599,                0.62087,                 3.3175,                0.83693,                0.63241,                 8.5964,                0.81278,             6.3213e-05,             6.3213e-05,             6.3213e-05
                     21,                0.45592,                 3.4685,                0.65959,                0.44746,                 7.9233,                0.63319,                0.47037,                0.54602,                0.49913,                0.43394,                0.64208,                 3.3994,                0.83872,                  0.662,                 8.2868,                0.81955,             6.0392e-05,             6.0392e-05,             6.0392e-05
                     22,                0.46962,                  2.605,                0.72518,                0.47658,                 7.5668,                0.69983,                0.44136,                0.53527,                0.48351,                0.41894,                0.65839,                 3.3218,                0.83799,                0.66578,                 8.0367,                  0.818,              5.757e-05,              5.757e-05,              5.757e-05
