                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81117,                 11.569,                0.76086,                0.80594,                 22.693,                 0.6995,                0.00109,                0.01075,                 0.0006,                0.00042,                0.75701,                 9.2217,                0.82151,                0.74791,                 21.353,                0.79771,             3.7759e-05,             3.7759e-05,             3.7759e-05
                      2,                 0.7676,                 11.656,                0.73614,                0.70876,                 22.755,                0.67638,                0.02088,                0.31354,                 0.0224,                0.01645,                0.83527,                  9.617,                0.81946,                0.82513,                 21.184,                0.79352,             7.4509e-05,             7.4509e-05,             7.4509e-05
                      3,                0.79562,                 11.792,                0.73503,                0.73093,                 21.892,                0.68563,                0.03046,                0.59452,                0.09523,                0.06855,                0.83917,                 9.6007,                0.81295,                0.84095,                 20.866,                0.78397,             0.00011001,             0.00011001,             0.00011001
                      4,                0.93625,                 12.977,                0.73882,                0.81278,                 22.051,                0.66959,                 0.7429,                0.12565,                0.13731,                0.08956,                0.92568,                 9.7881,                0.81133,                0.88365,                 20.445,                0.77597,             0.00010836,             0.00010836,             0.00010836
                      5,                0.93487,                 11.608,                0.74982,                 0.8941,                 20.933,                0.68233,                0.40316,                0.17627,                0.14269,                0.09503,                 0.9403,                  9.606,                0.80914,                0.93742,                 20.349,                0.77773,             0.00010836,             0.00010836,             0.00010836
                      6,                0.91081,                 12.982,                0.69099,                  0.847,                  21.39,                0.62715,                0.50643,                0.18888,                0.15805,                0.11797,                0.91891,                 9.4426,                0.81274,                0.86428,                 19.795,                0.77824,             0.00010648,             0.00010648,             0.00010648
                      7,                0.83828,                 11.256,                0.72806,                 0.7611,                 20.361,                0.66966,                0.49205,                0.17215,                0.16431,                0.12744,                0.90337,                 9.5012,                0.81265,                0.86684,                 19.694,                0.77189,             0.00010459,             0.00010459,             0.00010459
                      8,                0.87426,                 11.439,                0.76183,                0.79098,                 20.271,                0.69189,                0.43954,                0.27229,                0.17844,                0.13903,                0.91788,                 9.4507,                0.81199,                0.90514,                  19.55,                0.77269,             0.00010271,             0.00010271,             0.00010271
                      9,                 0.7867,                 11.579,                0.69972,                 0.7733,                 19.915,                0.64793,                0.47745,                0.17676,                0.18848,                0.15291,                0.91125,                 9.2402,                0.81675,                 0.8433,                 19.314,                0.77426,             0.00010083,             0.00010083,             0.00010083
                     10,                0.90371,                 11.194,                0.75306,                0.78315,                 19.687,                0.68739,                0.47092,                0.24262,                0.19895,                0.15736,                0.93676,                 8.8658,                0.81982,                0.85201,                 19.202,                0.77645,             9.8952e-05,             9.8952e-05,             9.8952e-05
                     11,                0.77773,                 10.657,                0.70118,                0.71309,                 19.181,                0.66146,                0.48324,                0.22769,                0.21458,                0.17201,                0.84876,                 8.8429,                0.81615,                0.85073,                 19.111,                0.77512,             9.7071e-05,             9.7071e-05,             9.7071e-05
                     12,                0.84186,                 10.072,                0.75771,                0.85309,                 19.333,                0.68504,                0.48384,                0.20831,                0.21581,                0.17228,                0.82815,                 8.5063,                 0.8173,                 0.8195,                 18.886,                0.77655,              9.519e-05,              9.519e-05,              9.519e-05
                     13,                0.68559,                 9.7996,                0.70309,                0.68202,                 19.221,                0.65321,                0.49688,                0.26515,                0.21963,                0.17612,                0.84844,                  8.261,                0.82419,                0.83907,                 18.788,                0.77855,             9.3309e-05,             9.3309e-05,             9.3309e-05
                     14,                0.72956,                 9.9433,                0.71686,                 0.7295,                 19.514,                0.66236,                0.34098,                0.29958,                0.21638,                0.17686,                0.84596,                 8.2057,                0.82815,                0.81215,                 18.655,                0.77807,             9.1428e-05,             9.1428e-05,             9.1428e-05
                     15,                0.68027,                 9.6737,                0.72292,                0.67768,                 19.764,                 0.6526,                0.24444,                0.33132,                0.19495,                0.15993,                0.85167,                 8.0533,                0.82732,                0.84022,                 18.516,                0.77778,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     16,                0.71223,                 9.2397,                0.71952,                0.68762,                 18.673,                0.67322,                0.21941,                 0.3132,                 0.1869,                0.15661,                0.83335,                 8.1823,                0.82455,                 0.7951,                 18.422,                0.77388,             8.7666e-05,             8.7666e-05,             8.7666e-05
                     17,                0.71301,                 9.4323,                0.72282,                 0.7017,                 19.262,                0.66308,                0.22075,                0.29818,                0.20374,                0.16988,                 0.8308,                 7.8369,                0.82426,                0.80553,                 18.297,                0.77349,             8.5785e-05,             8.5785e-05,             8.5785e-05
                     18,                0.69729,                  9.109,                0.71827,                0.69088,                 18.356,                0.66668,                0.24518,                0.30098,                0.21144,                0.17629,                0.81212,                 7.6391,                0.81985,                0.79876,                 18.168,                0.77416,             8.3904e-05,             8.3904e-05,             8.3904e-05
                     19,                0.65825,                 8.6924,                 0.7298,                0.67427,                 18.493,                0.67877,                0.22584,                0.33868,                0.21792,                0.17917,                0.80598,                 7.4622,                0.82196,                0.81777,                 18.138,                 0.7714,             8.2023e-05,             8.2023e-05,             8.2023e-05
                     20,                0.62552,                 9.0674,                0.69919,                0.63895,                 18.478,                0.64114,                0.24503,                0.36289,                 0.2181,                0.18029,                0.80249,                 7.3671,                  0.823,                0.79375,                 18.015,                0.77293,             8.0142e-05,             8.0142e-05,             8.0142e-05
                     21,                0.57936,                 9.4312,                0.66912,                0.60368,                  18.25,                0.63207,                0.22512,                0.34017,                0.21716,                 0.1799,                0.77571,                 7.3161,                 0.8226,                0.77643,                  17.92,                0.77539,             7.8261e-05,             7.8261e-05,             7.8261e-05
                     22,                0.66617,                 8.1548,                0.74546,                0.65524,                 18.279,                0.69996,                0.23107,                0.34257,                0.22087,                 0.1873,                0.76748,                   7.26,                0.82109,                0.74792,                 17.822,                 0.7766,              7.638e-05,              7.638e-05,              7.638e-05
                     23,                0.60419,                 8.4437,                0.69985,                0.61549,                 18.009,                0.65596,                0.24931,                0.33345,                0.22876,                0.18753,                0.78102,                  7.127,                0.82074,                0.79343,                 17.778,                0.77452,             7.4499e-05,             7.4499e-05,             7.4499e-05
                     24,                0.64321,                 8.6562,                0.73092,                0.64743,                 18.966,                0.68215,                0.24403,                0.36042,                0.23391,                0.19441,                0.77653,                 7.0935,                0.82221,                 0.7734,                 17.653,                0.77524,             7.2618e-05,             7.2618e-05,             7.2618e-05
                     25,                 0.5981,                 8.3926,                0.69689,                0.59511,                 17.788,                0.66353,                0.24536,                 0.3497,                 0.2321,                0.18878,                0.79354,                 7.0688,                0.82269,                0.78626,                 17.606,                0.77489,             7.0737e-05,             7.0737e-05,             7.0737e-05
                     26,                0.64222,                 7.5678,                0.75985,                0.63162,                 18.043,                  0.708,                0.23615,                0.34326,                0.23248,                0.18826,                0.79725,                 7.0239,                0.82474,                0.79361,                  17.64,                0.77557,             6.8856e-05,             6.8856e-05,             6.8856e-05
                     27,                0.64536,                 8.0664,                0.72507,                0.63405,                  18.03,                0.66565,                0.32823,                0.26553,                0.23006,                0.18917,                0.78698,                 7.0108,                0.82541,                0.78965,                  17.72,                0.78006,             6.6975e-05,             6.6975e-05,             6.6975e-05
                     28,                0.60675,                 8.1868,                0.69227,                0.58422,                 17.935,                0.64574,                0.39722,                0.24959,                0.22652,                0.18654,                 0.7711,                 6.9101,                0.82592,                 0.7742,                 17.708,                0.77841,             6.5094e-05,             6.5094e-05,             6.5094e-05
                     29,                 0.5805,                 9.0596,                0.67361,                0.56861,                 18.461,                0.63331,                0.29676,                0.27122,                0.22657,                0.18717,                0.76372,                 6.7703,                0.82556,                0.78496,                 17.596,                0.78066,             6.3213e-05,             6.3213e-05,             6.3213e-05
                     30,                0.57281,                 8.6473,                0.68033,                0.57687,                 18.519,                0.64865,                0.30213,                0.26987,                0.22989,                0.18507,                0.78089,                 6.6869,                0.82965,                0.84604,                 17.602,                0.78401,             6.1332e-05,             6.1332e-05,             6.1332e-05
                     31,                0.57896,                 7.6917,                0.71877,                0.58026,                 18.046,                0.67704,                0.26148,                0.30452,                0.23646,                0.19287,                0.78467,                 6.6716,                0.83135,                0.84047,                 17.518,                0.78088,             5.9451e-05,             5.9451e-05,             5.9451e-05
                     32,                0.64142,                 8.0199,                0.71472,                0.60548,                 18.122,                0.66212,                0.24677,                 0.3017,                 0.2476,                0.20729,                0.75581,                 6.7013,                0.82873,                0.77892,                 17.338,                0.78298,              5.757e-05,              5.757e-05,              5.757e-05
                     33,                0.62259,                 7.3251,                0.74074,                0.60071,                 17.746,                0.70215,                 0.2116,                0.37147,                0.26179,                0.22063,                0.74507,                 6.6307,                0.82795,                0.78194,                 17.297,                0.78149,             5.5689e-05,             5.5689e-05,             5.5689e-05
                     34,                 0.5794,                 8.3213,                0.68501,                0.55658,                 18.276,                0.64243,                0.27147,                0.28192,                0.24574,                0.20498,                0.76098,                 6.6589,                0.82758,                0.79251,                 17.313,                 0.7804,             5.3808e-05,             5.3808e-05,             5.3808e-05
                     35,                0.58266,                 7.8319,                0.70026,                0.58524,                 17.628,                0.66266,                0.23317,                0.30896,                 0.2472,                0.20743,                 0.7544,                 6.7001,                0.82799,                0.76096,                 17.263,                 0.7811,             5.1927e-05,             5.1927e-05,             5.1927e-05
                     36,                0.61061,                 7.3139,                0.73335,                0.58366,                 17.963,                0.68651,                0.23971,                0.33343,                0.25734,                0.21612,                0.74514,                 6.4891,                0.82612,                0.76663,                 17.179,                0.78459,             5.0046e-05,             5.0046e-05,             5.0046e-05
                     37,                0.58615,                 6.5492,                0.74618,                0.61502,                  17.03,                0.70099,                 0.2588,                0.38615,                 0.2677,                0.22485,                0.73885,                 6.4431,                 0.8257,                0.76347,                 17.079,                 0.7805,             4.8165e-05,             4.8165e-05,             4.8165e-05
                     38,                0.54432,                 7.2872,                0.69221,                0.52796,                 16.945,                0.65478,                0.28367,                0.34335,                0.27235,                0.23065,                0.74412,                 6.4763,                0.82849,                0.75819,                 17.021,                0.78189,             4.6284e-05,             4.6284e-05,             4.6284e-05
                     39,                0.57027,                 8.1959,                0.68738,                0.56212,                 18.194,                 0.6429,                0.28646,                0.34261,                0.26899,                0.22775,                0.74134,                 6.4537,                0.82874,                0.74371,                 16.979,                0.78323,             4.4403e-05,             4.4403e-05,             4.4403e-05
                     40,                0.55666,                 6.7762,                0.74586,                0.58305,                 17.042,                0.71461,                0.20258,                  0.361,                0.25785,                0.21824,                0.74534,                 6.4475,                0.82646,                0.74571,                 16.991,                0.78171,             4.2522e-05,             4.2522e-05,             4.2522e-05
                     41,                 0.5523,                 7.1231,                0.71044,                0.56335,                 16.754,                0.67386,                0.50328,                0.24311,                0.26436,                0.22307,                0.74022,                 6.3648,                0.82593,                0.74846,                 16.948,                 0.7824,             4.0641e-05,             4.0641e-05,             4.0641e-05
                     42,                0.54825,                  7.109,                0.70201,                0.57777,                 16.798,                0.66746,                0.45681,                0.25009,                0.27141,                0.22972,                0.73179,                 6.3972,                0.82618,                 0.7389,                 16.889,                0.78119,              3.876e-05,              3.876e-05,              3.876e-05
                     43,                0.56504,                 6.6288,                0.72162,                0.57239,                 16.725,                0.68366,                0.22495,                 0.3434,                 0.2708,                0.23095,                0.72711,                  6.469,                0.82762,                0.72276,                 16.835,                0.78436,             3.6879e-05,             3.6879e-05,             3.6879e-05
                     44,                0.61017,                 7.3096,                0.70605,                0.59375,                  16.95,                0.66539,                0.21818,                0.37567,                0.26886,                0.23065,                 0.7299,                  6.428,                0.82787,                 0.7374,                 16.849,                0.78206,             3.4998e-05,             3.4998e-05,             3.4998e-05
                     45,                0.57729,                  7.516,                0.70213,                0.54925,                 16.807,                0.64335,                0.28327,                0.35265,                0.26866,                0.23429,                0.71598,                 6.4162,                0.82546,                0.72184,                 16.859,                0.78402,             3.3117e-05,             3.3117e-05,             3.3117e-05
                     46,                 0.5222,                 7.0514,                0.69922,                0.51131,                 17.647,                0.64606,                0.28298,                0.33735,                0.26797,                0.23202,                0.71674,                 6.4044,                0.82759,                0.72956,                 16.844,                0.78345,             3.1236e-05,             3.1236e-05,             3.1236e-05
                     47,                0.55958,                 7.1037,                0.71934,                 0.5689,                 17.391,                0.66429,                 0.3264,                0.31787,                0.26571,                0.22998,                0.72064,                 6.4029,                0.82934,                0.73276,                 16.769,                0.78422,             2.9355e-05,             2.9355e-05,             2.9355e-05
                     48,                0.53017,                 7.0791,                0.69634,                0.52622,                  17.33,                0.65687,                0.29579,                0.32687,                0.27118,                0.23432,                0.71303,                 6.3567,                0.82762,                0.72155,                 16.729,                0.78403,             2.7474e-05,             2.7474e-05,             2.7474e-05
                     49,                0.53842,                 7.4292,                0.68989,                0.56713,                 17.101,                0.65608,                0.33045,                0.31208,                0.27202,                0.23511,                0.71774,                 6.3725,                0.82871,                 0.7185,                 16.679,                0.78583,             2.5593e-05,             2.5593e-05,             2.5593e-05
                     50,                0.56223,                 6.9177,                0.70414,                0.61201,                 16.711,                0.66862,                0.36621,                0.30524,                0.27502,                0.23592,                0.71466,                 6.3568,                0.82953,                 0.7281,                 16.648,                0.78443,             2.3712e-05,             2.3712e-05,             2.3712e-05
                     51,                0.53707,                 8.2552,                0.66847,                0.49424,                 20.028,                0.61368,                  0.229,                0.39876,                0.26565,                0.22618,                0.73356,                 6.3667,                 0.8266,                0.76333,                 16.636,                0.78755,             2.1831e-05,             2.1831e-05,             2.1831e-05
                     52,                0.53916,                 8.4493,                0.67448,                0.49928,                 19.932,                0.61272,                0.20915,                0.38046,                0.25678,                0.21788,                0.73138,                 6.3866,                0.82758,                0.75404,                 16.639,                0.78955,              1.995e-05,              1.995e-05,              1.995e-05
                     53,                0.54048,                 8.3807,                0.68199,                0.50282,                  19.97,                0.62621,                0.19642,                0.37803,                0.25132,                0.21449,                0.73442,                 6.3916,                0.82808,                0.75241,                 16.652,                0.78887,             1.8069e-05,             1.8069e-05,             1.8069e-05
                     54,                0.49888,                 8.3597,                0.67225,                0.47077,                 19.879,                0.61946,                0.18789,                0.38355,                0.25312,                0.21684,                0.73597,                 6.4223,                0.82745,                 0.7465,                 16.659,                 0.7892,             1.6188e-05,             1.6188e-05,             1.6188e-05
                     55,                0.51742,                 8.3988,                0.67834,                 0.4832,                 19.931,                0.60933,                0.19833,                0.35836,                0.25481,                0.21782,                0.73617,                 6.4186,                0.82698,                0.74356,                 16.647,                 0.7879,             1.4307e-05,             1.4307e-05,             1.4307e-05
                     56,                0.52402,                 8.4466,                0.67164,                0.48852,                 19.919,                0.62489,                0.20595,                0.37995,                 0.2579,                   0.22,                0.73466,                 6.4091,                0.82633,                0.74543,                 16.636,                0.78778,             1.2426e-05,             1.2426e-05,             1.2426e-05
                     57,                0.50932,                  8.183,                0.66936,                0.49134,                 19.852,                0.61043,                0.21641,                0.38695,                 0.2602,                0.22177,                0.72493,                 6.3917,                0.82625,                 0.7435,                 16.596,                0.78547,             1.0545e-05,             1.0545e-05,             1.0545e-05
                     58,                0.52369,                 8.3661,                0.67276,                0.50915,                 19.797,                0.61119,                0.21493,                0.38774,                0.26132,                0.22232,                0.72284,                 6.4027,                0.82633,                0.73452,                 16.566,                 0.7863,              8.664e-06,              8.664e-06,              8.664e-06
                     59,                0.51511,                 8.1169,                0.67207,                0.46747,                 19.848,                0.61985,                0.20754,                0.38614,                0.26116,                0.22258,                0.72049,                 6.3959,                 0.8255,                0.73484,                  16.57,                0.78563,              6.783e-06,              6.783e-06,              6.783e-06
                     60,                0.51916,                 8.2927,                0.68904,                0.48703,                 19.873,                0.61861,                0.21505,                0.39031,                0.26031,                0.22216,                0.71529,                 6.3555,                0.82583,                0.73465,                  16.54,                0.78646,              4.902e-06,              4.902e-06,              4.902e-06
