                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86108,                 10.138,                0.88582,                0.85776,                 38.553,                0.81042,                 0.4306,                0.27763,                 0.1555,                0.11362,                 1.2012,                 4.4955,                 1.0003,                 1.3134,                 8.7911,                0.96065,             0.00041529,             0.00041529,             0.00041529
                      2,                  1.029,                 4.3117,                 1.0116,                 1.0091,                 8.5178,                0.90545,                 0.6053,                0.23429,                0.10658,                0.07287,                 1.3264,                 3.4031,                 1.0826,                 1.3686,                 5.8392,                 1.0201,             0.00082166,             0.00082166,             0.00082166
                      3,                 1.2632,                 3.2546,                 1.1966,                 1.1473,                 4.2057,                0.94994,                 0.6053,                0.23429,                0.10658,                0.07287,                 1.0745,             2.2302e+07,                 272.34,                0.13248,             2.3985e+06,                 5.5622,              0.0012177,              0.0012177,              0.0012177
                      4,                 1.4235,                 2.8213,                 1.2905,                 1.2691,                 3.3503,                 1.1338,                0.61876,                0.11609,                 0.0822,                0.04556,                 1.9103,                 5.0642,                 1.4536,                 1.6784,                 4.8722,                 1.3875,              0.0012036,              0.0012036,              0.0012036
                      5,                 1.8392,                 3.7641,                 1.6054,                 1.5404,                 4.1414,                 1.3539,                0.87413,                0.08187,                0.09104,                0.04514,                 1.9172,                 3.7505,                 1.5404,                 1.7555,                 3.9213,                  1.423,              0.0012036,              0.0012036,              0.0012036
                      6,                 1.3759,                 2.6688,                 1.2831,                 1.3913,                 2.1901,                 1.2412,                0.64248,                0.20293,                0.15828,                0.09222,                 1.4992,                 2.6958,                 1.2366,                 1.5969,                 2.9426,                 1.2855,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.2193,                 1.8089,                  1.225,                 1.1787,                 1.7638,                 1.1322,                0.45914,                0.26913,                0.15708,                0.08856,                 1.4751,                 2.7176,                 1.2057,                 1.6222,                 2.4499,                 1.2231,              0.0011727,              0.0011727,              0.0011727
                      8,                 1.0506,                 1.4303,                 1.1306,                 1.0655,                 1.3868,                 1.0829,                0.70912,                 0.2624,                0.22709,                0.13176,                 1.4092,                 2.5393,                 1.1699,                  1.549,                 2.1871,                 1.2389,              0.0011572,              0.0011572,              0.0011572
                      9,                 1.1405,                 1.5253,                 1.1775,                 1.0809,                 1.3247,                 1.1132,                0.70374,                0.24861,                0.20744,                0.12527,                 1.4678,                 2.3572,                 1.2004,                 1.5579,                 2.2813,                 1.2515,              0.0011417,              0.0011417,              0.0011417
                     10,                 1.0489,                 1.3303,                 1.1337,                 1.0488,                 1.1268,                  1.092,                0.65816,                0.29151,                0.22533,                0.13673,                 1.3239,                   2.08,                 1.1266,                 1.5297,                 2.2481,                  1.191,              0.0011263,              0.0011263,              0.0011263
