                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85158,                 14.513,                0.86458,                0.14437,                0.18253,                0.13835,                0.09991,                 1.1206,                 10.448,                0.92231,             0.00041529,             0.00041529,             0.00041529
                      2,                0.85185,                  11.51,                0.87714,                 0.1544,                0.18867,                0.14187,                0.10541,                 1.0803,                 8.5298,                0.95177,             0.00082166,             0.00082166,             0.00082166
                      3,                0.87181,                 9.9514,                0.91879,                0.16074,                0.24825,                0.13825,                0.10365,                 1.1319,                 8.0614,                0.95881,              0.0012177,              0.0012177,              0.0012177
                      4,                0.87701,                 9.3094,                0.89844,                0.21652,                0.24062,                0.17146,                 0.1305,                 1.1261,                 7.7864,                0.95765,              0.0012036,              0.0012036,              0.0012036
                      5,                0.86857,                 7.8251,                0.90225,                0.20802,                0.27024,                0.19795,                0.15374,                 1.0808,                 7.4177,                0.96441,              0.0012036,              0.0012036,              0.0012036
                      6,                0.82597,                 6.9612,                0.88455,                0.20128,                0.30681,                0.18941,                0.14797,                 1.0863,                 6.8912,                0.97457,              0.0011881,              0.0011881,              0.0011881
                      7,                0.79343,                 5.9579,                0.89198,                0.30003,                0.31273,                0.25198,                0.20489,                 1.0773,                 6.2612,                0.95779,              0.0011727,              0.0011727,              0.0011727
                      8,                0.79662,                 5.4671,                0.87049,                0.31704,                0.39544,                0.27337,                0.21422,                  1.071,                 5.9382,                0.94908,              0.0011572,              0.0011572,              0.0011572
                      9,                 0.7471,                  5.328,                0.88043,                0.31319,                0.38234,                0.27856,                0.22196,                 1.0305,                 5.2529,                0.95369,              0.0011417,              0.0011417,              0.0011417
                     10,                0.77499,                 5.0518,                0.85501,                0.31179,                0.31271,                0.24786,                0.19913,                 1.1343,                 5.1547,                0.98244,              0.0011263,              0.0011263,              0.0011263
                     11,                0.73016,                 4.1508,                0.85973,                0.32618,                0.33417,                0.26559,                0.21001,                  1.081,                 4.5762,                0.97492,              0.0011108,              0.0011108,              0.0011108
                     12,                  0.717,                 3.4917,                0.86787,                0.32738,                 0.3563,                0.26667,                0.21574,                 1.0869,                 4.3975,                0.96759,              0.0010953,              0.0010953,              0.0010953
                     13,                0.74456,                 3.6531,                0.86201,                0.32372,                0.38858,                 0.2863,                  0.225,                 1.0681,                  4.135,                0.95681,              0.0010798,              0.0010798,              0.0010798
                     14,                 0.7131,                 3.2536,                0.83802,                 0.3149,                0.44364,                0.29428,                0.23613,                 1.0506,                 3.7896,                0.94315,              0.0010644,              0.0010644,              0.0010644
                     15,                0.66055,                 2.8528,                0.82324,                0.30085,                0.38428,                0.27236,                0.22106,                 1.0242,                 3.6195,                0.93779,              0.0010489,              0.0010489,              0.0010489
                     16,                0.71868,                 2.6352,                0.87223,                0.31114,                 0.4089,                0.27747,                0.21843,                 1.0368,                  3.768,                0.95376,              0.0010334,              0.0010334,              0.0010334
                     17,                0.70338,                 2.5962,                0.84323,                0.31228,                0.38459,                0.26395,                0.21313,                  1.046,                 3.5968,                0.94975,               0.001018,               0.001018,               0.001018
                     18,                 0.6709,                 2.1221,                0.85805,                0.56107,                 0.4052,                0.28237,                 0.2287,                  1.038,                 3.7661,                0.95865,              0.0010025,              0.0010025,              0.0010025
                     19,                 0.6729,                 2.0187,                0.84925,                0.31233,                0.42562,                0.29695,                0.24156,                 1.0268,                 3.1853,                0.95511,             0.00098703,             0.00098703,             0.00098703
