epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.246,1.69137,61.3949,1.85385,0.16186,0.09943,0.10595,0.08104,2.57949,5.87987,2.09339,0.000415287,0.000415287,0.000415287
2,338.893,2.09544,13.866,2.20725,0.14172,0.04818,0.07777,0.06292,2.84335,144.651,2.51653,0.000821658,0.000821658,0.000821658
3,450.4,2.26114,7.79496,2.36526,0.07307,0.04981,0.04905,0.0298,3.67079,12.7481,2.90288,0.00121772,0.00121772,0.00121772
4,561.139,2.46332,6.64993,2.50875,0.20833,0.00404,0.10491,0.05873,4.80835,inf,6.79665,0.00120359,0.00120359,0.00120359
5,672.55,2.19342,4.94121,2.34377,0.10916,0.05527,0.06299,0.04419,2.97221,5.39281,2.47543,0.00118812,0.00118812,0.00118812
6,783.248,2.24404,4.31474,2.43964,0.14008,0.03785,0.08843,0.07041,2.80342,7.82434,2.4745,0.00117266,0.00117266,0.00117266
7,894.751,1.99037,3.53001,2.29157,0.18127,0.10995,0.11751,0.09063,2.68932,4.40833,2.36633,0.00115719,0.00115719,0.00115719
8,1006.95,1.98361,2.86637,2.2602,0.18981,0.16754,0.15655,0.11483,2.83686,3.99292,2.37813,0.00114172,0.00114172,0.00114172
9,1118.9,1.97172,2.69847,2.28705,0.30871,0.15068,0.22459,0.15688,2.76109,4.15951,2.35293,0.00112625,0.00112625,0.00112625
10,1230.26,1.95658,2.66142,2.23804,0.41053,0.22115,0.13877,0.10712,2.57758,4.50974,2.3532,0.00111078,0.00111078,0.00111078
11,1341.65,1.75925,2.31968,2.09479,0.32284,0.2158,0.2404,0.18741,2.61639,4.16098,2.29643,0.00109531,0.00109531,0.00109531
12,1455.09,1.79934,2.28525,2.17026,0.19362,0.18691,0.16781,0.1233,2.60047,4.03617,2.26584,0.00107984,0.00107984,0.00107984
13,1566.14,1.6762,1.91611,2.03303,0.22803,0.20954,0.18026,0.13533,2.63239,4.53673,2.279,0.00106437,0.00106437,0.00106437
14,1676.87,1.67874,1.88966,2.03797,0.19889,0.23809,0.17601,0.11979,2.72801,3.98588,2.31661,0.00104891,0.00104891,0.00104891
15,1787.33,1.68248,1.85334,2.0437,0.19111,0.25204,0.17615,0.12916,2.49599,4.30584,2.24075,0.00103344,0.00103344,0.00103344
16,1898.47,1.74782,1.92629,2.05013,0.27753,0.29404,0.23842,0.17341,2.5461,3.76366,2.20213,0.00101797,0.00101797,0.00101797
17,2009.96,1.64067,1.75087,1.99004,0.2204,0.25337,0.18472,0.13415,2.47258,4.07629,2.26574,0.0010025,0.0010025,0.0010025
18,2121.21,1.5979,1.71989,2.01808,0.47596,0.26581,0.3101,0.23316,2.54283,3.95857,2.27301,0.000987031,0.000987031,0.000987031
19,2233.73,1.60197,1.64629,1.98407,0.32829,0.31551,0.26464,0.20265,2.50259,4.43706,2.22798,0.000971562,0.000971562,0.000971562
20,2345.65,1.60104,1.58575,1.99186,0.23837,0.23505,0.19927,0.15097,2.37834,4.30854,2.17351,0.000956094,0.000956094,0.000956094
21,2457.31,1.469,1.4707,1.92793,0.44277,0.33344,0.31627,0.24732,2.49108,4.30134,2.18715,0.000940625,0.000940625,0.000940625
22,2570.49,1.41956,1.41513,1.86992,0.23231,0.28327,0.21604,0.1628,2.42051,4.06407,2.20687,0.000925156,0.000925156,0.000925156
23,2681.64,1.51819,1.34254,1.88096,0.60829,0.26018,0.2535,0.16722,2.36897,3.9777,2.22333,0.000909688,0.000909688,0.000909688
24,2792.83,1.495,1.33211,1.91186,0.37152,0.3352,0.31001,0.23732,2.41568,4.06783,2.199,0.000894219,0.000894219,0.000894219
25,2904.13,1.45139,1.35577,1.92241,0.23913,0.36915,0.23559,0.17383,2.38924,4.7687,2.16793,0.00087875,0.00087875,0.00087875
26,3015.33,1.41541,1.24705,1.90391,0.35163,0.31255,0.28726,0.19608,2.36981,4.11381,2.20444,0.000863281,0.000863281,0.000863281
27,3126.04,1.42428,1.31394,1.88894,0.34923,0.29302,0.25963,0.20525,2.3082,4.14157,2.13355,0.000847813,0.000847813,0.000847813
28,3237.95,1.39301,1.22086,1.87503,0.49645,0.31896,0.3697,0.28168,2.24855,3.7246,2.11945,0.000832344,0.000832344,0.000832344
29,3350.19,1.35372,1.12642,1.87967,0.31918,0.34118,0.27504,0.21266,2.3125,3.99691,2.16467,0.000816875,0.000816875,0.000816875
