                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62022,                 21.549,                0.70117,                0.59251,                 73.361,                0.63813,                0.06643,                0.18272,                0.03431,                0.02944,                0.66377,                 11.559,                0.81101,                0.68118,                 44.876,                0.80344,             3.7759e-05,             3.7759e-05,             3.7759e-05
                      2,                0.62214,                 15.659,                 0.6718,                0.50119,                 46.749,                 0.6264,                0.18435,                0.46691,                0.17506,                0.15406,                0.74425,                 8.7326,                0.81744,                0.67818,                 34.099,                0.79882,             6.8259e-05,             6.8259e-05,             6.8259e-05
                      3,                0.64986,                 13.356,                0.68981,                0.53455,                 39.052,                0.62729,                 0.2444,                0.30409,                0.20423,                0.17464,                0.71079,                 7.7919,                0.81715,                0.73203,                 30.315,                0.80097,             9.1235e-05,             9.1235e-05,             9.1235e-05
                      4,                0.63449,                 10.425,                0.66965,                0.52459,                  34.19,                0.61274,                0.20755,                0.36399,                0.20183,                0.16911,                0.69997,                 5.8828,                0.82968,                0.74145,                 26.179,                0.80074,             8.0142e-05,             8.0142e-05,             8.0142e-05
                      5,                0.55031,                 9.2685,                0.67581,                0.51711,                 30.788,                0.62008,                0.20784,                0.30576,                0.20757,                0.17909,                0.66372,                 5.7908,                0.83316,                 0.7026,                  23.88,                0.80488,             8.0142e-05,             8.0142e-05,             8.0142e-05
                      6,                0.60484,                 8.7821,                0.69041,                0.50791,                 27.968,                0.63809,                0.12221,                0.70787,                0.23997,                0.20615,                0.71556,                 5.4853,                0.83482,                0.70802,                 21.328,                0.81245,             6.8856e-05,             6.8856e-05,             6.8856e-05
                      7,                0.54929,                 8.1194,                0.69588,                0.49322,                 25.957,                0.63751,                0.28912,                0.40685,                0.24003,                0.20692,                0.66922,                 5.4574,                0.82832,                0.68149,                 20.017,                0.81043,              5.757e-05,              5.757e-05,              5.757e-05
                      8,                0.51845,                 7.5912,                0.67338,                0.47068,                 24.345,                0.62052,                0.36258,                0.46741,                0.28816,                 0.2483,                0.63431,                 5.1161,                0.82015,                0.67025,                 18.769,                0.80586,             4.6284e-05,             4.6284e-05,             4.6284e-05
                      9,                  0.483,                 7.4455,                0.68095,                 0.4557,                 23.206,                 0.6332,                0.25419,                0.50092,                0.31514,                0.27238,                0.63032,                 4.9901,                0.82314,                0.65934,                 18.134,                0.80557,             3.4998e-05,             3.4998e-05,             3.4998e-05
                     10,                0.51779,                 7.2111,                0.66466,                0.46827,                  22.47,                0.62242,                0.22817,                0.46134,                0.33243,                0.28698,                0.63267,                 4.8449,                0.82666,                0.67527,                 17.551,                0.81017,             2.3712e-05,             2.3712e-05,             2.3712e-05
