                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84065,                 11.868,                0.74308,                0.73068,                 26.166,                0.62524,                0.21937,                0.27206,                0.18959,                0.12978,                 0.9879,                 4.6321,                0.87931,                 1.0168,                  9.767,                0.85121,             0.00041403,             0.00041403,             0.00041403
                      2,                 1.2049,                 6.3252,                0.80824,                0.83125,                 9.4581,                 0.6719,                0.13642,                0.08753,                0.13056,                0.08446,                 1.2386,                 4.0066,                0.93754,                 1.1172,                 6.4875,                0.91608,             0.00074846,             0.00074846,             0.00074846
                      3,                0.99821,                 4.2632,                0.73223,                0.75762,                 6.0328,                0.63011,                0.29385,                0.36717,                0.23613,                0.16423,                 1.0653,                 3.0589,                0.94485,                 1.1682,                 5.3011,                0.93606,              0.0010004,              0.0010004,              0.0010004
                      4,                 1.1503,                 3.2523,                0.79789,                0.82728,                 4.0076,                 0.6491,                0.23805,                0.25533,                 0.2292,                0.15471,                 1.1784,                 2.9004,                0.98101,                 1.1394,                 4.0849,                0.93272,             0.00087875,             0.00087875,             0.00087875
                      5,                0.93989,                 2.9718,                0.77405,                0.75942,                 2.8784,                0.66255,                0.40617,                0.26941,                0.24942,                0.18568,                 1.1509,                 2.6773,                0.99216,                 1.0909,                 3.2862,                0.93326,             0.00087875,             0.00087875,             0.00087875
                      6,                0.89661,                  1.923,                0.74382,                0.72968,                 2.2706,                0.64298,                0.31913,                0.31538,                 0.2887,                0.22743,                 1.0742,                 2.1727,                0.97982,                0.98404,                 2.6951,                0.92727,               0.000755,               0.000755,               0.000755
                      7,                0.81257,                 1.6063,                0.74138,                0.63959,                 1.8019,                0.65005,                0.37417,                0.36925,                 0.3534,                0.27976,                 1.0577,                 2.2275,                0.97961,                0.95841,                 2.5626,                0.91942,             0.00063125,             0.00063125,             0.00063125
                      8,                0.77554,                 1.4042,                0.74405,                0.66108,                 1.4553,                 0.6621,                0.31983,                0.50088,                0.39333,                0.30555,                 1.0119,                 1.7894,                0.98696,                 0.9666,                 2.0805,                0.94902,              0.0005075,              0.0005075,              0.0005075
                      9,                0.74005,                  1.233,                0.73744,                 0.6215,                 1.2709,                0.65533,                  0.424,                0.37645,                0.40255,                0.31823,                 0.9886,                 1.7363,                 1.0091,                0.98462,                 1.9538,                 0.9673,             0.00038375,             0.00038375,             0.00038375
                     10,                0.68004,                 1.1424,                0.72674,                0.62837,                 1.0974,                0.64404,                0.41438,                0.42874,                 0.4275,                0.34008,                 0.9615,                 1.7531,                0.99058,                0.98093,                 1.9492,                0.94806,                0.00026,                0.00026,                0.00026
