                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68534,                 21.939,                 0.7586,                0.75591,                 116.26,                 0.7058,                0.06371,                0.18815,                0.05069,                0.03925,                0.66718,                 13.525,                0.81695,                 0.8197,                 70.295,                0.80479,             3.7759e-05,             3.7759e-05,             3.7759e-05
                      2,                0.63997,                 16.094,                0.73816,                0.76089,                 66.662,                0.68898,                0.07229,                0.47449,                0.09282,                0.08106,                0.68353,                 11.357,                0.82481,                0.75555,                 48.599,                0.78648,             7.3884e-05,             7.3884e-05,             7.3884e-05
                      3,                0.64721,                 13.916,                0.74201,                 0.6937,                 50.195,                0.67906,                0.08454,                0.55335,                0.11034,                0.09597,                0.67491,                  9.868,                0.81805,                0.70955,                 42.567,                0.79582,             0.00010813,             0.00010813,             0.00010813
                      4,                0.74599,                 12.202,                0.74517,                0.71306,                 45.032,                0.67739,                0.48544,                0.32519,                0.19055,                0.15428,                0.78069,                 8.2867,                0.82631,                0.78432,                 37.771,                0.80259,             0.00010554,             0.00010554,             0.00010554
                      5,                0.73245,                 10.054,                 0.7641,                0.69715,                 38.187,                0.70315,                0.48844,                0.32519,                0.20467,                 0.1688,                0.78219,                 7.6565,                 0.8298,                0.78725,                 34.336,                0.80297,             0.00010554,             0.00010554,             0.00010554
                      6,                0.67789,                 10.815,                0.69364,                0.68069,                 35.281,                0.63785,                 0.5028,                0.31517,                0.21939,                0.18059,                0.78165,                 6.9897,                0.83275,                0.77902,                 30.142,                0.80131,             0.00010271,             0.00010271,             0.00010271
                      7,                 0.6553,                 8.1424,                0.73347,                0.66014,                 29.942,                0.68481,                 0.2428,                0.23798,                0.24223,                0.20726,                0.73279,                 6.5329,                0.82384,                0.71499,                 27.485,                0.80358,             9.9893e-05,             9.9893e-05,             9.9893e-05
                      8,                0.68282,                 7.1383,                0.76862,                0.67304,                 27.323,                0.70751,                0.37757,                0.31693,                0.25941,                0.21542,                0.76391,                 5.7379,                0.83118,                0.76444,                 24.227,                0.80435,             9.7071e-05,             9.7071e-05,             9.7071e-05
                      9,                0.56805,                 7.9214,                0.69268,                0.58592,                 24.835,                0.66166,                 0.3249,                0.40287,                0.28744,                0.24316,                0.69313,                 5.4483,                0.82914,                0.72149,                 22.438,                0.80027,              9.425e-05,              9.425e-05,              9.425e-05
                     10,                0.64357,                 6.7904,                 0.7487,                0.63592,                 22.704,                0.70145,                0.33221,                0.41826,                0.32919,                0.28131,                0.69341,                 4.9558,                0.83036,                0.72672,                 20.244,                 0.7969,             9.1428e-05,             9.1428e-05,             9.1428e-05
                     11,                 0.5535,                 6.5124,                 0.6911,                0.61872,                 20.505,                0.67903,                0.44937,                0.32252,                0.33391,                0.28523,                0.68738,                 4.8514,                0.83659,                 0.7306,                 19.096,                0.80229,             8.8607e-05,             8.8607e-05,             8.8607e-05
                     12,                0.60964,                 5.5925,                0.76435,                0.65253,                 19.121,                0.71013,                0.35871,                0.38447,                0.35556,                0.30923,                0.67683,                 4.4624,                0.83349,                 0.6918,                 17.368,                0.79771,             8.5785e-05,             8.5785e-05,             8.5785e-05
                     13,                0.52295,                 5.5964,                0.69992,                 0.5379,                 17.598,                0.65793,                0.28923,                0.48417,                0.35181,                0.30837,                 0.6841,                 4.4068,                0.83769,                0.68918,                 16.411,                0.79528,             8.2964e-05,             8.2964e-05,             8.2964e-05
                     14,                0.56888,                 5.3079,                0.71107,                0.56264,                 16.781,                0.67217,                0.33111,                0.48573,                0.36071,                0.31178,                0.67864,                 4.2643,                0.83354,                0.69366,                 15.503,                0.79618,             8.0142e-05,             8.0142e-05,             8.0142e-05
                     15,                0.54498,                 4.7597,                0.72927,                 0.5422,                 16.025,                0.68394,                0.35237,                0.48858,                0.38218,                0.32188,                0.72583,                 4.1895,                0.83568,                0.71412,                 14.396,                0.79945,             7.7321e-05,             7.7321e-05,             7.7321e-05
                     16,                0.54756,                 4.6395,                0.70949,                0.59006,                 14.334,                0.66489,                0.36705,                0.45326,                0.38825,                0.32418,                0.72013,                 4.1358,                  0.834,                0.73603,                 13.795,                0.80138,             7.4499e-05,             7.4499e-05,             7.4499e-05
                     17,                0.56693,                 4.4866,                0.72234,                0.59551,                 14.139,                0.67751,                0.36458,                0.46967,                 0.3896,                0.32963,                0.67033,                 3.8145,                 0.8319,                 0.7248,                 13.164,                0.79967,             7.1678e-05,             7.1678e-05,             7.1678e-05
                     18,                0.53173,                 4.2463,                 0.7046,                0.55719,                 12.727,                 0.6768,                0.36712,                0.42424,                0.37071,                 0.3141,                 0.6784,                 3.7603,                0.83734,                0.71539,                  12.73,                0.80172,             6.8856e-05,             6.8856e-05,             6.8856e-05
                     19,                0.52985,                 4.0339,                0.72775,                0.55051,                 12.457,                0.68475,                0.42789,                0.43217,                0.35974,                0.30501,                0.70493,                 3.8142,                0.84449,                0.71609,                 12.134,                0.80611,             6.6034e-05,             6.6034e-05,             6.6034e-05
