                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6984,                 18.035,                0.58473,                 0.4454,                0.00863,                0.00133,                0.00103,                 1.6494,                0.75257,                0.74241,             0.00027716,             0.00027716,             0.00027716
                      2,                0.58276,                 1.3044,                 0.1383,                0.17223,                0.20683,                0.03191,                0.02104,                0.49221,                 1.2466,                0.09855,             0.00054933,             0.00054933,             0.00054933
                      3,                0.38149,                 1.1055,                0.07146,                 0.3459,                0.10022,                0.04315,                 0.0324,                0.30684,                 1.2941,                0.03805,             0.00081601,             0.00081601,             0.00081601
                      4,                0.40072,                 1.0562,                0.07051,                  0.241,                0.13181,                0.07299,                0.04589,                0.32308,                 1.1873,                0.03772,             0.00080826,             0.00080826,             0.00080826
                      5,                0.30138,                0.99688,                0.03703,                0.34195,                0.22788,                0.13115,                0.10452,                0.28443,                 1.1955,                0.04026,             0.00080826,             0.00080826,             0.00080826
                      6,                0.29203,                 1.1647,                0.03452,                0.58452,                0.32113,                0.34447,                0.26568,                0.28279,                 1.1679,                0.03262,             0.00080001,             0.00080001,             0.00080001
                      7,                 0.3239,                0.88171,                0.04017,                0.77964,                 0.4319,                0.42607,                 0.3202,                0.34786,                 1.0341,                0.05191,             0.00079177,             0.00079177,             0.00079177
                      8,                0.30815,                0.74853,                0.03393,                0.73143,                0.49598,                0.55126,                0.43567,                0.28229,                 0.9313,                0.03511,             0.00078352,             0.00078352,             0.00078352
                      9,                0.30732,                0.68228,                0.03332,                0.67429,                0.31073,                0.33018,                0.26157,                0.45918,                 1.2303,                0.08232,             0.00077527,             0.00077527,             0.00077527
                     10,                0.29798,                0.66289,                0.03828,                0.68842,                0.39464,                0.40546,                  0.309,                0.34651,                 1.0664,                0.05157,             0.00076703,             0.00076703,             0.00076703
                     11,                0.31742,                0.66423,                0.03058,                0.76709,                0.28565,                0.33586,                0.23844,                 1.1764,                0.80458,                0.56826,             0.00075878,             0.00075878,             0.00075878
                     12,                0.30368,                0.60319,                0.04054,                0.79056,                0.04615,                0.11717,                 0.0947,                 1.2189,                 1.1229,                0.29461,             0.00075053,             0.00075053,             0.00075053
                     13,                0.27113,                0.58838,                0.02851,                0.59186,                0.55809,                0.58818,                0.45235,                0.29692,                 0.8436,                0.04016,             0.00074229,             0.00074229,             0.00074229
                     14,                0.27166,                 0.5559,                0.02827,                0.86301,                0.66607,                0.68417,                0.53732,                0.25922,                0.66163,                0.03084,             0.00073404,             0.00073404,             0.00073404
                     15,                0.27692,                0.52263,                0.03298,                0.78165,                0.50872,                0.51449,                0.42026,                0.63732,                0.68434,                 1.5664,             0.00072579,             0.00072579,             0.00072579
                     16,                0.24294,                0.46036,                0.02839,                 0.7578,                0.30845,                0.36491,                0.28744,                0.37539,                 1.1208,                 0.0605,             0.00071755,             0.00071755,             0.00071755
