                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89338,                 6.4016,                 0.9252,                0.45865,                0.36928,                 0.4252,                0.33591,                0.97683,                 2.6573,                 1.0478,             0.00027716,             0.00027716,             0.00027716
                      2,                0.93458,                 2.4592,                 1.0016,                0.50615,                 0.4526,                0.51247,                 0.4012,                 1.0153,                 2.1208,                 1.0658,             0.00054933,             0.00054933,             0.00054933
                      3,                0.94321,                 1.8331,                 1.0174,                 0.6753,                0.55122,                0.65155,                0.50999,                 1.0351,                 1.7619,                 1.1241,             0.00081601,             0.00081601,             0.00081601
                      4,                0.98323,                 1.6181,                 1.0466,                0.70712,                0.53354,                 0.6599,                0.51655,                 1.0218,                 1.4947,                 1.1153,             0.00080826,             0.00080826,             0.00080826
                      5,                0.91459,                 1.1968,                 1.0355,                0.70924,                0.61977,                0.69347,                 0.5493,                 1.0024,                 1.3422,                 1.1353,             0.00080826,             0.00080826,             0.00080826
                      6,                0.87011,                 1.0408,                  1.012,                0.70715,                0.59855,                0.67913,                0.53356,                 1.0503,                 1.2205,                 1.1381,             0.00080001,             0.00080001,             0.00080001
                      7,                0.89582,                0.97662,                0.99651,                 0.6793,                0.62491,                0.69461,                0.51193,                 1.0772,                 1.5312,                 1.1527,             0.00079177,             0.00079177,             0.00079177
                      8,                0.88846,                0.91511,                0.98695,                0.75494,                0.63694,                0.71921,                0.56669,                0.99902,                 1.1706,                 1.1053,             0.00078352,             0.00078352,             0.00078352
                      9,                0.87604,                0.84574,                 1.0098,                0.75781,                0.58315,                0.68614,                0.55172,                0.98967,                 1.1847,                  1.101,             0.00077527,             0.00077527,             0.00077527
                     10,                0.83093,                0.81317,                0.98048,                0.75325,                0.64175,                0.71645,                0.57944,                0.97601,                 1.1246,                 1.1039,             0.00076703,             0.00076703,             0.00076703
                     11,                0.86394,                0.82706,                 1.0027,                0.69023,                0.62856,                0.69839,                0.55644,                 1.0013,                 1.2159,                 1.1177,             0.00075878,             0.00075878,             0.00075878
                     12,                0.82025,                0.86097,                0.96301,                0.73759,                0.67806,                0.73702,                0.57888,                0.97427,                 1.0176,                 1.1085,             0.00075053,             0.00075053,             0.00075053
                     13,                0.79613,                0.78852,                0.97291,                0.69976,                0.61786,                0.68137,                0.54008,                  0.944,                 1.1316,                 1.0589,             0.00074229,             0.00074229,             0.00074229
                     14,                0.83301,                0.78022,                0.97002,                0.71844,                0.64323,                0.70742,                0.56931,                0.96552,                 1.1287,                 1.0921,             0.00073404,             0.00073404,             0.00073404
                     15,                0.87784,                0.81274,                0.97952,                0.73378,                0.62947,                0.71473,                0.56286,                0.98688,                   1.09,                  1.111,             0.00072579,             0.00072579,             0.00072579
                     16,                0.78597,                0.73174,                0.95971,                0.75736,                0.63788,                0.72144,                0.57733,                0.96404,                 1.1206,                 1.0844,             0.00071755,             0.00071755,             0.00071755
                     17,                0.75471,                0.70282,                0.92249,                0.72077,                0.66445,                0.72161,                0.57125,                0.98861,                 1.0058,                  1.097,              0.0007093,              0.0007093,              0.0007093
                     18,                0.75053,                0.65535,                0.93331,                0.74883,                0.67184,                0.72764,                0.56691,                0.93285,                 1.0466,                 1.0892,             0.00070105,             0.00070105,             0.00070105
                     19,                 0.7507,                0.64772,                0.93468,                0.71853,                0.61288,                0.69484,                 0.5694,                0.92775,                 1.1005,                 1.0853,             0.00069281,             0.00069281,             0.00069281
                     20,                0.73397,                0.62469,                0.93023,                0.70778,                0.66721,                0.72303,                0.57271,                0.94802,                 1.0869,                 1.0921,             0.00068456,             0.00068456,             0.00068456
                     21,                0.75014,                0.64359,                 0.9253,                0.68689,                0.61245,                0.68132,                0.54561,                 0.9572,                 1.2491,                 1.0771,             0.00067631,             0.00067631,             0.00067631
                     22,                0.71616,                0.59835,                0.90808,                0.72254,                0.67686,                0.71809,                0.58827,                0.88689,                 1.0613,                 1.0444,             0.00066807,             0.00066807,             0.00066807
                     23,                0.73241,                0.60517,                 0.9144,                0.76018,                0.58874,                0.69422,                0.57471,                0.93031,                 1.1155,                 1.0974,             0.00065982,             0.00065982,             0.00065982
