epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,352.101,0.61905,1.60012,0.15006,nan,0.75118,0.59063,0.44185,nan,nan,nan,0.000665448,0.000665448,0.000665448
2,700.358,0.45831,0.62755,0.07384,0.61889,0.30332,0.31317,0.15233,1.63264,0.36703,0.49313,0.00131893,0.00131893,0.00131893
3,1043.54,0.61862,0.72603,0.11131,0,0,0,0,nan,nan,nan,0.00195921,0.00195921,0.00195921
4,1398.58,0.51248,0.69603,0.08987,nan,0.44076,0.17707,0.10413,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,1805.82,0.47369,0.68997,0.07202,nan,0.70853,0.57701,0.39621,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,2435.76,0.54316,0.64777,0.10496,nan,0.14929,0.07032,0.04767,nan,nan,nan,0.001901,0.001901,0.001901
7,2786.13,0.47758,0.59633,0.07194,0.77391,0.2758,0.28333,0.21355,2.2132,0.23719,1.06882,0.0018812,0.0018812,0.0018812
8,3394.26,0.40236,0.55809,0.05417,0.85333,0.41362,0.44698,0.3145,1.36185,0.33935,0.28425,0.0018614,0.0018614,0.0018614
9,4002.22,0.43673,0.72933,0.06593,nan,0.61848,0.36001,0.24613,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,4358.6,0.41903,0.54657,0.06745,nan,0.35545,0.1914,0.12712,nan,nan,nan,0.0018218,0.0018218,0.0018218
11,4771.84,0.43719,0.52962,0.07237,nan,0.48578,0.36798,0.2841,nan,nan,nan,0.001802,0.001802,0.001802
12,5123.89,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0017822,0.0017822,0.0017822
13,5470.87,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0017624,0.0017624,0.0017624
14,5815.55,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0017426,0.0017426,0.0017426
15,6156.41,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0017228,0.0017228,0.0017228
16,6499.85,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001703,0.001703,0.001703
17,6943.19,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0016832,0.0016832,0.0016832
18,7392.63,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0016634,0.0016634,0.0016634
19,8011.21,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0016436,0.0016436,0.0016436
20,8442.63,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0016238,0.0016238,0.0016238
21,8826.02,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001604,0.001604,0.001604
22,9306.98,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0015842,0.0015842,0.0015842
23,9727.98,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0015644,0.0015644,0.0015644
24,10379.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0015446,0.0015446,0.0015446
25,11049.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0015248,0.0015248,0.0015248
26,11727.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001505,0.001505,0.001505
27,12072.2,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0014852,0.0014852,0.0014852
28,12671.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0014654,0.0014654,0.0014654
29,13315.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0014456,0.0014456,0.0014456
30,13940.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0014258,0.0014258,0.0014258
31,14541.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001406,0.001406,0.001406
32,14966.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0013862,0.0013862,0.0013862
33,15429.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0013664,0.0013664,0.0013664
34,15857.1,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0013466,0.0013466,0.0013466
35,16216.1,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0013268,0.0013268,0.0013268
36,16636.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001307,0.001307,0.001307
37,16983.1,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0012872,0.0012872,0.0012872
38,17517.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0012674,0.0012674,0.0012674
39,17872.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0012476,0.0012476,0.0012476
40,18469.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0012278,0.0012278,0.0012278
41,19121.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001208,0.001208,0.001208
42,19463.9,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0011882,0.0011882,0.0011882
43,19795.3,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0011684,0.0011684,0.0011684
44,20129.1,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0011486,0.0011486,0.0011486
45,20467.6,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0011288,0.0011288,0.0011288
46,20805.1,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001109,0.001109,0.001109
47,21144.1,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0010892,0.0010892,0.0010892
48,21682.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0010694,0.0010694,0.0010694
49,22149.6,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0010496,0.0010496,0.0010496
50,22633.8,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0010298,0.0010298,0.0010298
