                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98271,                 2.2818,                0.33777,                0.91468,                0.64455,                0.73243,                0.53612,                0.54013,                0.52148,                0.10842,             0.00066545,             0.00066545,             0.00066545
                      2,                0.41643,                0.52756,                0.06721,                0.88874,                0.79858,                0.88588,                0.64308,                 0.3621,                0.53311,                0.06315,              0.0013189,              0.0013189,              0.0013189
                      3,                0.38078,                0.55922,                0.04809,                 0.8315,                0.79384,                0.86988,                 0.5921,                0.38291,                0.56871,                0.04944,              0.0019592,              0.0019592,              0.0019592
                      4,                 0.4224,                0.48411,                0.05255,                0.79846,                0.78673,                0.80984,                0.57284,                0.39729,                0.58987,                0.07045,              0.0019406,              0.0019406,              0.0019406
                      5,                0.31495,                0.39984,                0.04022,                0.74399,                0.34123,                0.39604,                0.24747,                 1.3252,                0.62465,                0.30125,              0.0019406,              0.0019406,              0.0019406
                      6,                0.30486,                0.40389,                0.03595,                0.91582,                0.87656,                 0.9432,                0.72718,                0.28644,                0.49049,                0.03908,              0.0019208,              0.0019208,              0.0019208
                      7,                0.32706,                 0.4742,                0.03601,                 0.8796,                 0.8981,                 0.9347,                0.68052,                0.31671,                0.49769,                0.03443,               0.001901,               0.001901,               0.001901
                      8,                0.31534,                0.48295,                0.04098,                0.93369,                0.70069,                0.75415,                0.55307,                0.44808,                0.59381,                0.07937,              0.0018812,              0.0018812,              0.0018812
                      9,                0.33601,                 0.4891,                 0.0375,                0.84586,                0.80623,                0.88128,                0.63928,                0.34786,                0.59717,                0.05549,              0.0018614,              0.0018614,              0.0018614
                     10,                0.34382,                0.46314,                0.05403,                0.88585,                0.77014,                0.87752,                0.66081,                0.35982,                0.50119,                0.05667,              0.0018416,              0.0018416,              0.0018416
                     11,                0.31589,                 0.4323,                0.03658,                0.86807,                0.79384,                0.86344,                0.64555,                0.35746,                0.58637,                0.04911,              0.0018218,              0.0018218,              0.0018218
                     12,                0.32588,                0.43117,                0.04359,                0.85062,                0.75355,                0.81429,                0.60942,                0.37748,                0.58797,                0.06332,               0.001802,               0.001802,               0.001802
                     13,                0.28429,                0.45205,                0.03076,                0.92215,                0.75791,                0.88404,                 0.6504,                0.36435,                0.55547,                 0.0484,              0.0017822,              0.0017822,              0.0017822
                     14,                 0.3341,                0.44142,                0.03615,                0.94335,                0.82872,                0.92869,                0.69452,                 0.2956,                0.49223,                0.03397,              0.0017624,              0.0017624,              0.0017624
                     15,                0.31391,                0.44911,                0.03249,                0.92735,                0.78644,                0.90495,                0.67649,                0.30973,                0.58216,                0.04228,              0.0017426,              0.0017426,              0.0017426
                     16,                0.32231,                0.44141,                0.03799,                0.82639,                0.76702,                0.84411,                0.62311,                0.38302,                0.56631,                0.06403,              0.0017228,              0.0017228,              0.0017228
