                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96724,                 8.8468,                0.98212,                0.90048,                 38.423,                 0.8957,                0.53203,                 0.5782,                0.57614,                0.41175,                 1.0706,                 4.8179,                  1.109,                 1.0203,                  23.89,                 1.0142,             0.00066545,             0.00066545,             0.00066545
                      2,                 1.0186,                 5.5441,                 1.0535,                0.98892,                  25.73,                0.98506,                0.55177,                0.62424,                0.61185,                0.43941,                 1.0617,                 3.8182,                  1.078,                 1.1009,                 17.424,                 1.0808,              0.0012442,              0.0012442,              0.0012442
                      3,                0.97135,                   4.35,                 1.0229,                0.94024,                 18.215,                0.98273,                 0.6048,                0.68483,                 0.6743,                0.47867,                 1.0666,                 3.2229,                 1.0939,                 1.0685,                 13.195,                 1.0775,              0.0017349,              0.0017349,              0.0017349
                      4,                 1.0504,                 3.5831,                 1.0524,                 1.0235,                 13.923,                 1.0143,                0.53857,                 0.7109,                0.55749,                0.39603,                 1.0295,                 2.6396,                 1.0708,                 1.1205,                 10.088,                 1.0923,               0.001604,               0.001604,               0.001604
                      5,                0.92037,                 2.7096,                 1.0148,                0.93114,                 10.496,                0.98613,                 0.6073,                0.67062,                0.68077,                 0.4872,                 1.0342,                  2.155,                  1.095,                 1.1031,                 7.8142,                 1.1167,               0.001604,               0.001604,               0.001604
                      6,                 0.8828,                  2.473,                0.98377,                0.86041,                 9.8249,                0.92837,                0.75163,                0.61848,                0.73104,                0.51943,                 1.0458,                 1.9466,                 1.0875,                 1.0926,                 6.2348,                 1.0917,               0.001472,               0.001472,               0.001472
                      7,                0.84982,                 1.9235,                0.97679,                0.84036,                  7.295,                0.92188,                0.75545,                0.62322,                0.71917,                0.53676,                 1.0629,                 1.6664,                 1.0756,                 1.1036,                 4.8606,                 1.0961,                0.00134,                0.00134,                0.00134
                      8,                0.82218,                 1.5519,                0.95177,                 0.7917,                 5.5434,                0.89131,                0.73801,                0.66754,                0.76988,                0.57711,                 1.0088,                 1.4124,                 1.0881,                 1.0488,                 3.8188,                 1.1029,               0.001208,               0.001208,               0.001208
                      9,                0.75898,                 1.3073,                0.92358,                0.73539,                 4.4188,                0.87085,                0.81169,                0.66588,                0.78839,                0.59082,                 1.0471,                 1.3954,                 1.1115,                 1.0722,                 3.2725,                 1.1222,               0.001076,               0.001076,               0.001076
                     10,                0.74605,                 1.1574,                0.92588,                0.72483,                 3.6919,                0.87228,                0.73837,                0.66208,                0.74038,                0.57551,                0.95518,                 1.3363,                 1.0496,                0.96022,                  3.057,                 1.0552,               0.000944,               0.000944,               0.000944
                     11,                 0.7068,                 1.0266,                0.90314,                0.69453,                 3.1709,                0.85967,                0.72621,                0.73223,                0.79241,                0.60762,                 0.9797,                 1.2513,                  1.052,                 1.0194,                 2.5888,                 1.0525,               0.000812,               0.000812,               0.000812
                     12,                0.64955,                0.92268,                0.87643,                0.63579,                 2.7865,                0.84001,                0.79141,                0.74408,                0.82826,                0.62179,                0.93577,                 1.1375,                 1.0457,                 1.0041,                 2.3908,                 1.0665,                0.00068,                0.00068,                0.00068
                     13,                0.64575,                0.84083,                0.87417,                 0.6269,                 2.5027,                0.83554,                0.78288,                0.70918,                0.78236,                0.59652,                0.91141,                 1.2219,                 1.0451,                0.95819,                 2.4122,                 1.0539,               0.000548,               0.000548,               0.000548
                     14,                0.59684,                0.78992,                0.85963,                0.57267,                 2.3256,                0.82717,                0.87909,                0.67062,                0.81814,                0.63071,                0.93056,                 1.1773,                  1.038,                0.97126,                 2.1909,                 1.0534,               0.000416,               0.000416,               0.000416
                     15,                0.57036,                0.75025,                0.84772,                0.54259,                  2.184,                0.81589,                0.87905,                0.72749,                0.84225,                0.63824,                0.94118,                  1.156,                 1.0388,                0.98139,                 2.1181,                 1.0424,               0.000284,               0.000284,               0.000284
