                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98097,                 1.8844,                 1.0222,                0.95714,                0.63507,                0.79656,                0.60553,                 1.1224,                  1.147,                 1.2079,             0.00066545,             0.00066545,             0.00066545
                      2,                 1.0725,                 1.4114,                 1.1185,                0.97727,                 0.1019,                0.54035,                0.43103,                 1.2724,                 2.1737,                 1.2613,              0.0012442,              0.0012442,              0.0012442
                      3,                 1.0513,                 1.0317,                 1.1165,                0.82825,                0.70853,                0.80785,                0.60848,                 1.3077,                 1.2169,                 1.3046,              0.0017349,              0.0017349,              0.0017349
                      4,                 1.1135,                0.98592,                 1.1217,                0.98276,                0.54028,                0.76538,                0.58615,                 1.2596,                 1.0079,                 1.2281,               0.001604,               0.001604,               0.001604
                      5,                 1.0303,                0.77449,                 1.1193,                0.99408,                 0.3981,                0.69582,                0.57088,                 1.1432,                0.81211,                 1.1905,               0.001604,               0.001604,               0.001604
                      6,                0.95974,                0.64863,                 1.0553,                 0.9788,                 0.6564,                0.81891,                0.64658,                 1.1054,                0.77894,                 1.1768,               0.001472,               0.001472,               0.001472
                      7,                0.89947,                0.60201,                 1.0131,                 0.9881,                0.59005,                0.79063,                0.63198,                 1.1515,                0.95372,                 1.1603,                0.00134,                0.00134,                0.00134
                      8,                0.87035,                0.55549,                0.99309,                0.97509,                0.64929,                 0.8174,                0.64904,                 1.0746,                0.90963,                 1.1365,               0.001208,               0.001208,               0.001208
                      9,                0.84734,                0.53163,                0.97882,                0.98837,                0.60427,                0.79925,                0.65466,                 1.0539,                0.82925,                 1.1295,               0.001076,               0.001076,               0.001076
                     10,                0.77103,                0.49335,                0.94433,                0.97386,                0.70616,                0.84441,                0.68555,                0.97795,                 0.7601,                 1.1169,               0.000944,               0.000944,               0.000944
                     11,                0.71195,                0.45022,                0.91592,                0.96845,                0.72749,                  0.854,                0.70095,                 1.0047,                0.73315,                 1.1256,               0.000812,               0.000812,               0.000812
                     12,                0.69324,                0.42804,                0.91328,                   0.98,                0.69668,                0.84239,                0.69145,                  0.959,                0.72117,                 1.1021,                0.00068,                0.00068,                0.00068
                     13,                0.66538,                0.40684,                0.89891,                0.98471,                0.76303,                0.87503,                0.70998,                0.94229,                0.74055,                 1.0914,               0.000548,               0.000548,               0.000548
                     14,                0.62116,                0.38362,                0.87999,                0.99336,                0.70853,                0.85256,                0.70595,                0.95359,                0.81787,                  1.083,               0.000416,               0.000416,               0.000416
                     15,                0.59372,                0.36053,                0.87083,                0.96736,                0.77251,                0.87889,                0.72008,                 0.9396,                0.67547,                 1.0921,               0.000284,               0.000284,               0.000284
